ConfigName,Case,Group,RunCount,LLVM_Pass,MIR_Pass,baseline_config,BinarySize(Bytes)_med,BinarySize(Bytes)_delta,BinarySize(Bytes)_delta_pct,TotalRuntime(s)_med,TotalRuntime(s)_delta,TotalRuntime(s)_delta_pct,CompileTime(s)_med,CompileTime(s)_delta,CompileTime(s)_delta_pct,NsPerIter_med,NsPerIter_delta,NsPerIter_delta_pct,MBps_med,MBps_delta,MBps_delta_pct,VectorizeRemarkCount_med,VectorizeRemarkCount_delta,VectorizeRemarkCount_delta_pct,MIR_BBCount_med,MIR_BBCount_delta,MIR_BBCount_delta_pct,MIR_LocalCount_med,MIR_LocalCount_delta,MIR_LocalCount_delta_pct,LLVMIR_Vectorized_med,LLVMIR_Vectorized_delta,LLVMIR_Vectorized_delta_pct,LLVMIR_VectorWidth_med,LLVMIR_VectorWidth_delta,LLVMIR_VectorWidth_delta_pct
EXP_DBL_0661,easy_case,Matrix,3,peephole,ForceInline,EXP_000_DEFAULT,493680.0,144.0,0.029177202878817348,3.862552,-0.30140299999999964,-7.23838273948685,1.120074,-0.26602900000000007,-19.19258525520831,641537.0,-49658.0,-7.184369099892216,13075.0,939.0,7.737310481212921,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0502,easy_case,Matrix,3,loop-idiom-vectorize-all,EnumSizeOpt,EXP_000_DEFAULT,493536.0,0.0,0.0,3.888499,-0.2754559999999997,-6.615249204182075,1.164142,-0.22196100000000007,-16.013312142026965,645766.0,-45429.0,-6.572530183233385,12990.0,854.0,7.036914963744232,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1029,easy_case,Matrix,3,cgp-ext-ld-promotion,InstSimplify-before-inline,EXP_000_DEFAULT,493536.0,0.0,0.0,3.933324,-0.2306309999999998,-5.53874861760033,1.346885,-0.039217999999999975,-2.829371266060312,653401.0,-37794.0,-5.467921498274727,12838.0,702.0,5.784442979564931,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0694,easy_case,Matrix,3,ifcvt-triangle-rev,GVN,EXP_000_DEFAULT,493536.0,0.0,0.0,3.936439,-0.2275159999999996,-5.463939932107807,1.245859,-0.14024400000000004,-10.11786281394673,654067.0,-37128.0,-5.371566634596604,12825.0,689.0,5.677323665128544,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0768,easy_case,Matrix,3,chr,ImpossiblePredicates,EXP_000_DEFAULT,493536.0,0.0,0.0,3.943301,-0.22065399999999968,-5.299144683359923,1.144274,-0.24182900000000007,-17.446683255140492,655057.0,-36138.0,-5.228336431831828,12805.0,669.0,5.512524719841793,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1645,easy_case,Matrix,3,thinlto-funcattrs,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,3.944809,-0.21914599999999984,-5.262929114267562,1.214808,-0.17129499999999998,-12.358028227339524,655187.0,-36008.0,-5.20952842540817,12803.0,667.0,5.496044825313118,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0895,easy_case,Matrix,3,ondemand-mds-loading,Inline,EXP_000_DEFAULT,493568.0,32.0,0.006483822861959411,3.94749,-0.21646499999999946,-5.198543211922306,1.193746,-0.1923570000000001,-13.877540125084506,655746.0,-35449.0,-5.128653997786442,12792.0,656.0,5.405405405405405,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0819,easy_case,Matrix,3,cgp,ImpossiblePredicates,EXP_000_DEFAULT,493504.0,-32.0,-0.006483822861959411,3.947574,-0.2163809999999997,-5.196525899055099,1.08244,-0.303663,-21.907679299446002,655610.0,-35585.0,-5.1483300660450375,12795.0,659.0,5.4301252471984185,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1560,easy_case,Matrix,3,ra-fsprofile-loader,UnreachableEnumBranching,EXP_000_DEFAULT,493536.0,0.0,0.0,3.949655,-0.2142999999999997,-5.1465493743328095,1.310624,-0.07547900000000007,-5.445410622442926,656108.0,-35087.0,-5.07628093374518,12785.0,649.0,5.347725774555043,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0945,easy_case,Matrix,3,tail-duplicate,InstSimplify-after-simplifycfg,EXP_000_DEFAULT,493536.0,0.0,0.0,3.951931,-0.21202399999999955,-5.091889801883055,1.096367,-0.289736,-20.902919912878044,656076.0,-35119.0,-5.08091059686485,12786.0,650.0,5.355965721819381,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0987,easy_case,Matrix,3,complex-addr-modes,InstSimplify-after-simplifycfg,EXP_000_DEFAULT,493536.0,0.0,0.0,3.95254,-0.2114149999999997,-5.077264283595757,1.13829,-0.24781300000000006,-17.878397204248174,656038.0,-35157.0,-5.086408321819458,12786.0,650.0,5.355965721819381,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1497,easy_case,Matrix,3,interleaved-load-combine,UnreachableEnumBranching,EXP_000_DEFAULT,493536.0,0.0,0.0,3.955591,-0.20836399999999955,-5.003992598383018,1.24798,-0.138123,-9.964843882453179,657075.0,-34120.0,-4.936378301347666,12766.0,630.0,5.19116677653263,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1023,easy_case,Matrix,3,ifcvt-simple-false,InstSimplify-before-inline,EXP_000_DEFAULT,493536.0,0.0,0.0,3.958183,-0.20577199999999962,-4.941744087051845,1.198013,-0.1880900000000001,-13.569698644328746,657043.0,-34152.0,-4.941007964467336,12767.0,631.0,5.199406723796968,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0743,easy_case,Matrix,3,partial-libcall-inlining,GVN,EXP_000_DEFAULT,493536.0,0.0,0.0,3.961068,-0.2028869999999996,-4.872458996314792,1.127399,-0.25870400000000005,-18.664125248989436,655645.0,-35550.0,-5.1432663720079,12794.0,658.0,5.42188529993408,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0737,easy_case,Matrix,3,cgp-gc-opts,GVN,EXP_000_DEFAULT,493536.0,0.0,0.0,3.961528,-0.2024269999999997,-4.8614118068038605,1.117896,-0.2682070000000001,-19.349716435214415,657753.0,-33442.0,-4.838287313999667,12753.0,617.0,5.084047462096242,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1562,easy_case,Matrix,3,thinlto-funcattrs,UnreachableEnumBranching,EXP_000_DEFAULT,493536.0,0.0,0.0,3.961619,-0.20233599999999985,-4.85922638453105,1.120003,-0.2661,-19.197707529671316,658217.0,-32978.0,-4.771157198764459,12744.0,608.0,5.009887936717205,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0805,easy_case,Matrix,3,cfi-fixup,ImpossiblePredicates,EXP_000_DEFAULT,493536.0,0.0,0.0,3.963606,-0.20034899999999967,-4.811507328969686,1.091742,-0.2943610000000001,-21.236589200081095,658506.0,-32689.0,-4.729345553714943,12738.0,602.0,4.9604482531311795,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1619,easy_case,Matrix,3,demotion,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,3.96404,-0.19991499999999984,-4.801084545822418,1.287713,-0.09838999999999998,-7.098318090358362,658746.0,-32449.0,-4.694623080317421,12734.0,598.0,4.92748846407383,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0567,easy_case,Matrix,3,vp,EnumSizeOpt,EXP_000_DEFAULT,493536.0,0.0,0.0,3.965925,-0.1980299999999997,-4.755815084456958,1.179322,-0.2067810000000001,-14.91815543289352,658167.0,-33028.0,-4.778391047388943,12745.0,609.0,5.018127883981543,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0739,easy_case,Matrix,3,dfa-sched,GVN,EXP_000_DEFAULT,493536.0,0.0,0.0,3.971419,-0.1925359999999996,-4.623873216689412,1.099663,-0.28644000000000003,-20.66513094625724,659638.0,-31557.0,-4.565571220856633,12716.0,580.0,4.779169413315755,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
