ConfigName,Case,Group,RunCount,LLVM_Pass,MIR_Pass,baseline_config,BinarySize(Bytes)_med,BinarySize(Bytes)_delta,BinarySize(Bytes)_delta_pct,TotalRuntime(s)_med,TotalRuntime(s)_delta,TotalRuntime(s)_delta_pct,CompileTime(s)_med,CompileTime(s)_delta,CompileTime(s)_delta_pct,NsPerIter_med,NsPerIter_delta,NsPerIter_delta_pct,MBps_med,MBps_delta,MBps_delta_pct,VectorizeRemarkCount_med,VectorizeRemarkCount_delta,VectorizeRemarkCount_delta_pct,MIR_BBCount_med,MIR_BBCount_delta,MIR_BBCount_delta_pct,MIR_LocalCount_med,MIR_LocalCount_delta,MIR_LocalCount_delta_pct,LLVMIR_Vectorized_med,LLVMIR_Vectorized_delta,LLVMIR_Vectorized_delta_pct,LLVMIR_VectorWidth_med,LLVMIR_VectorWidth_delta,LLVMIR_VectorWidth_delta_pct
EXP_DBL_1598,easy_case,Matrix,3,chr,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,16.30087,12.136915,291.4756523545523,1.897931,0.511828,36.92568301201281,2713201.0,2022006.0,292.5377064359551,3091.0,-9045.0,-74.53032300593276,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1602,easy_case,Matrix,3,ifcvt-forked-diamond,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,14.199264,10.035309,241.00426157343202,2.673196,1.2870929999999998,92.85695218897872,2351163.0,1659968.0,240.15914466973865,3567.0,-8569.0,-70.6081081081081,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1605,easy_case,Matrix,3,ifcvt-triangle,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,13.992629,9.828674000000001,236.0417919982325,2.309436,0.9233329999999997,66.61359220779406,2327844.0,1636649.0,236.78542234825196,3603.0,-8533.0,-70.31147000659196,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1600,easy_case,Matrix,3,early-taildup,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,13.108782,8.944827,214.81565002503632,2.098113,0.71201,51.36775549868949,2181205.0,1490010.0,215.5701357793387,3845.0,-8291.0,-68.31740276862229,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1604,easy_case,Matrix,3,ifcvt-simple-false,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,12.471594,8.307639,199.51317917700842,2.29043,0.9043270000000001,65.24240983534413,2075061.0,1383866.0,200.21354321139478,4042.0,-8094.0,-66.6941331575478,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1601,easy_case,Matrix,3,ifcvt-diamond,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,12.031299,7.867344000000001,188.939217642842,2.293688,0.9075849999999999,65.47745730295654,2001623.0,1310428.0,189.5887557056981,4190.0,-7946.0,-65.47462096242585,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1603,easy_case,Matrix,3,ifcvt-simple,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,11.416476,7.252521,174.1738563457098,2.338355,0.9522519999999999,68.6999450978751,1896826.0,1205631.0,174.42704301969778,4422.0,-7714.0,-63.56295319709954,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1599,easy_case,Matrix,3,early-ifcvt,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,10.6311,6.467145,155.312557412364,2.164233,0.7781299999999998,56.13796377325493,1762952.0,1071757.0,155.05855800461518,4758.0,-7378.0,-60.794330916282135,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1383,easy_case,Matrix,3,type-promotion,ScalarReplacementOfAggregates,EXP_000_DEFAULT,493536.0,0.0,0.0,10.076754,5.912799,141.99958933273774,1.532066,0.14596299999999984,10.530458414706544,1676931.0,985736.0,142.61330015408097,5002.0,-7134.0,-58.78378378378378,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1382,easy_case,Matrix,3,ssc,ScalarReplacementOfAggregates,EXP_000_DEFAULT,493520.0,-16.0,-0.0032419114309797056,9.947614,5.783659,138.89821095568996,1.671745,0.28564199999999995,20.607559467081447,1654621.0,963426.0,139.38555689783635,5069.0,-7067.0,-58.231707317073166,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0512,easy_case,Matrix,3,machine-licm,EnumSizeOpt,EXP_000_DEFAULT,493504.0,-32.0,-0.006483822861959411,5.163707,0.999752,24.00967349551088,1.177535,-0.2085680000000001,-15.047078030997701,854740.0,163545.0,23.66119546582368,9814.0,-2322.0,-19.133157547791694,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_ABL_054_disable-ssc,easy_case,Matrix,3,ssc,N/A,EXP_000_DEFAULT,493520.0,-16.0,-0.0032419114309797056,5.162241,0.9982860000000002,23.974466582852127,1.457361,0.07125799999999982,5.140887798381493,858212.0,167017.0,24.16351391430783,9774.0,-2362.0,-19.462755438365196,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0288,easy_case,Matrix,3,cleanups,DeadStoreElimination-initial,EXP_000_DEFAULT,493536.0,0.0,0.0,5.149443,0.9854880000000001,23.667114558154452,1.408877,0.02277399999999985,1.643023642543148,852220.0,161025.0,23.296609495149703,9843.0,-2293.0,-18.894199077125904,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0286,easy_case,Matrix,3,adv-copy-opt,DeadStoreElimination-initial,EXP_000_DEFAULT,493536.0,0.0,0.0,5.085763,0.9218080000000004,22.137799279771286,1.31116,-0.07494299999999998,-5.40674105748274,845410.0,154215.0,22.31135931249503,9922.0,-2214.0,-18.243243243243242,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0291,easy_case,Matrix,3,demotion,DeadStoreElimination-initial,EXP_000_DEFAULT,493536.0,0.0,0.0,5.055743,0.891788,21.416850086035993,1.628256,0.24215299999999984,17.470058141422378,840170.0,148975.0,21.553251976649136,9984.0,-2152.0,-17.732366512854316,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_000_ALL_OFF,easy_case,Matrix,3,None,All,EXP_000_DEFAULT,493568.0,32.0,0.006483822861959411,5.045142,0.8811870000000006,21.16226039906773,1.482721,0.09661799999999987,6.970477662915372,838437.0,147242.0,21.30252678332453,10005.0,-2131.0,-17.55932762030323,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_ABL_057_disable-bitcode-version-upgrade,easy_case,Matrix,3,bitcode-version-upgrade,N/A,EXP_000_DEFAULT,493536.0,0.0,0.0,5.031189,0.8672340000000007,20.827170322445866,1.543632,0.1575289999999998,11.364884139201761,831203.0,140008.0,20.25593356433423,10092.0,-2044.0,-16.842452208305865,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
