ConfigName,Case,Group,RunCount,LLVM_Pass,MIR_Pass,baseline_config,BinarySize(Bytes)_med,BinarySize(Bytes)_delta,BinarySize(Bytes)_delta_pct,TotalRuntime(s)_med,TotalRuntime(s)_delta,TotalRuntime(s)_delta_pct,CompileTime(s)_med,CompileTime(s)_delta,CompileTime(s)_delta_pct,NsPerIter_med,NsPerIter_delta,NsPerIter_delta_pct,MBps_med,MBps_delta,MBps_delta_pct,VectorizeRemarkCount_med,VectorizeRemarkCount_delta,VectorizeRemarkCount_delta_pct,MIR_BBCount_med,MIR_BBCount_delta,MIR_BBCount_delta_pct,MIR_LocalCount_med,MIR_LocalCount_delta,MIR_LocalCount_delta_pct,LLVMIR_Vectorized_med,LLVMIR_Vectorized_delta,LLVMIR_Vectorized_delta_pct,LLVMIR_VectorWidth_med,LLVMIR_VectorWidth_delta,LLVMIR_VectorWidth_delta_pct
EXP_DBL_1600,mir_dependent_case,Matrix,3,early-taildup,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,13.324198,9.083979000000001,214.23372236198182,2.098113,0.71201,51.36775549868949,2217315.0,1513218.0,214.91612661323654,3783.0,-8130.0,-68.24477461596575,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1602,mir_dependent_case,Matrix,3,ifcvt-forked-diamond,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,12.535179,8.29496,195.62574480233215,2.673196,1.2870929999999998,92.85695218897872,2082800.0,1378703.0,195.8115146066522,4027.0,-7886.0,-66.19659195836482,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1604,mir_dependent_case,Matrix,3,ifcvt-simple-false,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,12.291262,8.051043,189.87328248847527,2.29043,0.9043270000000001,65.24240983534413,2045344.0,1341247.0,190.4917930341984,4101.0,-7812.0,-65.57542180810879,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1603,mir_dependent_case,Matrix,3,ifcvt-simple,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,11.808989,7.568770000000001,178.49950674717513,2.338355,0.9522519999999999,68.6999450978751,1964724.0,1260627.0,179.0416661340696,4269.0,-7644.0,-64.16519768320322,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1601,mir_dependent_case,Matrix,3,ifcvt-diamond,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,11.711038,7.4708190000000005,176.18946096887922,2.293688,0.9075849999999999,65.47745730295654,1948072.0,1243975.0,176.676651086427,4306.0,-7607.0,-63.854612608075215,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1599,mir_dependent_case,Matrix,3,early-ifcvt,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,11.528976,7.288757,171.89576764785028,2.164233,0.7781299999999998,56.13796377325493,1917836.0,1213739.0,172.38235640827898,4373.0,-7540.0,-63.29220179635692,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1598,mir_dependent_case,Matrix,3,chr,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,11.182435,6.942216,163.72305298381994,1.897931,0.511828,36.92568301201281,1857283.0,1153186.0,163.78226295524624,4516.0,-7397.0,-62.091832451943255,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1605,mir_dependent_case,Matrix,3,ifcvt-triangle,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,10.447414,6.2071950000000005,146.38854738399127,2.309436,0.9233329999999997,66.61359220779406,1727069.0,1022972.0,145.2885042827906,4857.0,-7056.0,-59.229413246033744,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1382,mir_dependent_case,Matrix,3,ssc,ScalarReplacementOfAggregates,EXP_000_DEFAULT,493520.0,-16.0,-0.0032419114309797056,9.669924,5.429705,128.052466157998,1.671745,0.28564199999999995,20.607559467081447,1601276.0,897179.0,127.42264205074017,5238.0,-6675.0,-56.0312263913372,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0285,mir_dependent_case,Matrix,3,separate-const-offset-from-gep,DeadStoreElimination-initial,EXP_000_DEFAULT,493536.0,0.0,0.0,5.385268,1.1450490000000002,27.004477834753356,1.508895,0.12279200000000001,8.858793321996995,895087.0,190990.0,27.125523897985648,9371.0,-2542.0,-21.338034080416353,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
