mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
ForceInline,promote-alloca-to-vector,10.230281719475965,9.302491921792887,10.521994801827208,9.235810383555808,0.0353096428479526,1.0359404306877087,3.594043068770869,-9.069054236471208,2.851466756735488,-9.720859729863797,0.0033191422796538,0.0663485567442011,0.0339830084957521,60,20,20,20,2,"easy_case,mir_dependent_case",0.0353096428479526,980,weak,0.05133011292352,False,True,independent
Inline,promote-alloca-to-vector,10.230281719475965,9.29185333540142,10.521994801827208,9.23569644510948,0.0341776974901786,1.034768466151306,3.476846615130613,-9.17304537457656,2.851466756735488,-9.72197346699687,0.002266895363279,0.0639753827948769,0.0389805097451274,60,20,20,20,2,"easy_case,mir_dependent_case",0.0341776974901786,991,weak,0.0581903292957837,False,True,independent
ImpossiblePredicates,promote-alloca-to-vector,10.230281719475965,9.278552192507318,10.521994801827208,9.231020776045408,0.0332515763352672,1.0338105888080682,3.38105888080682,-9.303062741241853,2.851466756735488,-9.767677673315731,0.0019046040670202,0.0629588142433782,0.0419790104947526,60,20,20,20,2,"easy_case,mir_dependent_case",0.0332515763352672,1004,weak,0.0619974710153819,False,True,independent
EarlyOtherwiseBranch,promote-alloca-to-vector,10.230281719475965,9.271258421610566,10.521994801827208,9.230871722036085,0.0324813250808613,1.0330146014996862,3.301460149968616,-9.374358636083793,2.851466756735488,-9.769134661631496,8.389422781378015e-05,0.0623426014903411,0.0509745127436281,60,20,20,20,2,"easy_case,mir_dependent_case",0.0324813250808613,1017,weak,0.0737730524450067,False,True,independent
DataflowConstProp,loop-idiom-vectorize-all,10.230281719475965,9.29758008021162,10.486656628671437,9.228145063980277,0.0322476333037622,1.0327732226869129,3.277322268691285,-9.117067005972125,2.506039581563013,-9.79578747658396,0.0014418893232492,0.0623916196646829,0.0399800099950025,60,20,20,20,2,"easy_case,mir_dependent_case",0.0322476333037622,1019,weak,0.0594684736484804,False,True,independent
ForceInline,loop-idiom-vectorize-all,10.230281719475965,9.302491921792887,10.486656628671437,9.23577196344999,0.0319496452298877,1.032465514432507,3.2465514432507003,-9.069054236471208,2.506039581563013,-9.721235282628326,0.0002770242268636,0.0619792181690615,0.047976011994003,60,20,20,20,2,"easy_case,mir_dependent_case",0.0319496452298877,1021,weak,0.0698598069386359,False,True,independent
DestinationPropagation,promote-alloca-to-vector,10.230281719475965,9.280808734481138,10.521994801827208,9.248014285533566,0.0316555256027661,1.032161890713423,3.216189071342268,-9.281005264862465,2.851466756735488,-9.601567785493126,-0.0016754865773546,0.0621789986605494,0.0629685157421289,60,20,20,20,2,"easy_case,mir_dependent_case",0.0316555256027661,1025,weak,0.0892636516925141,False,True,independent
EarlyOtherwiseBranch,loop-idiom-vectorize-bytecmp,10.230281719475965,9.271258421610566,10.495939124149348,9.226087732052854,0.0305203422469035,1.030990862506147,3.099086250614702,-9.374358636083793,2.5967750640496945,-9.815897694306583,0.0036697122784451,0.0588477892547498,0.032983508245877,60,20,20,20,2,"easy_case,mir_dependent_case",0.0305203422469035,1039,weak,0.0500938917549459,False,True,independent
DeadStoreElimination-final,promote-alloca-to-vector,10.230281719475965,9.27011723982871,10.521994801827208,9.251201719535125,0.0301582591515228,1.030617625718785,3.06176257187849,-9.38551357602726,2.851466756735488,-9.570410930882856,-0.0007587176911023,0.0600851891812037,0.0629685157421289,60,20,20,20,2,"easy_case,mir_dependent_case",0.0301582591515228,1046,weak,0.0892636516925141,False,True,independent
ImpossiblePredicates,loop-idiom-vectorize-bytecmp,10.230281719475965,9.278552192507318,10.495939124149348,9.243097043126244,0.029464827697001,1.0299032107670536,2.99032107670536,-9.303062741241853,2.5967750640496945,-9.6496333475388,0.0016750600503323,0.0568824047218741,0.0389805097451274,60,20,20,20,2,"easy_case,mir_dependent_case",0.029464827697001,1053,weak,0.0581903292957837,False,True,independent
