mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DeadStoreElimination-final,cgp-ext-ld-promotion,10.230281719475965,9.27011723982871,9.815658755582636,11.281405752990496,-0.2377330105105441,0.7884131610232326,-21.158683897676745,-9.38551357602726,-4.052898788739956,10.274634290016182,-0.2798739367430332,-0.1952892339075344,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2377330105105441,1,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,copyprop,10.230281719475965,9.27011723982871,9.817066411167994,11.279466173198808,-0.2374176696933323,0.7886618190776866,-21.133818092231337,-9.38551357602726,-4.0391390935139775,10.25567508786638,-0.2740513987143114,-0.2015169004006375,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2374176696933323,2,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,cleanups,10.230281719475965,9.27011723982871,9.936214106227412,11.39006075959581,-0.2351111298375707,0.7904829985001594,-20.951700149984063,-9.38551357602726,-2.874482065227157,11.336726318219691,-0.2713208451020207,-0.201366803536109,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2351111298375707,3,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,cgp-store-extract,10.230281719475965,9.27011723982871,9.8291862253349,11.25197149636332,-0.2337433029107372,0.7915649822452677,-20.84350177547323,-9.38551357602726,-3.9206690992436233,9.986917319611145,-0.2675590132162127,-0.2025674877010276,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2337433029107372,4,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,demotion,10.230281719475965,9.27011723982871,9.97163213759032,11.381479339333763,-0.2307992308859934,0.7938988404027807,-20.61011595972193,-9.38551357602726,-2.52827428391571,11.252843777177745,-0.2704682770909101,-0.1903161972283981,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2307992308859934,5,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,ifcvt-simple,10.230281719475965,9.27011723982871,9.82458205621126,11.101374042582597,-0.2207373616513317,0.8019272694883957,-19.80727305116044,-9.38551357602726,-3.965674400660435,8.514841985712751,-0.2569042958745084,-0.1850774139685435,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2207373616513317,6,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,tail-duplicate,10.230281719475965,9.27011723982871,9.743011968323852,11.00886694566231,-0.2207068186266423,0.80195176314684,-19.804823685316,-9.38551357602726,-4.763014006002065,7.610594190227538,-0.2557046047962881,-0.1882445421193384,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2207068186266423,7,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,machine-cse,10.230281719475965,9.27011723982871,9.905740925323764,11.185023214632922,-0.2200172813559671,0.8025049294692941,-19.74950705307059,-9.38551357602726,-3.1723544184941943,9.332504434744603,-0.2568833244156756,-0.1805700626729932,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2200172813559671,8,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,complex-addr-modes,10.230281719475965,9.27011723982871,9.966705551336524,11.239932848240528,-0.218778868315616,0.8034993776806154,-19.65006223193846,-9.38551357602726,-2.5764311811438567,9.869240715457872,-0.2506210012699544,-0.1865362990681931,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.218778868315616,9,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,peephole,10.230281719475965,9.27011723982871,10.013161998493304,11.265965516274608,-0.2164419436059319,0.805379290982906,-19.462070901709406,-9.38551357602726,-2.1223239685502997,10.123707491133471,-0.2537836500221762,-0.1805134104192079,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2164419436059319,10,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,ra-fsprofile-loader,10.230281719475965,9.27011723982871,9.891385786448492,11.125936322909064,-0.2161708240010806,0.8055976747007485,-19.44023252992515,-9.38551357602726,-3.3126744924560136,8.754935865822677,-0.2510899248309119,-0.1787184792445563,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2161708240010806,11,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,i2p-p2i-opt,10.230281719475965,9.27011723982871,9.905145057338958,11.120522522367343,-0.214294043653201,0.8071110242530676,-19.28889757469324,-9.38551357602726,-3.17817896957836,8.702016496736164,-0.2446724034319828,-0.1828010145282607,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.214294043653201,12,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,vp,10.230281719475965,9.27011723982871,10.02892364134,11.258706553250295,-0.2142245543019436,0.8071671118232575,-19.283288817674247,-9.38551357602726,-1.9682554562757024,10.052751839829233,-0.2548295154142351,-0.1733040842359732,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2142245543019436,13,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,partial-libcall-inlining,10.230281719475965,9.27011723982871,10.017416787821492,11.217357250104758,-0.2116931677485367,0.8092129521103111,-19.07870478896889,-9.38551357602726,-2.080733820352443,9.648566458826302,-0.2468783979252704,-0.1792227818418846,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2116931677485367,14,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,nofree-inference,10.230281719475965,9.27011723982871,9.996689096139251,11.18372697460207,-0.2107619166824195,0.809966883529913,-19.0033116470087,-9.38551357602726,-2.2833449727196475,9.319833815631709,-0.2513609141601955,-0.1712176758018326,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2107619166824195,15,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,mr-partial-inlining,10.230281719475965,9.27011723982871,9.924596061642774,11.078648078015137,-0.2085596240055207,0.8117526333161256,-18.824736668387445,-9.38551357602726,-2.988047311065134,8.29269791196554,-0.2431857761833165,-0.1749251526285609,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2085596240055207,16,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,nounwind-inference,10.230281719475965,9.27011723982871,9.91435289270568,11.066307386516009,-0.2084777187142201,0.8118191228749074,-18.818087712509257,-9.38551357602726,-3.088173282352824,8.172068863445435,-0.243234187506022,-0.173636496755321,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2084777187142201,17,extreme,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,sample-loader-inlining,10.230281719475965,9.27011723982871,10.020478761478069,11.141927401367528,-0.2046404521289533,0.8149402737826277,-18.505972621737232,-9.38551357602726,-2.050803328304074,8.911247088689777,-0.2340326381803008,-0.1761500650714967,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2046404521289533,18,strong,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,constant-hoisting,10.230281719475965,9.27011723982871,9.879508540717802,10.978406698363765,-0.2040236398496764,0.8154430940072768,-18.455690599272323,-9.38551357602726,-3.42877340406349,7.312848261681326,-0.2409870341851649,-0.1693253004506706,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2040236398496764,19,strong,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,early-taildup,10.230281719475965,9.27011723982871,10.08776277311136,11.20843234047147,-0.2038993913461919,0.8155444178859237,-18.44555821140763,-9.38551357602726,-1.3931087165789613,9.561326342884067,-0.2431284602811569,-0.1684350050480881,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2038993913461919,20,strong,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,select-optimize,10.230281719475965,9.27011723982871,9.992729016079728,11.096168864515906,-0.2032982626791009,0.8160348123951326,-18.39651876048673,-9.38551357602726,-2.322054366733539,8.463961880849347,-0.2369971566720974,-0.1682135831450303,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2032982626791009,21,strong,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,ifcvt-triangle-rev,10.230281719475965,9.27011723982871,9.965355534399874,11.055855918787172,-0.2024016950669485,0.8167667708544079,-18.323322914559213,-9.38551357602726,-2.589627464234268,8.069906791906977,-0.2408834360248154,-0.1610820840793952,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2024016950669485,22,strong,0.0018014879639441,True,False,negative_interaction
DeadStoreElimination-final,whole-program-visibility,10.230281719475965,9.27011723982871,10.121913561455,11.217968253095975,-0.2013701594169992,0.8176097295924861,-18.239027040751388,-9.38551357602726,-1.0592881114373842,9.6545389531131,-0.2351445516950212,-0.1651225642936471,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2013701594169992,24,strong,0.0018014879639441,True,False,negative_interaction
