mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,expand-reductions,10.230281719475965,10.72057044520781,10.80296977898292,9.250908972806934,0.2019115110929903,1.2237397159301735,22.37397159301735,4.792524186293501,5.597969588820795,-9.573272501426244,0.1740569220123651,0.2289130178588818,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.2019115110929903,23,strong,0.0018014879639441,True,False,positive_interaction
SingleUseConsts,expand-reductions,10.230281719475965,10.551671045344731,10.80296977898292,9.25064381131161,0.1860600476983844,1.2044945853337,20.449458533370013,3.141549125249643,5.597969588820795,-9.57586442902506,0.1542152608432516,0.2147497181519431,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1860600476983844,50,strong,0.0018014879639441,True,False,positive_interaction
ScalarReplacementOfAggregates,expand-reductions,10.230281719475965,10.415991027070223,10.80296977898292,9.219703653483617,0.1764682863827305,1.192996591922341,19.29965919223411,1.8152902597073028,5.597969588820795,-9.8783014359072,0.1455730031718232,0.2052207376874372,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1764682863827305,65,strong,0.0018014879639441,True,False,positive_interaction
ReferencePropagation,expand-reductions,10.230281719475965,10.429920269070038,10.80296977898292,9.232553699977885,0.176411898184934,1.1929293228911528,19.292932289115285,1.951447233501025,5.597969588820795,-9.752693492288156,0.1429191629913197,0.206265346676527,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.176411898184934,66,strong,0.0018014879639441,True,False,positive_interaction
InstSimplify-before-inline,expand-reductions,10.230281719475965,10.442274638616835,10.80296977898292,9.247183016185843,0.176012427353208,1.192452877591683,19.245287759168296,2.072209983594964,5.597969588820795,-9.60969336180194,0.1489961768648918,0.2040527806135018,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.176012427353208,67,strong,0.0018014879639441,True,False,positive_interaction
JumpThreading,promote-alloca-to-vector,10.230281719475965,10.72057044520781,10.521994801827208,9.250849767407187,0.1755646444821601,1.1919190371497883,19.191903714978853,4.792524186293501,2.851466756735488,-9.573851228399455,0.1390597375172353,0.2075978678998586,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1755646444821601,69,strong,0.0018014879639441,True,False,positive_interaction
JumpThreading,loop-idiom-vectorize-bytecmp,10.230281719475965,10.72057044520781,10.495939124149348,9.233707692692253,0.1749400134913767,1.1911747600541491,19.117476005414915,4.792524186293501,2.5967750640496945,-9.741413326736426,0.1443538850205496,0.206226246004535,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1749400134913767,72,strong,0.0018014879639441,True,False,positive_interaction
UnreachableEnumBranching,expand-reductions,10.230281719475965,10.39548383156468,10.80296977898292,9.236758978881396,0.1726493583288622,1.18844931216294,18.844931216294004,1.6148344358319244,5.597969588820795,-9.711587303633507,0.1441468551584508,0.199971711216079,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1726493583288622,78,strong,0.0018014879639441,True,False,positive_interaction
JumpThreading,loop-idiom-vectorize-all,10.230281719475965,10.72057044520781,10.486656628671437,9.259360021890336,0.1712809668378452,1.1868241604121756,18.682416041217564,4.792524186293501,2.506039581563013,-9.490664325863364,0.1388690028653131,0.2031344448437673,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1712809668378452,84,moderate,0.0018014879639441,True,False,positive_interaction
MatchBranchSimplification,expand-reductions,10.230281719475965,10.38011973491107,10.80296977898292,9.239428375342792,0.1708813509475146,1.1863499813696972,18.63499813696972,1.4646518985870438,5.597969588820795,-9.685494215147829,0.1406708077417569,0.2015822297075824,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1708813509475146,86,moderate,0.0018014879639441,True,False,positive_interaction
JumpThreading,interleaved-load-combine,10.230281719475965,10.72057044520781,10.45287152399723,9.252591257947472,0.1687853286154781,1.183865969496734,18.3865969496734,4.792524186293501,2.1757934984088623,-9.55682832924538,0.1364265884920773,0.203250208622589,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1687853286154781,90,moderate,0.0018014879639441,True,False,positive_interaction
UnreachablePropagation,expand-reductions,10.230281719475965,10.342479841118124,10.80296977898292,9.238684485090646,0.1673291241673533,1.1821432732093866,18.21432732093866,1.096725630033868,5.597969588820795,-9.692765669371129,0.1359780588902524,0.2002596699140507,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1673291241673533,95,moderate,0.0018014879639441,True,False,positive_interaction
JumpThreading,binop-extract-shuffle,10.230281719475965,10.72057044520781,10.42667667563823,9.257246661011015,0.1657731685816019,1.1803053410215074,18.030534102150742,4.792524186293501,1.9197414259705117,-9.511322221093154,0.1340832213896509,0.1961700198699843,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1657731685816019,98,moderate,0.0018014879639441,True,False,positive_interaction
SingleUseConsts,promote-alloca-to-vector,10.230281719475965,10.551671045344731,10.521994801827208,9.2377733967848,0.1610990491967185,1.1748013261788866,17.480132617888657,3.141549125249643,2.851466756735488,-9.701671468163664,0.1276023543048059,0.1948088922622134,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1610990491967185,108,moderate,0.0018014879639441,True,False,positive_interaction
SingleUseConsts,loop-idiom-vectorize-all,10.230281719475965,10.551671045344731,10.486656628671437,9.224693653786428,0.1591517927908123,1.1725159126360525,17.25159126360525,3.141549125249643,2.506039581563013,-9.82952467257222,0.1249130550219169,0.1944071624889783,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1591517927908123,112,moderate,0.0018014879639441,True,False,positive_interaction
SingleUseConsts,loop-idiom-vectorize-bytecmp,10.230281719475965,10.551671045344731,10.495939124149348,9.2430227205441,0.1580515880183504,1.1712266144092665,17.122661440926645,3.141549125249643,2.5967750640496945,-9.650359843486632,0.1235265408823044,0.1890423440843367,0.000999500249875,60,20,20,20,2,"easy_case,mir_dependent_case",0.1580515880183504,116,moderate,0.0018014879639441,True,False,positive_interaction
