Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
easy_case,EXP_000_ALL_OFF,10,9.436813,0.095058,0.653855,0.000000,491256,22,66,43,56,50,16
easy_case,EXP_001_DISABLE_ALL,10,11.365781,0.353317,0.430737,0.000000,491480,22,66,42,56,54,15
easy_case,EXP_ABL_001_CopyProp,10,9.294124,0.048164,0.426720,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_001_disable-binop-extract-shuffle,10,10.517339,0.628567,0.429022,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_002_DataflowConstProp,10,9.262188,0.079792,0.479122,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_002_disable-expand-reductions,10,10.805077,0.293156,0.400668,0.000000,491160,22,66,42,56,51,15
easy_case,EXP_ABL_003_DeadStoreElimination-final,10,9.242999,0.030440,0.432546,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_003_disable-interleaved-load-combine,10,10.029342,0.966561,0.462350,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_004_DeadStoreElimination-initial,10,9.257420,0.054082,0.419276,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,10.464736,0.641677,0.415097,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_005_DestinationPropagation,10,9.253443,0.079198,0.386357,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,10.773962,0.823008,0.405005,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_006_EarlyOtherwiseBranch,10,9.273290,0.037774,0.435110,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_006_disable-promote-alloca-to-vector,10,10.606502,0.836678,0.443242,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_007_EnumSizeOpt,10,9.294577,0.102494,0.431760,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_007_disable-replace-with-vec-lib,10,9.635351,0.884651,0.439704,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_008_ForceInline,10,9.296059,0.081140,0.453100,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_008_disable-vector-combine,10,9.882098,0.287063,0.422844,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_009_GVN,10,9.283696,0.077563,0.441085,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_009_disable-advanced-peeling,10,10.050363,0.431117,0.436198,0.000000,491128,22,66,42,56,51,15
easy_case,EXP_ABL_010_ImpossiblePredicates,10,9.270274,0.050918,0.441933,0.000000,491128,22,66,42,56,51,15
