ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_1611,easy,cgp-store-extract,UnreachablePropagation,3,3.683118,11.092991,417160.0,-35.497351500676174,5502.039723862093,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1612,easy,memop-opt,UnreachablePropagation,3,3.692518,10.257233,417160.0,-35.33272878267104,5079.975961659857,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1615,easy,cgp-delete-phis,UnreachablePropagation,3,3.702529,16.338855,417160.0,-35.15740558799557,8151.238530025199,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1613,easy,separate-const-offset-from-gep,UnreachablePropagation,3,3.736347,10.36607,417160.0,-34.56514909038943,5134.9394243928555,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1649,easy,cgp,UnreachablePropagation,3,3.819746,15.060532,424520.0,-33.104577807526624,7505.676280319366,1.7643110557100439,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1659,easy,spill-fusing,UnreachablePropagation,3,3.828605,14.440251,419288.0,-32.94942965233433,7192.429942883692,0.5101160226292034,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1616,easy,cleanups,UnreachablePropagation,3,3.831265,15.748278,417160.0,-32.902844925749896,7852.9929248498875,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1625,easy,mergeicmps,UnreachablePropagation,3,3.837558,16.485333,417160.0,-32.79263526996199,8225.21096673518,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1657,easy,peephole,UnreachablePropagation,3,3.841716,14.081752,425960.0,-32.719815986827385,7011.385386103213,2.109502349218517,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1646,easy,vp,UnreachablePropagation,3,3.852253,15.259468,417160.0,-32.535280925165665,7606.140381886404,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1640,easy,nofree-inference,UnreachablePropagation,3,3.852523,14.521394,417160.0,-32.530552400286794,7233.407737719489,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1609,easy,tail-duplicate,UnreachablePropagation,3,3.85882,11.145218,416824.0,-32.42027269227846,5528.414732068459,-0.08054463515198007,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1655,easy,partial-inlining,UnreachablePropagation,3,3.863358,14.113887,417160.0,-32.34079844820321,7027.6137907351385,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1658,easy,post-ra,UnreachablePropagation,3,3.86788,14.186436,417160.0,-32.26160441300968,7064.251554159492,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1617,easy,constant-hoisting,UnreachablePropagation,3,3.878374,15.821406,416824.0,-32.07782241271756,7889.9230874116865,-0.08054463515198007,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1648,easy,2addr-hack,UnreachablePropagation,3,3.88271,14.254177,417160.0,-32.001885805773924,7098.461243226592,0.0,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1614,easy,adv-copy-opt,UnreachablePropagation,3,3.885916,16.435167,417128.0,-31.9457389511011,8199.876778256414,-0.007670917633517682,8.0,,7.0,,4.0,,2.0,,34.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,5.0,,2.0,,7.0,,0.0,,0.1324396782841823,0.0
