ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_1609,mir-dependent,tail-duplicate,UnreachablePropagation,3,3.763429,10.840248,416824.0,-37.7754214974226,-9.06148821161008,-0.13034061068409875,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1615,mir-dependent,cgp-delete-phis,UnreachablePropagation,3,3.775513,16.273216,417160.0,-37.57562450201624,36.51551560914616,-0.04983611584979952,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1610,mir-dependent,cgp-ext-ld-promotion,UnreachablePropagation,3,3.784643,10.782108,417240.0,-37.42466897668854,-9.549222908766186,-0.030668378984488598,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1655,mir-dependent,partial-inlining,UnreachablePropagation,3,3.784827,13.763615,417160.0,-37.421626718565825,15.462548912936324,-0.04983611584979952,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1654,mir-dependent,mr-partial-inlining,UnreachablePropagation,3,3.849129,13.51343,417160.0,-36.358456708749586,13.36375453371379,-0.04983611584979952,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1624,mir-dependent,machine-sink,UnreachablePropagation,3,3.850832,14.773934,417704.0,-36.33029928710302,23.93808437038476,0.08050449483429922,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1652,mir-dependent,dfa-sched,UnreachablePropagation,3,3.86041,14.659632,417160.0,-36.171936524607,22.97920835809828,-0.04983611584979952,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1640,mir-dependent,nofree-inference,UnreachablePropagation,3,3.860518,14.929396,417160.0,-36.17015085136106,25.24225037467236,-0.04983611584979952,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1649,mir-dependent,cgp,UnreachablePropagation,3,3.861864,16.65636,424520.0,-36.147896071832996,39.729699007962395,1.7135956757585724,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
EXP_DBL_1650,mir-dependent,cgp-gc-opts,UnreachablePropagation,3,3.887774,14.234242,417160.0,-35.719499832923816,19.410624546209164,-0.04983611584979952,9.0,-7.0,7.0,-1.0,4.0,0.0,2.0,0.0,41.0,13.0,10.0,0.0,9.0,0.0,0.0,0.0,247.0,-3.0,1618.0,-14.0,6.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.1324396782841823,0.0
