mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
EnumSizeOpt,nounwind-inference,4.737616933369248,4.9380857506248255,4.462708153192638,6.156062173420925,-0.2802380209610826,0.7556038704905927,-24.439612950940727,4.231427320423098,-5.802680631274725,29.94005762814855,-0.2911542946351508,-0.2684011489104503,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2802380209610826,1,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,cgp,4.737616933369248,4.9380857506248255,4.475742901174952,6.153447189778638,-0.2768965904460035,0.7581328912412407,-24.186710875875928,4.231427320423098,-5.527547623147711,29.884861446628097,-0.2912732202292055,-0.2633976795163597,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2768965904460035,2,extreme,0.0014893809827581,True,False,negative_interaction
EarlyOtherwiseBranch,post-ra,4.737616933369248,4.894035820545834,4.510604334390651,6.077998401114303,-0.2657612564773818,0.7666221317228582,-23.33778682771418,3.301636442466571,-4.791704398463292,28.292314186571787,-0.2809516995971299,-0.2486977245252037,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2657612564773818,3,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,spill-fusing,4.737616933369248,4.9380857506248255,4.545524102069899,6.1456068356718285,-0.2601509523084311,0.7709352025711496,-22.906479742885043,4.231427320423098,-4.054629869847637,29.71936993017419,-0.2750938626673053,-0.2454560941819514,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2601509523084311,4,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,post-ra,4.737616933369248,4.9380857506248255,4.510604334390651,6.081535002058337,-0.2573824846440231,0.7730724688620557,-22.692753113794428,4.231427320423098,-4.791704398463292,28.366963551300397,-0.2711060622396897,-0.2419115251820339,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2573824846440231,5,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,ondemand-mds-loading,4.737616933369248,4.9380857506248255,4.552880314980228,6.134588422726317,-0.2567394165934457,0.77356976694868,-22.643023305132004,4.231427320423098,-3.899357440400753,29.486797033283697,-0.2709932553730179,-0.2431465296877258,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2567394165934457,6,extreme,0.0014893809827581,True,False,negative_interaction
EarlyOtherwiseBranch,peephole,4.737616933369248,4.894035820545834,4.568593034564894,6.096858175110894,-0.2560852659648566,0.7740759636443796,-22.592403635562043,3.301636442466571,-3.56769872240702,28.69039985415189,-0.267447259541022,-0.2447137771341699,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2560852659648566,7,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,peephole,4.737616933369248,4.9380857506248255,4.568593034564894,6.1436156240914,-0.2547646414796052,0.7750989026258746,-22.490109737412546,4.231427320423098,-3.56769872240702,29.67734011627339,-0.2656515016165325,-0.2440596474266659,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2547646414796052,8,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,dfa-sched,4.737616933369248,4.9380857506248255,4.555335965427951,6.122516746411969,-0.2542304559500584,0.775513059852175,-22.4486940147825,4.231427320423098,-3.847524409527625,29.23199221296735,-0.2646385715462196,-0.2438338415983331,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2542304559500584,9,extreme,0.0014893809827581,True,False,negative_interaction
EnumSizeOpt,cgdata-for-merging,4.737616933369248,4.9380857506248255,4.593313196591756,6.140875904606608,-0.2489222908368076,0.779640556245965,-22.035944375403503,4.231427320423098,-3.045913986018866,29.61951105319538,-0.26094235313485,-0.2375419218566753,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.2489222908368076,10,extreme,0.0014893809827581,True,False,negative_interaction
