mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DataflowConstProp,loop-idiom-vectorize-bytecmp,4.737616933369248,4.93314531812199,4.910179984255435,4.572577331837104,0.1116761118652607,1.118150646262566,11.81506462625659,4.127146358658607,3.642401935680883,-3.4835995365031014,0.1009063212315238,0.122312024091564,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1116761118652607,196,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,gep-const-evaluation,4.737616933369248,4.874410211250947,4.91558163372837,4.523416088534818,0.111607467119716,1.1180738937303316,11.80738937303316,2.8873857849966766,3.756418107712212,-4.521278268103801,0.0964751584515298,0.1247372392808919,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.111607467119716,197,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,promote-alloca-to-vector,4.737616933369248,4.93314531812199,4.89983032421246,4.563574630123525,0.1115368778361381,1.117994972480716,11.79949724807161,4.127146358658607,3.423944846630977,-3.673625489217192,0.0994490565325905,0.1237391541744123,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1115368778361381,198,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,block-placement,4.737616933369248,4.874410211250947,4.945673152465695,4.5684165173344695,0.1078112961741927,1.113837540148671,11.383754014867131,2.8873857849966766,4.391579606848528,-3.571424587813765,0.0955572238639607,0.1195725073878995,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1078112961741927,203,moderate,0.0014893809827581,True,False,positive_interaction
Inline,icp,4.737616933369248,4.813831045703934,4.863028407679899,4.444280621188231,0.1060023468231985,1.111824485758965,11.182448575896498,1.608701450678196,2.6471425629058354,-6.19164268252489,0.094324025680813,0.1177048069596722,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1060023468231985,205,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,adv-copy-opt,4.737616933369248,4.93314531812199,4.915974733938597,4.604627636558663,0.1058707739529365,1.1116782094433544,11.16782094433544,4.127146358658607,3.76471553267832,-2.8070926518747874,0.0961925913586053,0.1151070892861407,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1058707739529365,206,moderate,0.0014893809827581,True,False,positive_interaction
Inline,ifcvt-triangle-rev,4.737616933369248,4.813831045703934,4.907725011703758,4.486862471280388,0.1056158103418348,1.111394808082744,11.139480808274405,1.608701450678196,3.590583213605969,-5.292839535477823,0.0934198660611402,0.117975316894671,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1056158103418348,209,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,tail-duplicate,4.737616933369248,4.93314531812199,4.810219100241951,4.515002679074508,0.1037793814002535,1.1093556834185063,10.935568341850631,4.127146358658607,1.5324617396001772,-4.698865641220662,0.0900770776391181,0.1176941203982573,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1037793814002535,210,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,block-placement,4.737616933369248,4.93314531812199,4.945673152465695,4.653135998780081,0.1014142106570979,1.106734968253446,10.673496825344596,4.127146358658607,4.391579606848528,-1.7831947111242363,0.0890566204649948,0.1146624368240204,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.1014142106570979,212,moderate,0.0014893809827581,True,False,positive_interaction
Inline,block-placement,4.737616933369248,4.813831045703934,4.945673152465695,4.553487776220015,0.0985785898567103,1.103601132841254,10.360113284125404,1.608701450678196,4.391579606848528,-3.886535356042076,0.0860195555876587,0.1111218862947154,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0985785898567103,217,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,tail-calls,4.737616933369248,4.93314531812199,4.898754567379079,4.622112850201002,0.0985716030272831,1.10359342219532,10.359342219531984,4.127146358658607,3.4012381388386137,-2.4380207347431626,0.089028696736394,0.107968018942348,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0985716030272831,218,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,tail-calls,4.737616933369248,4.874410211250947,4.898754567379079,4.571289299180086,0.0976505776253735,1.1025774525588383,10.257745255883831,2.8873857849966766,3.4012381388386137,-3.5107868898736405,0.0875715008955821,0.1081823935702963,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0976505776253735,221,moderate,0.0014893809827581,True,False,positive_interaction
Inline,ifcvt-diamond,4.737616933369248,4.813831045703934,4.844150795198528,4.464596471873574,0.0975521107960253,1.1024688905979378,10.246889059793784,1.608701450678196,2.24868036668211,-5.762822645551236,0.0841357096808399,0.1110748242567321,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0975521107960253,222,moderate,0.0014893809827581,True,False,positive_interaction
Inline,cgp-select2branch,4.737616933369248,4.813831045703934,4.8878507373454125,4.507794211196625,0.0969037290966772,1.1017543016334117,10.175430163341147,1.608701450678196,3.171083818913223,-4.851019518987987,0.085815937112423,0.1082264833077473,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0969037290966772,223,moderate,0.0014893809827581,True,False,positive_interaction
Inline,ifcvt-simple,4.737616933369248,4.813831045703934,4.893945209636152,4.515116489754776,0.0965267720845971,1.1013390658917506,10.133906589175057,1.608701450678196,3.299723858335013,-4.6964633642559095,0.083630383933029,0.1096605786698903,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0965267720845971,225,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,demotion,4.737616933369248,4.874410211250947,4.860230395782745,4.544258004491746,0.0956862465779619,1.1004137512451726,10.04137512451726,2.8873857849966766,2.588083083498671,-4.0813542250658585,0.0849835630311909,0.1059535739570234,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0956862465779619,227,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,licm-promotion,4.737616933369248,4.874410211250947,4.935383717791525,4.617665577278044,0.0950059953517743,1.0996654479875343,9.966544798753452,2.8873857849966766,4.174393734312143,-2.53189225254431,0.0829509736616687,0.1066823770095361,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0950059953517743,228,moderate,0.0014893809827581,True,False,positive_interaction
DeadStoreElimination-initial,binop-extract-shuffle,4.737616933369248,4.952713237373973,4.921883286600726,4.679527403902937,0.0948954188988578,1.0995438576055416,9.954385760554164,4.54017931440811,3.8894312440840073,-1.226133946312946,0.0827250819591495,0.106593335005049,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0948954188988578,230,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,expand-reductions,4.737616933369248,4.93314531812199,4.957240886762355,4.69611873835127,0.0945554735001596,1.0991701362565074,9.91701362565074,4.127146358658607,4.635747391187195,-0.8759297258857268,0.0836511659799641,0.1054737971009164,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0945554735001596,231,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,licm-promotion,4.737616933369248,4.93314531812199,4.935383717791525,4.676611797338129,0.0942990789972837,1.098888351201459,9.888835120145888,4.127146358658607,4.174393734312143,-1.2876755737981085,0.0841163249108751,0.1046147446607985,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0942990789972837,232,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,bitcode-version-upgrade,4.737616933369248,4.874410211250947,4.860067933725539,4.554415062054395,0.0934201723688048,1.0979229552542238,9.79229552542238,2.8873857849966766,2.5846538898873783,-3.866962523383344,0.0830785384290593,0.1045261434974558,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0934201723688048,234,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,loop-idiom-vectorize-bytecmp,4.737616933369248,4.874410211250947,4.910179984255435,4.606309936520245,0.0923483711499797,1.0967468304911738,9.674683049117384,2.8873857849966766,3.642401935680883,-2.7715832389095474,0.0813686884319094,0.1033960556942676,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0923483711499797,235,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,vector-combine,4.737616933369248,4.93314531812199,4.902231830200071,4.656448495992724,0.0918800722960561,1.0962333454490227,9.623334544902274,4.127146358658607,3.474635014734173,-1.7132756514106395,0.0807250616741835,0.1033225168775169,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0918800722960561,236,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,replace-with-vec-lib,4.737616933369248,4.874410211250947,4.902247318456592,4.601296206405406,0.0918205508062319,1.0961680979489403,9.616809794894031,2.8873857849966766,3.4749619355624928,-2.877411341631919,0.0787683698563262,0.1042484631920227,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0918205508062319,237,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,lftr,4.737616933369248,4.93314531812199,4.836321637422608,4.5947049281920735,0.0916924291941667,1.0960276641216329,9.602766412163287,4.127146358658607,2.083425178556264,-3.0165377907736213,0.0804922388391562,0.1032590121192862,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0916924291941667,238,moderate,0.0014893809827581,True,False,positive_interaction
Inline,loop-level-heuristics,4.737616933369248,4.813831045703934,4.854972489336827,4.501039462163066,0.0916540632622675,1.0959856148055471,9.598561480554736,1.608701450678196,2.4771009901832786,-4.993596454366244,0.0782971495687574,0.1042492752356404,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0916540632622675,239,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,branch-fold,4.737616933369248,4.93314531812199,4.773095878941934,4.539318685443424,0.0906607216640545,1.0948974672439125,9.489746724391246,4.127146358658607,0.7488774645917795,-4.185611684412827,0.0775692733028286,0.1037126539111332,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0906607216640545,243,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,cgp-branch-opts,4.737616933369248,4.93314531812199,4.9495342921911725,4.70804194611143,0.0904639184461276,1.094682009101182,9.468200910118195,4.127146358658607,4.473079225323007,-0.6242587290987478,0.0806544549456859,0.1004559496683397,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0904639184461276,245,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,constant-hoisting,4.737616933369248,4.93314531812199,4.88671029665729,4.656660579962311,0.0886632861948577,1.0927126629369153,9.271266293691529,4.127146358658607,3.147011786409082,-1.7087990554222166,0.0760055566259892,0.1009178208003777,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0886632861948577,248,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,early-taildup,4.737616933369248,4.93314531812199,4.923638350246751,4.697624362717003,0.0874333606752139,1.0913695338907905,9.13695338907905,4.127146358658607,3.926476528046563,-0.8441495210505079,0.0760677121288203,0.0981694484093414,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0874333606752139,250,moderate,0.0014893809827581,True,False,positive_interaction
Inline,preheader-prot,4.737616933369248,4.813831045703934,5.009150654478559,4.664509341456989,0.087242710281887,1.0911614836929455,9.116148369294551,1.608701450678196,5.731441037302365,-1.5431300786968971,0.0762268070509844,0.0981632654812604,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.087242710281887,251,moderate,0.0014893809827581,True,False,positive_interaction
UnreachablePropagation,licm-promotion,4.737616933369248,4.907962174430047,4.935383717791525,4.690171597418067,0.0862858217915981,1.090117863221993,9.0117863221993,3.5955891634247283,4.174393734312143,-1.001459945336669,0.0761076980340465,0.0966438814119738,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0862858217915981,252,moderate,0.0014893809827581,True,False,positive_interaction
Inline,ifcvt-triangle-false,4.737616933369248,4.813831045703934,4.909671951934926,4.577526854793486,0.0860072527861119,1.089814232465995,8.981423246599496,1.608701450678196,3.631678562988383,-3.37912669655015,0.0742829006846693,0.0974266268611966,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0860072527861119,253,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,loop-level-heuristics,4.737616933369248,4.93314531812199,4.854972489336827,4.639669144676569,0.0858029041729245,1.089591553191834,8.959155319183388,4.127146358658607,2.4771009901832786,-2.067448467662858,0.0723871431228446,0.0981166903870918,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0858029041729245,255,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,lsr,4.737616933369248,4.93314531812199,4.790151086612404,4.578791684143872,0.0855693416949846,1.0893370952058037,8.933709520580368,4.127146358658607,1.1088729625465144,-3.3524291106504456,0.0718408317019362,0.0979902744954991,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0855693416949846,256,moderate,0.0014893809827581,True,False,positive_interaction
CopyProp,constant-hoisting,4.737616933369248,4.874410211250947,4.88671029665729,4.616331544891743,0.0853838465628443,1.0891350472174215,8.913504721742171,2.8873857849966766,3.147011786409082,-2.5600505524884354,0.0726055078690993,0.0988958307604512,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.0853838465628443,257,moderate,0.0014893809827581,True,False,positive_interaction
DataflowConstProp,ifcvt-simple-false,4.737616933369248,4.93314531812199,4.868759959495307,4.655709064030984,0.085187581576538,1.0889213091176324,8.89213091176324,4.127146358658607,2.768122200897216,-1.728883328691011,0.0746304241450511,0.0958640036003019,0.000999500249875,60,20,20,20,2,"easy,mir-dependent",0.085187581576538,261,moderate,0.0014893809827581,True,False,positive_interaction
