mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
EnumSizeOpt,nounwind-inference,4.737616933369248,4.9380857506248255,4.462708153192638,6.156062173420925,-0.28023802096108263,0.7556038704905927,-24.439612950940727,4.231427320423098,-5.802680631274725,29.94005762814855,-0.29136550174226455,-0.26887351096777856,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.28023802096108263,1,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,cgp,4.737616933369248,4.9380857506248255,4.475742901174952,6.153447189778638,-0.27689659044600357,0.7581328912412407,-24.186710875875928,4.231427320423098,-5.5275476231477105,29.884861446628097,-0.29057452186830374,-0.26329503637217166,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.27689659044600357,2,extreme,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,post-ra,4.737616933369248,4.894035820545834,4.510604334390651,6.077998401114303,-0.2657612564773818,0.7666221317228582,-23.33778682771418,3.301636442466571,-4.791704398463292,28.292314186571787,-0.28079067036117084,-0.24933552491054806,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2657612564773818,3,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,spill-fusing,4.737616933369248,4.9380857506248255,4.545524102069899,6.1456068356718285,-0.2601509523084311,0.7709352025711496,-22.906479742885043,4.231427320423098,-4.054629869847637,29.71936993017419,-0.27522130438947007,-0.245230060497243,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2601509523084311,4,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,post-ra,4.737616933369248,4.9380857506248255,4.510604334390651,6.081535002058337,-0.25738248464402314,0.7730724688620557,-22.692753113794428,4.231427320423098,-4.791704398463292,28.366963551300394,-0.27068844320705504,-0.24259959692476066,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.25738248464402314,5,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,ondemand-mds-loading,4.737616933369248,4.9380857506248255,4.552880314980228,6.134588422726317,-0.2567394165934457,0.77356976694868,-22.643023305132004,4.231427320423098,-3.8993574404007525,29.486797033283697,-0.27164696357984786,-0.24262657553706685,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2567394165934457,6,extreme,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,peephole,4.737616933369248,4.894035820545834,4.568593034564894,6.096858175110894,-0.2560852659648566,0.7740759636443796,-22.592403635562043,3.301636442466571,-3.56769872240702,28.69039985415189,-0.2679693904835803,-0.24403235914678417,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2560852659648566,7,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,peephole,4.737616933369248,4.9380857506248255,4.568593034564894,6.1436156240913995,-0.2547646414796052,0.7750989026258746,-22.490109737412546,4.231427320423098,-3.56769872240702,29.67734011627339,-0.2657566095700249,-0.24353068007588494,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2547646414796052,8,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,dfa-sched,4.737616933369248,4.9380857506248255,4.555335965427951,6.122516746411969,-0.25423045595005844,0.775513059852175,-22.4486940147825,4.231427320423098,-3.847524409527625,29.23199221296735,-0.26499895762579045,-0.2431584833271126,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.25423045595005844,9,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,cgdata-for-merging,4.737616933369248,4.9380857506248255,4.5933131965917555,6.140875904606608,-0.2489222908368076,0.779640556245965,-22.035944375403503,4.231427320423098,-3.0459139860188666,29.61951105319538,-0.2609551190117614,-0.23720155417662891,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2489222908368076,10,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,complex-addr-modes,4.737616933369248,4.9380857506248255,4.610328027510764,6.1594043860145025,-0.2482375685496503,0.7801745763176563,-21.98254236823437,4.231427320423098,-2.686770746742484,30.01060390997301,-0.2618179258215125,-0.23530805142558386,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2482375685496503,11,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,nofree-inference,4.737616933369248,4.9380857506248255,4.604087004372579,6.145350227114013,-0.24730784336660083,0.7809002615600834,-21.909973843991658,4.231427320423098,-2.818504131394739,29.713953524385705,-0.25839811383729194,-0.23547559236510626,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.24730784336660083,12,extreme,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,spill-fusing,4.737616933369248,4.894035820545834,4.545524102069899,6.010073125693167,-0.24681084917942375,0.7812884609092633,-21.87115390907367,3.301636442466571,-4.054629869847637,26.858570674243776,-0.2603758092124747,-0.232854407709809,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.24681084917942375,13,extreme,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,nounwind-inference,4.737616933369248,4.894035820545834,4.462708153192638,5.893739675707448,-0.24565189300906298,0.7821944648999128,-21.780553510008716,3.301636442466571,-5.802680631274725,24.4030439480045,-0.25852691006959266,-0.2326061196800812,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.24565189300906298,14,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,mr-partial-inlining,4.737616933369248,4.9380857506248255,4.6850149049964545,6.217571514890769,-0.24156679808902215,0.7853963390621584,-21.460366093784156,4.231427320423098,-1.1103056475987527,31.238375798125627,-0.2583268855757248,-0.22576850805658705,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.24156679808902215,15,extreme,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,mr-partial-inlining,4.737616933369248,4.894035820545834,4.6850149049964545,6.128007051092635,-0.2360174542959529,0.7897668889874857,-21.02331110125143,3.301636442466571,-1.1103056475987527,29.347879688841473,-0.24881571012791834,-0.2225731025060535,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2360174542959529,16,extreme,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,partial-libcall-inlining,4.737616933369248,4.894035820545834,4.667718435491453,6.096933890774442,-0.23463257770712942,0.7908613763527119,-20.913862364728807,3.301636442466571,-1.4753936179488503,28.69199803451583,-0.24582821840430252,-0.22283000186568233,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.23463257770712942,17,extreme,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,ra-fsprofile-loader,4.737616933369248,4.9380857506248255,4.684877210655186,6.156995011642609,-0.23180562580783248,0.7931002665490826,-20.68997334509174,4.231427320423098,-1.1132120527219347,29.959747658701975,-0.24650212769317564,-0.2174896104626914,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.23180562580783248,18,strong,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,dfa-sched,4.737616933369248,4.894035820545834,4.555335965427951,5.932678391743696,-0.2316934619656532,0.7931892287112878,-20.681077128871216,3.301636442466571,-3.847524409527625,25.224949065786074,-0.24389568714399526,-0.21906735019697327,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2316934619656532,19,strong,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,ondemand-mds-loading,4.737616933369248,4.894035820545834,4.552880314980228,5.927876509047432,-0.23142295536813784,0.793403820653692,-20.659617934630802,3.301636442466571,-3.8993574404007525,25.123592566014175,-0.24446977961955516,-0.21778993306772473,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.23142295536813784,20,strong,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,partial-libcall-inlining,4.737616933369248,4.9380857506248255,4.667718435491453,6.116510527197147,-0.22887786041139202,0.795425680537613,-20.457431946238703,4.231427320423098,-1.4753936179488503,29.10521498932741,-0.23907122487582252,-0.21845968389214793,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.22887786041139202,21,strong,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,2addr-hack,4.737616933369248,4.9380857506248255,4.667680029522041,6.1094179669731075,-0.22772583938170754,0.796342555677462,-20.365744432253795,4.231427320423098,-1.4762042780328777,28.955507650726787,-0.240776196090148,-0.21453344308315117,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.22772583938170754,22,strong,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,global-outlining,4.737616933369248,4.9380857506248255,4.60493017141823,6.023689138167947,-0.22712887570871299,0.7968180851772576,-20.31819148227424,4.231427320423098,-2.8007068493959952,27.145972814735032,-0.23759941494259032,-0.21630378552903842,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.22712887570871299,23,strong,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,cgp,4.737616933369248,4.894035820545834,4.475742901174952,5.796887895919377,-0.22616582283185993,0.7975858327579357,-20.24141672420643,3.301636442466571,-5.5275476231477105,22.35872966193593,-0.24081467728100178,-0.2115051463740349,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.22616582283185993,24,strong,6.535302364818845e-05,True,False,negative_interaction
EnumSizeOpt,type-promotion,4.737616933369248,4.9380857506248255,4.6630751511218005,6.089196371214188,-0.22539747647416863,0.7981988904176311,-20.180110958236884,4.231427320423098,-1.5734024784151313,28.52867711454541,-0.23737158155617158,-0.2125230235838646,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.22539747647416863,25,strong,6.535302364818845e-05,True,False,negative_interaction
EarlyOtherwiseBranch,cgdata-for-merging,4.737616933369248,4.894035820545834,4.5933131965917555,5.940076591306486,-0.2246374027867435,0.7988058110145387,-20.119418898546126,3.301636442466571,-3.0459139860188666,25.381107735151698,-0.24027317818176283,-0.20834793087815584,3.999920001599968e-05,60,20,20,20,2,"easy,mir-dependent",0.2246374027867435,26,strong,6.535302364818845e-05,True,False,negative_interaction
