Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_CodeGen_000_BASELINE,Baseline,CodeGen,None,None,,Default settings
EXP_CodeGen_SGL_0001,Single_Disable_LLVM,CodeGen,-disable-2addr-hack,None,-C llvm-args=-disable-2addr-hack,Disable LLVM -disable-2addr-hack
EXP_CodeGen_SGL_0002,Single_Disable_LLVM,CodeGen,-disable-cgp,None,-C llvm-args=-disable-cgp,Disable LLVM -disable-cgp
EXP_CodeGen_SGL_0003,Single_Disable_LLVM,CodeGen,-disable-cgp-gc-opts,None,-C llvm-args=-disable-cgp-gc-opts,Disable LLVM -disable-cgp-gc-opts
EXP_CodeGen_SGL_0004,Single_Disable_LLVM,CodeGen,-disable-complex-addr-modes,None,-C llvm-args=-disable-complex-addr-modes,Disable LLVM -disable-complex-addr-modes
EXP_CodeGen_SGL_0005,Single_Disable_LLVM,CodeGen,-disable-dfa-sched,None,-C llvm-args=-disable-dfa-sched,Disable LLVM -disable-dfa-sched
EXP_CodeGen_SGL_0006,Single_Disable_LLVM,CodeGen,-disable-i2p-p2i-opt,None,-C llvm-args=-disable-i2p-p2i-opt,Disable LLVM -disable-i2p-p2i-opt
EXP_CodeGen_SGL_0007,Single_Disable_LLVM,CodeGen,-disable-mr-partial-inlining,None,-C llvm-args=-disable-mr-partial-inlining,Disable LLVM -disable-mr-partial-inlining
EXP_CodeGen_SGL_0008,Single_Disable_LLVM,CodeGen,-disable-partial-inlining,None,-C llvm-args=-disable-partial-inlining,Disable LLVM -disable-partial-inlining
EXP_CodeGen_SGL_0009,Single_Disable_LLVM,CodeGen,-disable-partial-libcall-inlining,None,-C llvm-args=-disable-partial-libcall-inlining,Disable LLVM -disable-partial-libcall-inlining
EXP_CodeGen_SGL_0010,Single_Disable_LLVM,CodeGen,-disable-peephole,None,-C llvm-args=-disable-peephole,Disable LLVM -disable-peephole
EXP_CodeGen_SGL_0011,Single_Disable_LLVM,CodeGen,-disable-post-ra,None,-C llvm-args=-disable-post-ra,Disable LLVM -disable-post-ra
EXP_CodeGen_SGL_0012,Single_Disable_LLVM,CodeGen,-disable-spill-fusing,None,-C llvm-args=-disable-spill-fusing,Disable LLVM -disable-spill-fusing
EXP_CodeGen_SGL_0013,Single_Disable_LLVM,CodeGen,-disable-strictnode-mutation,None,-C llvm-args=-disable-strictnode-mutation,Disable LLVM -disable-strictnode-mutation
EXP_CodeGen_DBL_0014,Double_Disable,CodeGen,-disable-2addr-hack,CopyProp,-C llvm-args=-disable-2addr-hack -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-2addr-hack AND MIR CopyProp
EXP_CodeGen_DBL_0015,Double_Disable,CodeGen,-disable-2addr-hack,DataflowConstProp,-C llvm-args=-disable-2addr-hack -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-2addr-hack AND MIR DataflowConstProp
EXP_CodeGen_DBL_0016,Double_Disable,CodeGen,-disable-2addr-hack,DeadStoreElimination-final,-C llvm-args=-disable-2addr-hack -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-2addr-hack AND MIR DeadStoreElimination-final
