Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_DataFlow_000_BASELINE,Baseline,DataFlow,None,None,,Default settings
EXP_DataFlow_SGL_0001,Single_Disable_LLVM,DataFlow,-disable-adv-copy-opt,None,-C llvm-args=-disable-adv-copy-opt,Disable LLVM -disable-adv-copy-opt
EXP_DataFlow_SGL_0002,Single_Disable_LLVM,DataFlow,-disable-cgp-delete-phis,None,-C llvm-args=-disable-cgp-delete-phis,Disable LLVM -disable-cgp-delete-phis
EXP_DataFlow_SGL_0003,Single_Disable_LLVM,DataFlow,-disable-cleanups,None,-C llvm-args=-disable-cleanups,Disable LLVM -disable-cleanups
EXP_DataFlow_SGL_0004,Single_Disable_LLVM,DataFlow,-disable-constant-hoisting,None,-C llvm-args=-disable-constant-hoisting,Disable LLVM -disable-constant-hoisting
EXP_DataFlow_SGL_0005,Single_Disable_LLVM,DataFlow,-disable-copyprop,None,-C llvm-args=-disable-copyprop,Disable LLVM -disable-copyprop
EXP_DataFlow_SGL_0006,Single_Disable_LLVM,DataFlow,-disable-demotion,None,-C llvm-args=-disable-demotion,Disable LLVM -disable-demotion
EXP_DataFlow_SGL_0007,Single_Disable_LLVM,DataFlow,-disable-gep-const-evaluation,None,-C llvm-args=-disable-gep-const-evaluation,Disable LLVM -disable-gep-const-evaluation
EXP_DataFlow_SGL_0008,Single_Disable_LLVM,DataFlow,-disable-icp,None,-C llvm-args=-disable-icp,Disable LLVM -disable-icp
EXP_DataFlow_SGL_0009,Single_Disable_LLVM,DataFlow,-disable-machine-cse,None,-C llvm-args=-disable-machine-cse,Disable LLVM -disable-machine-cse
EXP_DataFlow_SGL_0010,Single_Disable_LLVM,DataFlow,-disable-machine-dce,None,-C llvm-args=-disable-machine-dce,Disable LLVM -disable-machine-dce
EXP_DataFlow_SGL_0011,Single_Disable_LLVM,DataFlow,-disable-machine-sink,None,-C llvm-args=-disable-machine-sink,Disable LLVM -disable-machine-sink
EXP_DataFlow_SGL_0012,Single_Disable_LLVM,DataFlow,-disable-mergeicmps,None,-C llvm-args=-disable-mergeicmps,Disable LLVM -disable-mergeicmps
EXP_DataFlow_SGL_0013,Single_Disable_LLVM,DataFlow,-disable-non-allocatable-phys-copy-opt,None,-C llvm-args=-disable-non-allocatable-phys-copy-opt,Disable LLVM -disable-non-allocatable-phys-copy-opt
EXP_DataFlow_SGL_0014,Single_Disable_LLVM,DataFlow,-disable-phi-elim-edge-splitting,None,-C llvm-args=-disable-phi-elim-edge-splitting,Disable LLVM -disable-phi-elim-edge-splitting
EXP_DataFlow_SGL_0015,Single_Disable_LLVM,DataFlow,-disable-postra-machine-sink,None,-C llvm-args=-disable-postra-machine-sink,Disable LLVM -disable-postra-machine-sink
EXP_DataFlow_SGL_0016,Single_Disable_LLVM,DataFlow,-disable-preinline,None,-C llvm-args=-disable-preinline,Disable LLVM -disable-preinline
EXP_DataFlow_SGL_0017,Single_Disable_LLVM,DataFlow,-disable-select-optimize,None,-C llvm-args=-disable-select-optimize,Disable LLVM -disable-select-optimize
EXP_DataFlow_SGL_0018,Single_Disable_LLVM,DataFlow,-disable-ssc,None,-C llvm-args=-disable-ssc,Disable LLVM -disable-ssc
EXP_DataFlow_SGL_0019,Single_Disable_LLVM,DataFlow,-disable-type-promotion,None,-C llvm-args=-disable-type-promotion,Disable LLVM -disable-type-promotion
EXP_DataFlow_DBL_0020,Double_Disable,DataFlow,-disable-adv-copy-opt,CopyProp,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-adv-copy-opt AND MIR CopyProp
EXP_DataFlow_DBL_0021,Double_Disable,DataFlow,-disable-adv-copy-opt,DataflowConstProp,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-adv-copy-opt AND MIR DataflowConstProp
EXP_DataFlow_DBL_0022,Double_Disable,DataFlow,-disable-adv-copy-opt,DeadStoreElimination-final,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-adv-copy-opt AND MIR DeadStoreElimination-final
EXP_DataFlow_DBL_0023,Double_Disable,DataFlow,-disable-adv-copy-opt,DeadStoreElimination-initial,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-adv-copy-opt AND MIR DeadStoreElimination-initial
EXP_DataFlow_DBL_0024,Double_Disable,DataFlow,-disable-adv-copy-opt,DestinationPropagation,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-DestinationPropagation,Disable LLVM -disable-adv-copy-opt AND MIR DestinationPropagation
EXP_DataFlow_DBL_0025,Double_Disable,DataFlow,-disable-adv-copy-opt,EarlyOtherwiseBranch,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-EarlyOtherwiseBranch,Disable LLVM -disable-adv-copy-opt AND MIR EarlyOtherwiseBranch
EXP_DataFlow_DBL_0026,Double_Disable,DataFlow,-disable-adv-copy-opt,EnumSizeOpt,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-EnumSizeOpt,Disable LLVM -disable-adv-copy-opt AND MIR EnumSizeOpt
EXP_DataFlow_DBL_0027,Double_Disable,DataFlow,-disable-adv-copy-opt,ForceInline,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-ForceInline,Disable LLVM -disable-adv-copy-opt AND MIR ForceInline
EXP_DataFlow_DBL_0028,Double_Disable,DataFlow,-disable-adv-copy-opt,GVN,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-GVN,Disable LLVM -disable-adv-copy-opt AND MIR GVN
EXP_DataFlow_DBL_0029,Double_Disable,DataFlow,-disable-adv-copy-opt,ImpossiblePredicates,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-ImpossiblePredicates,Disable LLVM -disable-adv-copy-opt AND MIR ImpossiblePredicates
EXP_DataFlow_DBL_0030,Double_Disable,DataFlow,-disable-adv-copy-opt,Inline,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-Inline,Disable LLVM -disable-adv-copy-opt AND MIR Inline
EXP_DataFlow_DBL_0031,Double_Disable,DataFlow,-disable-adv-copy-opt,InstSimplify-after-simplifycfg,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-InstSimplify-after-simplifycfg,Disable LLVM -disable-adv-copy-opt AND MIR InstSimplify-after-simplifycfg
EXP_DataFlow_DBL_0032,Double_Disable,DataFlow,-disable-adv-copy-opt,InstSimplify-before-inline,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-InstSimplify-before-inline,Disable LLVM -disable-adv-copy-opt AND MIR InstSimplify-before-inline
EXP_DataFlow_DBL_0033,Double_Disable,DataFlow,-disable-adv-copy-opt,JumpThreading,-C llvm-args=-disable-adv-copy-opt -Z mir-enable-passes=-JumpThreading,Disable LLVM -disable-adv-copy-opt AND MIR JumpThreading
