Experiment_ID,Type,Category,LLVM_Arg,MIR_Pass,RUSTFLAGS,Description
EXP_Vectorization_000_BASELINE,Baseline,Vectorization,None,None,,Default settings
EXP_Vectorization_SGL_0001,Single_Disable_LLVM,Vectorization,-disable-binop-extract-shuffle,None,-C llvm-args=-disable-binop-extract-shuffle,Disable LLVM -disable-binop-extract-shuffle
EXP_Vectorization_SGL_0002,Single_Disable_LLVM,Vectorization,-disable-expand-reductions,None,-C llvm-args=-disable-expand-reductions,Disable LLVM -disable-expand-reductions
EXP_Vectorization_SGL_0003,Single_Disable_LLVM,Vectorization,-disable-interleaved-load-combine,None,-C llvm-args=-disable-interleaved-load-combine,Disable LLVM -disable-interleaved-load-combine
EXP_Vectorization_SGL_0004,Single_Disable_LLVM,Vectorization,-disable-loop-idiom-vectorize-all,None,-C llvm-args=-disable-loop-idiom-vectorize-all,Disable LLVM -disable-loop-idiom-vectorize-all
EXP_Vectorization_SGL_0005,Single_Disable_LLVM,Vectorization,-disable-loop-idiom-vectorize-bytecmp,None,-C llvm-args=-disable-loop-idiom-vectorize-bytecmp,Disable LLVM -disable-loop-idiom-vectorize-bytecmp
EXP_Vectorization_SGL_0006,Single_Disable_LLVM,Vectorization,-disable-promote-alloca-to-vector,None,-C llvm-args=-disable-promote-alloca-to-vector,Disable LLVM -disable-promote-alloca-to-vector
EXP_Vectorization_SGL_0007,Single_Disable_LLVM,Vectorization,-disable-replace-with-vec-lib,None,-C llvm-args=-disable-replace-with-vec-lib,Disable LLVM -disable-replace-with-vec-lib
EXP_Vectorization_SGL_0008,Single_Disable_LLVM,Vectorization,-disable-vector-combine,None,-C llvm-args=-disable-vector-combine,Disable LLVM -disable-vector-combine
EXP_Vectorization_DBL_0009,Double_Disable,Vectorization,-disable-binop-extract-shuffle,CopyProp,-C llvm-args=-disable-binop-extract-shuffle -Z mir-enable-passes=-CopyProp,Disable LLVM -disable-binop-extract-shuffle AND MIR CopyProp
EXP_Vectorization_DBL_0010,Double_Disable,Vectorization,-disable-binop-extract-shuffle,DataflowConstProp,-C llvm-args=-disable-binop-extract-shuffle -Z mir-enable-passes=-DataflowConstProp,Disable LLVM -disable-binop-extract-shuffle AND MIR DataflowConstProp
EXP_Vectorization_DBL_0011,Double_Disable,Vectorization,-disable-binop-extract-shuffle,DeadStoreElimination-final,-C llvm-args=-disable-binop-extract-shuffle -Z mir-enable-passes=-DeadStoreElimination-final,Disable LLVM -disable-binop-extract-shuffle AND MIR DeadStoreElimination-final
EXP_Vectorization_DBL_0012,Double_Disable,Vectorization,-disable-binop-extract-shuffle,DeadStoreElimination-initial,-C llvm-args=-disable-binop-extract-shuffle -Z mir-enable-passes=-DeadStoreElimination-initial,Disable LLVM -disable-binop-extract-shuffle AND MIR DeadStoreElimination-initial
