"No","Name","Disable_Switch"
"1","2addr-hack","-disable-2addr-hack"
"2","advanced-peeling","-disable-advanced-peeling"
"3","adv-copy-opt","-disable-adv-copy-opt"
"4","auto-upgrade-debug-info","-disable-auto-upgrade-debug-info"
"5","binop-extract-shuffle","-disable-binop-extract-shuffle"
"6","bitcode-version-upgrade","-disable-bitcode-version-upgrade"
"7","block-placement","-disable-block-placement"
"8","branch-fold","-disable-branch-fold"
"9","cfi-fixup","-disable-cfi-fixup"
"10","cgdata-for-merging","-disable-cgdata-for-merging"
"11","cgp","-disable-cgp"
"12","cgp-branch-opts","-disable-cgp-branch-opts"
"13","cgp-delete-phis","-disable-cgp-delete-phis"
"14","cgp-ext-ld-promotion","-disable-cgp-ext-ld-promotion"
"15","cgp-gc-opts","-disable-cgp-gc-opts"
"16","cgp-select2branch","-disable-cgp-select2branch"
"17","cgp-store-extract","-disable-cgp-store-extract"
"18","chr","-disable-chr"
"19","cleanups","-disable-cleanups"
"20","complex-addr-modes","-disable-complex-addr-modes"
"21","constant-hoisting","-disable-constant-hoisting"
"22","copyprop","-disable-copyprop"
"23","demotion","-disable-demotion"
"24","dfa-sched","-disable-dfa-sched"
"25","early-ifcvt","-disable-early-ifcvt"
"26","early-taildup","-disable-early-taildup"
"27","expand-reductions","-disable-expand-reductions"
"28","gep-const-evaluation","-disable-gep-const-evaluation"
"29","global-outlining","-disable-global-outlining"
"30","i2p-p2i-opt","-disable-i2p-p2i-opt"
"31","icp","-disable-icp"
"32","ifcvt-diamond","-disable-ifcvt-diamond"
"33","ifcvt-forked-diamond","-disable-ifcvt-forked-diamond"
"34","ifcvt-simple","-disable-ifcvt-simple"
"35","ifcvt-simple-false","-disable-ifcvt-simple-false"
"36","ifcvt-triangle","-disable-ifcvt-triangle"
"37","ifcvt-triangle-false","-disable-ifcvt-triangle-false"
"38","ifcvt-triangle-rev","-disable-ifcvt-triangle-rev"
"39","interleaved-load-combine","-disable-interleaved-load-combine"
"40","last-run-tracking","-disable-last-run-tracking"
"41","layout-fsprofile-loader","-disable-layout-fsprofile-loader"
"42","lftr","-disable-lftr"
"43","licm-promotion","-disable-licm-promotion"
"44","loop-idiom-vectorize-all","-disable-loop-idiom-vectorize-all"
"45","loop-idiom-vectorize-bytecmp","-disable-loop-idiom-vectorize-bytecmp"
"46","loop-level-heuristics","-disable-loop-level-heuristics"
"47","lsr","-disable-lsr"
"48","machine-cse","-disable-machine-cse"
"49","machine-dce","-disable-machine-dce"
"50","machine-licm","-disable-machine-licm"
"51","machine-sink","-disable-machine-sink"
"52","memop-opt","-disable-memop-opt"
"53","mergeicmps","-disable-mergeicmps"
"54","mr-partial-inlining","-disable-mr-partial-inlining"
"55","nofree-inference","-disable-nofree-inference"
"56","non-allocatable-phys-copy-opt","-disable-non-allocatable-phys-copy-opt"
"57","nounwind-inference","-disable-nounwind-inference"
"58","ondemand-mds-loading","-disable-ondemand-mds-loading"
"59","partial-inlining","-disable-partial-inlining"
"60","partial-libcall-inlining","-disable-partial-libcall-inlining"
"61","peephole","-disable-peephole"
"62","phi-elim-edge-splitting","-disable-phi-elim-edge-splitting"
"63","post-ra","-disable-post-ra"
"64","postra-machine-licm","-disable-postra-machine-licm"
"65","postra-machine-sink","-disable-postra-machine-sink"
"66","preheader-prot","-disable-preheader-prot"
"67","preinline","-disable-preinline"
"68","promote-alloca-to-vector","-disable-promote-alloca-to-vector"
"69","ra-fsprofile-loader","-disable-ra-fsprofile-loader"
"70","replace-with-vec-lib","-disable-replace-with-vec-lib"
"71","sample-loader-inlining","-disable-sample-loader-inlining"
"72","select-optimize","-disable-select-optimize"
"73","separate-const-offset-from-gep","-disable-separate-const-offset-from-gep"
"74","spill-fusing","-disable-spill-fusing"
"75","ssc","-disable-ssc"
"76","strictnode-mutation","-disable-strictnode-mutation"
"77","tail-calls","-disable-tail-calls"
"78","tail-duplicate","-disable-tail-duplicate"
"79","thinlto-funcattrs","-disable-thinlto-funcattrs"
"80","type-promotion","-disable-type-promotion"
"81","vector-combine","-disable-vector-combine"
"82","vp","-disable-vp"
"83","whole-program-visibility","-disable-whole-program-visibility"
