Arg,Category
-disable-2addr-hack,Transform
-disable-a15-sd-optimization,Transform
-disable-adv-copy-opt,Transform
-disable-advanced-peeling,Transform
-disable-arm-loloops,Transform
-disable-arm-parallel-dsp,Transform
-disable-atexit-based-global-dtor-lowering,Transform
-disable-auto-paired-vec-st,Transform
-disable-auto-upgrade-debug-info,Transform
-disable-basic-aa,Analysis
-disable-binop-extract-shuffle,Transform
-disable-bitcode-version-upgrade,Transform
-disable-block-placement,Transform
-disable-bpf-peephole,Transform
-disable-branch-fold,Transform
-disable-bswap,Transform
-disable-cfi-fixup,Transform
-disable-cgdata-for-merging,Transform
-disable-cgp,Transform
-disable-cgp-branch-opts,Transform
-disable-cgp-delete-phis,Transform
-disable-cgp-ext-ld-promotion,Transform
-disable-cgp-gc-opts,Transform
-disable-cgp-select2branch,Transform
-disable-cgp-store-extract,Transform
-disable-check-noreturn-call,Analysis
-disable-chr,Transform
-disable-cleanups,Transform
-disable-complex-addr-modes,Transform
-disable-const64,Transform
-disable-constant-hoisting,Transform
-disable-copyprop,Transform
-disable-demotion,Transform
-disable-dfa-sched,Transform
-disable-early-ifcvt,Transform
-disable-early-taildup,Transform
-disable-expand-reductions,Transform
-disable-gep-const-evaluation,Transform
-disable-gisel-legality-check,Analysis
-disable-global-outlining,Transform
-disable-gotol,Transform
-disable-hcp,Transform
-disable-hexagon-amodeopt,Transform
-disable-hexagon-cfgopt,Transform
-disable-hexagon-dealloc-ret,Transform
-disable-hexagon-hwloops,Transform
-disable-hexagon-loop-align,Transform
-disable-hexagon-misched,Transform
-disable-hexagon-nv-schedule,Transform
-disable-hexagon-opt-ext-to-64,Transform
-disable-hexagon-optszext,Transform
-disable-hexagon-peephole,Transform
-disable-hexagon-pnotp,Transform
-disable-hexagon-shuffle,Transform
-disable-hexagon-volatile-memcpy,Transform
-disable-hsdr,Transform
-disable-i2p-p2i-opt,Transform
-disable-icp,Transform
-disable-ifcvt-diamond,Transform
-disable-ifcvt-forked-diamond,Transform
-disable-ifcvt-simple,Transform
-disable-ifcvt-simple-false,Transform
-disable-ifcvt-triangle,Transform
-disable-ifcvt-triangle-false,Transform
-disable-ifcvt-triangle-rev,Transform
-disable-interleaved-load-combine,Transform
-disable-last-run-tracking,Transform
-disable-layout-fsprofile-loader,Transform
-disable-ldsx,Transform
-disable-lftr,Transform
-disable-licm-promotion,Transform
-disable-load-widen,Transform
-disable-loop-idiom-vectorize-all,Transform
-disable-loop-idiom-vectorize-bytecmp,Transform
-disable-loop-level-heuristics,Transform
-disable-lsr,Transform
-disable-machine-cse,Transform
-disable-machine-dce,Transform
-disable-machine-licm,Transform
-disable-machine-sink,Transform
-disable-mask,Transform
-disable-memcpy-idiom,Transform
-disable-memmove-idiom,Transform
-disable-memop-opt,Transform
-disable-merge-into-combines,Transform
-disable-mergeicmps,Transform
-disable-mips-delay-filler,Transform
-disable-mips-df-backward-search,Transform
-disable-mips-df-forward-search,Transform
-disable-mips-df-succbb-search,Transform
-disable-movsx,Transform
-disable-mr-partial-inlining,Transform
-disable-nofree-inference,Transform
-disable-non-allocatable-phys-copy-opt,Transform
-disable-nounwind-inference,Transform
-disable-nvjump,Transform
-disable-nvptx-load-store-vectorizer,Transform
-disable-nvptx-require-structured-cfg,Transform
-disable-ondemand-mds-loading,Transform
-disable-p10-store-forward,Transform
-disable-packetizer,Transform
-disable-partial-inlining,Transform
-disable-partial-libcall-inlining,Transform
-disable-peephole,Transform
-disable-phi-elim-edge-splitting,Transform
-disable-post-ra,Transform
-disable-postra-machine-licm,Transform
-disable-postra-machine-sink,Transform
-disable-ppc-cmp-opt,Transform
-disable-ppc-constant-hoisting,Transform
-disable-ppc-ctrloop-analysis,Analysis
-disable-ppc-ctrloops,Transform
-disable-ppc-ilp-pref,Transform
-disable-ppc-innermost-loop-align32,Transform
-disable-ppc-instr-form-prep,Transform
-disable-ppc-peephole,Transform
-disable-ppc-preinc,Transform
-disable-ppc-sched-addi-load,Transform
-disable-ppc-sco,Transform
-disable-ppc-unaligned,Transform
-disable-ppc-vsx-fma-mutation,Transform
-disable-ppc-vsx-swap-removal,Transform
-disable-preheader-prot,Transform
-disable-preinline,Transform
-disable-promote-alloca-to-lds,Transform
-disable-promote-alloca-to-vector,Transform
-disable-ra-fsprofile-loader,Transform
-disable-replace-with-vec-lib,Transform
-disable-sample-loader-inlining,Transform
-disable-sched-critical-path,Analysis
-disable-sched-cycles,Analysis
-disable-sched-hazard,Analysis
-disable-sched-height,Analysis
-disable-sched-live-uses,Analysis
-disable-sched-physreg-join,Analysis
-disable-sched-reg-pressure,Analysis
-disable-sched-stalls,Analysis
-disable-sched-vrcycle,Analysis
-disable-sdiv-smod,Transform
-disable-select-optimize,Transform
-disable-separate-const-offset-from-gep,Transform
-disable-shifter-op,Transform
-disable-sparc-delay-filler,Transform
-disable-sparc-leaf-proc,Transform
-disable-spill-fusing,Transform
-disable-ssc,Transform
-disable-store-widen,Transform
-disable-storeimm,Transform
-disable-strictnode-mutation,Transform
-disable-symbolication,Analysis
-disable-tail-calls,Transform
-disable-tail-duplicate,Transform
-disable-thinlto-funcattrs,Transform
-disable-type-promotion,Transform
-disable-vecdbl-nv-stores,Transform
-disable-vector-combine,Transform
-disable-vp,Transform
-disable-wasm-fallthrough-return-opt,Transform
-disable-whole-program-visibility,Transform
-disable-x86-domain-reassignment,Transform
-disable-x86-lea-opt,Transform
