Experiment_ID,Type,Target_Arg,RUSTFLAGS,Description
EXP_000_DEFAULT,Baseline,N/A,,Default compiler settings (Optimizations Enabled)
EXP_001_DISABLE_ALL,Global_Config,All,-C llvm-args=-disable-binop-extract-shuffle -C llvm-args=-disable-expand-reductions -C llvm-args=-disable-interleaved-load-combine -C llvm-args=-disable-loop-idiom-vectorize-all -C llvm-args=-disable-loop-idiom-vectorize-bytecmp -C llvm-args=-disable-promote-alloca-to-vector -C llvm-args=-disable-replace-with-vec-lib -C llvm-args=-disable-vector-combine -C llvm-args=-disable-advanced-peeling -C llvm-args=-disable-lftr -C llvm-args=-disable-licm-promotion -C llvm-args=-disable-loop-level-heuristics -C llvm-args=-disable-lsr -C llvm-args=-disable-machine-licm -C llvm-args=-disable-postra-machine-licm -C llvm-args=-disable-preheader-prot -C llvm-args=-disable-block-placement -C llvm-args=-disable-branch-fold -C llvm-args=-disable-cgp-branch-opts -C llvm-args=-disable-cgp-select2branch -C llvm-args=-disable-chr -C llvm-args=-disable-early-ifcvt -C llvm-args=-disable-early-taildup -C llvm-args=-disable-ifcvt-diamond -C llvm-args=-disable-ifcvt-forked-diamond -C llvm-args=-disable-ifcvt-simple -C llvm-args=-disable-ifcvt-simple-false -C llvm-args=-disable-ifcvt-triangle -C llvm-args=-disable-ifcvt-triangle-false -C llvm-args=-disable-ifcvt-triangle-rev -C llvm-args=-disable-tail-calls -C llvm-args=-disable-tail-duplicate -C llvm-args=-disable-cgp-ext-ld-promotion -C llvm-args=-disable-cgp-store-extract -C llvm-args=-disable-memop-opt -C llvm-args=-disable-separate-const-offset-from-gep -C llvm-args=-disable-adv-copy-opt -C llvm-args=-disable-cgp-delete-phis -C llvm-args=-disable-cleanups -C llvm-args=-disable-constant-hoisting -C llvm-args=-disable-copyprop -C llvm-args=-disable-demotion -C llvm-args=-disable-gep-const-evaluation -C llvm-args=-disable-icp -C llvm-args=-disable-machine-cse -C llvm-args=-disable-machine-dce -C llvm-args=-disable-machine-sink -C llvm-args=-disable-mergeicmps -C llvm-args=-disable-non-allocatable-phys-copy-opt -C llvm-args=-disable-phi-elim-edge-splitting -C llvm-args=-disable-postra-machine-sink -C llvm-args=-disable-preinline -C llvm-args=-disable-select-optimize -C llvm-args=-disable-ssc -C llvm-args=-disable-type-promotion -C llvm-args=-disable-auto-upgrade-debug-info -C llvm-args=-disable-bitcode-version-upgrade -C llvm-args=-disable-cfi-fixup -C llvm-args=-disable-cgdata-for-merging -C llvm-args=-disable-global-outlining -C llvm-args=-disable-last-run-tracking -C llvm-args=-disable-layout-fsprofile-loader -C llvm-args=-disable-nofree-inference -C llvm-args=-disable-nounwind-inference -C llvm-args=-disable-ondemand-mds-loading -C llvm-args=-disable-ra-fsprofile-loader -C llvm-args=-disable-sample-loader-inlining -C llvm-args=-disable-thinlto-funcattrs -C llvm-args=-disable-vp -C llvm-args=-disable-whole-program-visibility -C llvm-args=-disable-2addr-hack -C llvm-args=-disable-cgp -C llvm-args=-disable-cgp-gc-opts -C llvm-args=-disable-complex-addr-modes -C llvm-args=-disable-dfa-sched -C llvm-args=-disable-i2p-p2i-opt -C llvm-args=-disable-mr-partial-inlining -C llvm-args=-disable-partial-inlining -C llvm-args=-disable-partial-libcall-inlining -C llvm-args=-disable-peephole -C llvm-args=-disable-post-ra -C llvm-args=-disable-spill-fusing -C llvm-args=-disable-strictnode-mutation,Force DISABLE all 83 optimizations
EXP_ABL_001_disable-binop-extract-shuffle,Ablation (Single Disable),-disable-binop-extract-shuffle,-C llvm-args=-disable-binop-extract-shuffle,Default settings but DISABLE -disable-binop-extract-shuffle
EXP_ABL_002_disable-expand-reductions,Ablation (Single Disable),-disable-expand-reductions,-C llvm-args=-disable-expand-reductions,Default settings but DISABLE -disable-expand-reductions
EXP_ABL_003_disable-interleaved-load-combine,Ablation (Single Disable),-disable-interleaved-load-combine,-C llvm-args=-disable-interleaved-load-combine,Default settings but DISABLE -disable-interleaved-load-combine
EXP_ABL_004_disable-loop-idiom-vectorize-all,Ablation (Single Disable),-disable-loop-idiom-vectorize-all,-C llvm-args=-disable-loop-idiom-vectorize-all,Default settings but DISABLE -disable-loop-idiom-vectorize-all
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,Ablation (Single Disable),-disable-loop-idiom-vectorize-bytecmp,-C llvm-args=-disable-loop-idiom-vectorize-bytecmp,Default settings but DISABLE -disable-loop-idiom-vectorize-bytecmp
EXP_ABL_006_disable-promote-alloca-to-vector,Ablation (Single Disable),-disable-promote-alloca-to-vector,-C llvm-args=-disable-promote-alloca-to-vector,Default settings but DISABLE -disable-promote-alloca-to-vector
EXP_ABL_007_disable-replace-with-vec-lib,Ablation (Single Disable),-disable-replace-with-vec-lib,-C llvm-args=-disable-replace-with-vec-lib,Default settings but DISABLE -disable-replace-with-vec-lib
EXP_ABL_008_disable-vector-combine,Ablation (Single Disable),-disable-vector-combine,-C llvm-args=-disable-vector-combine,Default settings but DISABLE -disable-vector-combine
