"No","Name","Disable_Switch"
"1","CopyProp","-CopyProp"
"2","DataflowConstProp","-DataflowConstProp"
"3","DeadStoreElimination-final","-DeadStoreElimination-final"
"4","DeadStoreElimination-initial","-DeadStoreElimination-initial"
"5","DestinationPropagation","-DestinationPropagation"
"6","EarlyOtherwiseBranch","-EarlyOtherwiseBranch"
"7","EnumSizeOpt","-EnumSizeOpt"
"8","ForceInline","-ForceInline"
"9","GVN","-GVN"
"10","ImpossiblePredicates","-ImpossiblePredicates"
"11","Inline","-Inline"
"12","InstSimplify-after-simplifycfg","-InstSimplify-after-simplifycfg"
"13","InstSimplify-before-inline","-InstSimplify-before-inline"
"14","JumpThreading","-JumpThreading"
"15","MatchBranchSimplification","-MatchBranchSimplification"
"16","ReferencePropagation","-ReferencePropagation"
"17","ScalarReplacementOfAggregates","-ScalarReplacementOfAggregates"
"18","SingleUseConsts","-SingleUseConsts"
"19","UnreachableEnumBranching","-UnreachableEnumBranching"
"20","UnreachablePropagation","-UnreachablePropagation"
