MIR Excluded Passes (Lowering/Safety/Cleanup - Recommend Default)
=================================================================
Pass Name                                          | Category
----------------------------------------------------------------------
AbortUnwindingCalls                                | Safety (Keep)
AddCallGuards                                      | Safety (Keep)
AddMovesForPackedDrops                             | Lowering (Keep)
CleanupPostBorrowck                                | Lowering (Keep)
Derefer                                            | Cleanup (Recommended Keep)
ElaborateBoxDerefs                                 | Lowering (Keep)
ElaborateDrops                                     | Lowering (Keep)
EraseDerefTemps                                    | Lowering (Keep)
LowerIntrinsics                                    | Lowering (Keep)
LowerSliceLenCalls                                 | Lowering (Keep)
PostAnalysisNormalize                              | Lowering (Keep)
PreCodegen                                         | Lowering (Keep)
PromoteTemps                                       | Lowering (Keep)
RemoveNoopLandingPads                              | Cleanup (Recommended Keep)
RemovePlaceMention                                 | Cleanup (Recommended Keep)
RemoveUnneededDrops                                | Cleanup (Recommended Keep)
RemoveZsts                                         | Cleanup (Recommended Keep)
SimplifyCfg-after-unreachable-enum-branching       | Cleanup (Recommended Keep)
SimplifyCfg-final                                  | Cleanup (Recommended Keep)
SimplifyCfg-initial                                | Cleanup (Recommended Keep)
SimplifyCfg-pre-optimizations                      | Cleanup (Recommended Keep)
SimplifyCfg-promote-consts                         | Cleanup (Recommended Keep)
SimplifyComparisonIntegral                         | Cleanup (Recommended Keep)
SimplifyConstCondition-after-const-prop            | Cleanup (Recommended Keep)
SimplifyConstCondition-after-inst-simplify         | Cleanup (Recommended Keep)
SimplifyConstCondition-final                       | Cleanup (Recommended Keep)
SimplifyLocals-after-value-numbering               | Cleanup (Recommended Keep)
SimplifyLocals-before-const-prop                   | Cleanup (Recommended Keep)
SimplifyLocals-final                               | Cleanup (Recommended Keep)
StateTransform                                     | Lowering (Keep)
Subtyper                                           | Lowering (Keep)
