Experiment_ID,Type,Target_Pass,RUSTFLAGS,Description
EXP_000_DEFAULT,Baseline,N/A,,Default compiler settings (control group)
EXP_001_ALL_ON,Global_Config,All,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",Force enable all 20 tunable optimizations
EXP_002_ALL_OFF,Global_Config,All,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",Force disable all 20 tunable optimizations
EXP_ABL_001_CopyProp,Ablation (Leave-One-Out),CopyProp,"-Z mir-enable-passes=-CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except CopyProp is OFF
EXP_ABL_002_DataflowConstProp,Ablation (Leave-One-Out),DataflowConstProp,"-Z mir-enable-passes=+CopyProp,-DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except DataflowConstProp is OFF
EXP_ABL_003_DeadStoreElimination-final,Ablation (Leave-One-Out),DeadStoreElimination-final,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,-DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except DeadStoreElimination-final is OFF
EXP_ABL_004_DeadStoreElimination-initial,Ablation (Leave-One-Out),DeadStoreElimination-initial,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,-DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except DeadStoreElimination-initial is OFF
EXP_ABL_005_DestinationPropagation,Ablation (Leave-One-Out),DestinationPropagation,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,-DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except DestinationPropagation is OFF
EXP_ABL_006_EarlyOtherwiseBranch,Ablation (Leave-One-Out),EarlyOtherwiseBranch,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,-EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except EarlyOtherwiseBranch is OFF
EXP_ABL_007_EnumSizeOpt,Ablation (Leave-One-Out),EnumSizeOpt,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,-EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except EnumSizeOpt is OFF
EXP_ABL_008_ForceInline,Ablation (Leave-One-Out),ForceInline,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,-ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except ForceInline is OFF
EXP_ABL_009_GVN,Ablation (Leave-One-Out),GVN,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,-GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except GVN is OFF
EXP_ABL_010_ImpossiblePredicates,Ablation (Leave-One-Out),ImpossiblePredicates,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,-ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except ImpossiblePredicates is OFF
EXP_ABL_011_Inline,Ablation (Leave-One-Out),Inline,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,-Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except Inline is OFF
EXP_ABL_012_InstSimplify-after-simplifycfg,Ablation (Leave-One-Out),InstSimplify-after-simplifycfg,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,-InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except InstSimplify-after-simplifycfg is OFF
EXP_ABL_013_InstSimplify-before-inline,Ablation (Leave-One-Out),InstSimplify-before-inline,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,-InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except InstSimplify-before-inline is OFF
EXP_ABL_014_JumpThreading,Ablation (Leave-One-Out),JumpThreading,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,-JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except JumpThreading is OFF
EXP_ABL_015_MatchBranchSimplification,Ablation (Leave-One-Out),MatchBranchSimplification,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,-MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except MatchBranchSimplification is OFF
EXP_ABL_016_ReferencePropagation,Ablation (Leave-One-Out),ReferencePropagation,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,-ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except ReferencePropagation is OFF
EXP_ABL_017_ScalarReplacementOfAggregates,Ablation (Leave-One-Out),ScalarReplacementOfAggregates,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,-ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except ScalarReplacementOfAggregates is OFF
EXP_ABL_018_SingleUseConsts,Ablation (Leave-One-Out),SingleUseConsts,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,-SingleUseConsts,+UnreachableEnumBranching,+UnreachablePropagation",All ON except SingleUseConsts is OFF
EXP_ABL_019_UnreachableEnumBranching,Ablation (Leave-One-Out),UnreachableEnumBranching,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,-UnreachableEnumBranching,+UnreachablePropagation",All ON except UnreachableEnumBranching is OFF
EXP_ABL_020_UnreachablePropagation,Ablation (Leave-One-Out),UnreachablePropagation,"-Z mir-enable-passes=+CopyProp,+DataflowConstProp,+DeadStoreElimination-final,+DeadStoreElimination-initial,+DestinationPropagation,+EarlyOtherwiseBranch,+EnumSizeOpt,+ForceInline,+GVN,+ImpossiblePredicates,+Inline,+InstSimplify-after-simplifycfg,+InstSimplify-before-inline,+JumpThreading,+MatchBranchSimplification,+ReferencePropagation,+ScalarReplacementOfAggregates,+SingleUseConsts,+UnreachableEnumBranching,-UnreachablePropagation",All ON except UnreachablePropagation is OFF
EXP_ISO_001_CopyProp,Isolation (Add-One-In),CopyProp,"-Z mir-enable-passes=+CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except CopyProp is ON
EXP_ISO_002_DataflowConstProp,Isolation (Add-One-In),DataflowConstProp,"-Z mir-enable-passes=-CopyProp,+DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except DataflowConstProp is ON
EXP_ISO_003_DeadStoreElimination-final,Isolation (Add-One-In),DeadStoreElimination-final,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,+DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except DeadStoreElimination-final is ON
EXP_ISO_004_DeadStoreElimination-initial,Isolation (Add-One-In),DeadStoreElimination-initial,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,+DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except DeadStoreElimination-initial is ON
EXP_ISO_005_DestinationPropagation,Isolation (Add-One-In),DestinationPropagation,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,+DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except DestinationPropagation is ON
EXP_ISO_006_EarlyOtherwiseBranch,Isolation (Add-One-In),EarlyOtherwiseBranch,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,+EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except EarlyOtherwiseBranch is ON
EXP_ISO_007_EnumSizeOpt,Isolation (Add-One-In),EnumSizeOpt,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,+EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except EnumSizeOpt is ON
EXP_ISO_008_ForceInline,Isolation (Add-One-In),ForceInline,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,+ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except ForceInline is ON
EXP_ISO_009_GVN,Isolation (Add-One-In),GVN,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,+GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except GVN is ON
EXP_ISO_010_ImpossiblePredicates,Isolation (Add-One-In),ImpossiblePredicates,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,+ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except ImpossiblePredicates is ON
EXP_ISO_011_Inline,Isolation (Add-One-In),Inline,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,+Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except Inline is ON
EXP_ISO_012_InstSimplify-after-simplifycfg,Isolation (Add-One-In),InstSimplify-after-simplifycfg,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,+InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except InstSimplify-after-simplifycfg is ON
EXP_ISO_013_InstSimplify-before-inline,Isolation (Add-One-In),InstSimplify-before-inline,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,+InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except InstSimplify-before-inline is ON
EXP_ISO_014_JumpThreading,Isolation (Add-One-In),JumpThreading,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,+JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except JumpThreading is ON
EXP_ISO_015_MatchBranchSimplification,Isolation (Add-One-In),MatchBranchSimplification,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,+MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except MatchBranchSimplification is ON
EXP_ISO_016_ReferencePropagation,Isolation (Add-One-In),ReferencePropagation,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,+ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except ReferencePropagation is ON
EXP_ISO_017_ScalarReplacementOfAggregates,Isolation (Add-One-In),ScalarReplacementOfAggregates,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,+ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except ScalarReplacementOfAggregates is ON
EXP_ISO_018_SingleUseConsts,Isolation (Add-One-In),SingleUseConsts,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,+SingleUseConsts,-UnreachableEnumBranching,-UnreachablePropagation",All OFF except SingleUseConsts is ON
EXP_ISO_019_UnreachableEnumBranching,Isolation (Add-One-In),UnreachableEnumBranching,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,+UnreachableEnumBranching,-UnreachablePropagation",All OFF except UnreachableEnumBranching is ON
EXP_ISO_020_UnreachablePropagation,Isolation (Add-One-In),UnreachablePropagation,"-Z mir-enable-passes=-CopyProp,-DataflowConstProp,-DeadStoreElimination-final,-DeadStoreElimination-initial,-DestinationPropagation,-EarlyOtherwiseBranch,-EnumSizeOpt,-ForceInline,-GVN,-ImpossiblePredicates,-Inline,-InstSimplify-after-simplifycfg,-InstSimplify-before-inline,-JumpThreading,-MatchBranchSimplification,-ReferencePropagation,-ScalarReplacementOfAggregates,-SingleUseConsts,-UnreachableEnumBranching,+UnreachablePropagation",All OFF except UnreachablePropagation is ON
