Index,Type,Name,Switch,Description
MIR_01,MIR,CopyProp,-CopyProp,MIR Optimization Pass: CopyProp
MIR_02,MIR,DataflowConstProp,-DataflowConstProp,MIR Optimization Pass: DataflowConstProp
MIR_03,MIR,DeadStoreElimination-final,-DeadStoreElimination-final,MIR Optimization Pass: DeadStoreElimination-final
MIR_04,MIR,DeadStoreElimination-initial,-DeadStoreElimination-initial,MIR Optimization Pass: DeadStoreElimination-initial
MIR_05,MIR,DestinationPropagation,-DestinationPropagation,MIR Optimization Pass: DestinationPropagation
MIR_06,MIR,EarlyOtherwiseBranch,-EarlyOtherwiseBranch,MIR Optimization Pass: EarlyOtherwiseBranch
MIR_07,MIR,EnumSizeOpt,-EnumSizeOpt,MIR Optimization Pass: EnumSizeOpt
MIR_08,MIR,ForceInline,-ForceInline,MIR Optimization Pass: ForceInline
MIR_09,MIR,GVN,-GVN,MIR Optimization Pass: GVN
MIR_10,MIR,ImpossiblePredicates,-ImpossiblePredicates,MIR Optimization Pass: ImpossiblePredicates
MIR_11,MIR,Inline,-Inline,MIR Optimization Pass: Inline
MIR_12,MIR,InstSimplify-after-simplifycfg,-InstSimplify-after-simplifycfg,MIR Optimization Pass: InstSimplify-after-simplifycfg
MIR_13,MIR,InstSimplify-before-inline,-InstSimplify-before-inline,MIR Optimization Pass: InstSimplify-before-inline
MIR_14,MIR,JumpThreading,-JumpThreading,MIR Optimization Pass: JumpThreading
MIR_15,MIR,MatchBranchSimplification,-MatchBranchSimplification,MIR Optimization Pass: MatchBranchSimplification
MIR_16,MIR,ReferencePropagation,-ReferencePropagation,MIR Optimization Pass: ReferencePropagation
MIR_17,MIR,ScalarReplacementOfAggregates,-ScalarReplacementOfAggregates,MIR Optimization Pass: ScalarReplacementOfAggregates
MIR_18,MIR,SingleUseConsts,-SingleUseConsts,MIR Optimization Pass: SingleUseConsts
MIR_19,MIR,UnreachableEnumBranching,-UnreachableEnumBranching,MIR Optimization Pass: UnreachableEnumBranching
MIR_20,MIR,UnreachablePropagation,-UnreachablePropagation,MIR Optimization Pass: UnreachablePropagation
MIR_21,MIR,baseline,,MIR Optimization Pass: baseline
LLVM_01,LLVM,2addr-hack,-disable-2addr-hack,LLVM Optimization Toggle: 2addr-hack
LLVM_02,LLVM,adv-copy-opt,-disable-adv-copy-opt,LLVM Optimization Toggle: adv-copy-opt
LLVM_03,LLVM,advanced-peeling,-disable-advanced-peeling,LLVM Optimization Toggle: advanced-peeling
LLVM_04,LLVM,auto-upgrade-debug-info,-disable-auto-upgrade-debug-info,LLVM Optimization Toggle: auto-upgrade-debug-info
LLVM_05,LLVM,binop-extract-shuffle,-disable-binop-extract-shuffle,LLVM Optimization Toggle: binop-extract-shuffle
LLVM_06,LLVM,bitcode-version-upgrade,-disable-bitcode-version-upgrade,LLVM Optimization Toggle: bitcode-version-upgrade
LLVM_07,LLVM,block-placement,-disable-block-placement,LLVM Optimization Toggle: block-placement
LLVM_08,LLVM,branch-fold,-disable-branch-fold,LLVM Optimization Toggle: branch-fold
LLVM_09,LLVM,cfi-fixup,-disable-cfi-fixup,LLVM Optimization Toggle: cfi-fixup
LLVM_10,LLVM,cgdata-for-merging,-disable-cgdata-for-merging,LLVM Optimization Toggle: cgdata-for-merging
LLVM_11,LLVM,cgp,-disable-cgp,LLVM Optimization Toggle: cgp
LLVM_12,LLVM,cgp-branch-opts,-disable-cgp-branch-opts,LLVM Optimization Toggle: cgp-branch-opts
LLVM_13,LLVM,cgp-delete-phis,-disable-cgp-delete-phis,LLVM Optimization Toggle: cgp-delete-phis
LLVM_14,LLVM,cgp-ext-ld-promotion,-disable-cgp-ext-ld-promotion,LLVM Optimization Toggle: cgp-ext-ld-promotion
LLVM_15,LLVM,cgp-gc-opts,-disable-cgp-gc-opts,LLVM Optimization Toggle: cgp-gc-opts
LLVM_16,LLVM,cgp-select2branch,-disable-cgp-select2branch,LLVM Optimization Toggle: cgp-select2branch
LLVM_17,LLVM,cgp-store-extract,-disable-cgp-store-extract,LLVM Optimization Toggle: cgp-store-extract
LLVM_18,LLVM,chr,-disable-chr,LLVM Optimization Toggle: chr
LLVM_19,LLVM,cleanups,-disable-cleanups,LLVM Optimization Toggle: cleanups
LLVM_20,LLVM,complex-addr-modes,-disable-complex-addr-modes,LLVM Optimization Toggle: complex-addr-modes
LLVM_21,LLVM,constant-hoisting,-disable-constant-hoisting,LLVM Optimization Toggle: constant-hoisting
LLVM_22,LLVM,copyprop,-disable-copyprop,LLVM Optimization Toggle: copyprop
LLVM_23,LLVM,demotion,-disable-demotion,LLVM Optimization Toggle: demotion
LLVM_24,LLVM,dfa-sched,-disable-dfa-sched,LLVM Optimization Toggle: dfa-sched
LLVM_25,LLVM,early-ifcvt,-disable-early-ifcvt,LLVM Optimization Toggle: early-ifcvt
LLVM_26,LLVM,early-taildup,-disable-early-taildup,LLVM Optimization Toggle: early-taildup
LLVM_27,LLVM,expand-reductions,-disable-expand-reductions,LLVM Optimization Toggle: expand-reductions
LLVM_28,LLVM,gep-const-evaluation,-disable-gep-const-evaluation,LLVM Optimization Toggle: gep-const-evaluation
LLVM_29,LLVM,global-outlining,-disable-global-outlining,LLVM Optimization Toggle: global-outlining
LLVM_30,LLVM,i2p-p2i-opt,-disable-i2p-p2i-opt,LLVM Optimization Toggle: i2p-p2i-opt
LLVM_31,LLVM,icp,-disable-icp,LLVM Optimization Toggle: icp
LLVM_32,LLVM,ifcvt-diamond,-disable-ifcvt-diamond,LLVM Optimization Toggle: ifcvt-diamond
LLVM_33,LLVM,ifcvt-forked-diamond,-disable-ifcvt-forked-diamond,LLVM Optimization Toggle: ifcvt-forked-diamond
LLVM_34,LLVM,ifcvt-simple,-disable-ifcvt-simple,LLVM Optimization Toggle: ifcvt-simple
LLVM_35,LLVM,ifcvt-simple-false,-disable-ifcvt-simple-false,LLVM Optimization Toggle: ifcvt-simple-false
LLVM_36,LLVM,ifcvt-triangle,-disable-ifcvt-triangle,LLVM Optimization Toggle: ifcvt-triangle
LLVM_37,LLVM,ifcvt-triangle-false,-disable-ifcvt-triangle-false,LLVM Optimization Toggle: ifcvt-triangle-false
LLVM_38,LLVM,ifcvt-triangle-rev,-disable-ifcvt-triangle-rev,LLVM Optimization Toggle: ifcvt-triangle-rev
LLVM_39,LLVM,interleaved-load-combine,-disable-interleaved-load-combine,LLVM Optimization Toggle: interleaved-load-combine
LLVM_40,LLVM,last-run-tracking,-disable-last-run-tracking,LLVM Optimization Toggle: last-run-tracking
LLVM_41,LLVM,layout-fsprofile-loader,-disable-layout-fsprofile-loader,LLVM Optimization Toggle: layout-fsprofile-loader
LLVM_42,LLVM,lftr,-disable-lftr,LLVM Optimization Toggle: lftr
LLVM_43,LLVM,licm-promotion,-disable-licm-promotion,LLVM Optimization Toggle: licm-promotion
LLVM_44,LLVM,loop-idiom-vectorize-all,-disable-loop-idiom-vectorize-all,LLVM Optimization Toggle: loop-idiom-vectorize-all
LLVM_45,LLVM,loop-idiom-vectorize-bytecmp,-disable-loop-idiom-vectorize-bytecmp,LLVM Optimization Toggle: loop-idiom-vectorize-bytecmp
LLVM_46,LLVM,loop-level-heuristics,-disable-loop-level-heuristics,LLVM Optimization Toggle: loop-level-heuristics
LLVM_47,LLVM,lsr,-disable-lsr,LLVM Optimization Toggle: lsr
LLVM_48,LLVM,machine-cse,-disable-machine-cse,LLVM Optimization Toggle: machine-cse
LLVM_49,LLVM,machine-dce,-disable-machine-dce,LLVM Optimization Toggle: machine-dce
LLVM_50,LLVM,machine-licm,-disable-machine-licm,LLVM Optimization Toggle: machine-licm
LLVM_51,LLVM,machine-sink,-disable-machine-sink,LLVM Optimization Toggle: machine-sink
LLVM_52,LLVM,memop-opt,-disable-memop-opt,LLVM Optimization Toggle: memop-opt
LLVM_53,LLVM,mergeicmps,-disable-mergeicmps,LLVM Optimization Toggle: mergeicmps
LLVM_54,LLVM,mr-partial-inlining,-disable-mr-partial-inlining,LLVM Optimization Toggle: mr-partial-inlining
LLVM_55,LLVM,nofree-inference,-disable-nofree-inference,LLVM Optimization Toggle: nofree-inference
LLVM_56,LLVM,non-allocatable-phys-copy-opt,-disable-non-allocatable-phys-copy-opt,LLVM Optimization Toggle: non-allocatable-phys-copy-opt
