mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
UnreachableEnumBranching,cgp-delete-phis,5.954432468107454,5.801914372995724,5.893808803629444,5.9239666139722456,-0.0310517834684287,0.9694253715681104,-3.057462843188952,-2.561421192172919,-1.018126661150609,-0.5116500069215046,-0.0591193660178729,-0.0034580003710578,0.0279860069965017,30,10,10,10,0.0310517834684287,789,moderate,0.0510513973782339,False,True,independent
DestinationPropagation,strictnode-mutation,5.954432468107454,5.999271970061932,5.646522323589562,5.51853319228399,0.0304299674603736,1.0308976911372685,3.089769113726848,0.7530440926930115,-5.171108181461282,-7.320584760314008,0.0036938779230791,0.0562178673623438,0.0279860069965017,30,10,10,10,0.0304299674603736,800,moderate,0.0510513973782339,False,True,independent
Inline,preinline,5.954432468107454,5.856861641099329,5.87712682410167,5.613798792783235,0.0293183792545501,1.029752394089665,2.97523940896649,-1.6386251339775004,-1.2982873585323351,-5.720674088566591,0.0045793818681885,0.0538278983186249,0.0279860069965017,30,10,10,10,0.0293183792545501,820,moderate,0.0510513973782339,False,True,independent
UnreachableEnumBranching,mr-partial-inlining,5.954432468107454,5.801914372995724,5.635498642660492,5.652278675923744,-0.0289211029194464,0.9714931094131444,-2.8506890586855627,-2.561421192172919,-5.356242213766027,-5.07443478118319,-0.0562827845677083,-0.0029079912992532,0.0299850074962518,30,10,10,10,0.0289211029194464,832,weak,0.0543990299932001,False,True,independent
InstSimplify-after-simplifycfg,gep-const-evaluation,5.954432468107454,5.872263746555609,5.870242078694044,5.628579010043251,0.0281431701908583,1.0285429305682194,2.854293056821944,-1.3799589128258516,-1.4139112310760371,-5.47245198949703,0.0027666198566829,0.0542683450857676,0.032983508245877,30,10,10,10,0.0281431701908583,845,weak,0.0588105517595659,False,True,independent
ReferencePropagation,copyprop,5.954432468107454,5.810523970710308,5.91241580353676,5.612923517744581,0.027517659590623,1.0278997672360637,2.789976723606346,-2.416829784667729,-0.7056367638014205,-5.735373642946318,0.001581220306929,0.0524093377686048,0.0359820089955022,30,10,10,10,0.027517659590623,865,weak,0.063542696736738,False,True,independent
CopyProp,complex-addr-modes,5.954432468107454,6.085468060041965,5.607174317677019,5.575988660406408,0.0273450150829692,1.027722321304805,2.772232130480501,2.20063948388618,-5.831926926543973,-6.35566545977353,0.0025371725390467,0.0507211794493775,0.0339830084957521,30,10,10,10,0.0273450150829692,868,weak,0.0603334696288219,False,True,independent
UnreachablePropagation,ssc,5.954432468107454,5.902558181337609,5.814056177487068,5.608221597004201,0.0272947532991911,1.0276706674458262,2.7670667445826247,-0.871187758828218,-2.357509155948212,-5.814338695712706,0.002528818834142,0.0524242511932313,0.031984007996002,30,10,10,10,0.0272947532991911,870,weak,0.0575227012712495,False,True,independent
UnreachablePropagation,cgdata-for-merging,5.954432468107454,5.902558181337609,5.893063170740413,5.684784595272163,0.0272326411054375,1.0276068385485118,2.760683854851176,-0.871187758828218,-1.0306489778117656,-4.528523486991465,-0.001298242985347,0.0565048344829943,0.0629685157421289,30,10,10,10,0.0272326411054375,873,weak,0.100798202634459,False,True,independent
ReferencePropagation,early-ifcvt,5.954432468107454,5.810523970710308,5.879867712955678,5.584244123251397,0.0271200372528248,1.0274911325741116,2.749113257411162,-2.416829784667729,-1.2522562906062351,-6.217021468272987,0.00149304362827,0.0518155869311022,0.0409795102448775,30,10,10,10,0.0271200372528248,875,weak,0.0706396542123538,False,True,independent
