Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
quinn,EXP_000_ALL_OFF,10,6.115264,6.082940,0.127759,58.297282,58.297282,0.000000,89716248.000000,89716248
quinn,EXP_001_DISABLE_ALL,10,6.204939,6.202368,0.111421,48.089708,48.089708,0.000000,90478320.000000,90478320
quinn,EXP_ABL_001_CopyProp,10,6.086044,6.105480,0.106708,54.188206,54.188206,0.000000,90062224.000000,90062224
quinn,EXP_ABL_001_disable-binop-extract-shuffle,10,5.873038,5.855118,0.115608,49.736976,49.736976,0.000000,89743008.000000,89743008
quinn,EXP_ABL_002_DataflowConstProp,10,7.757270,6.813213,2.697592,53.325414,53.325414,0.000000,89742872.000000,89742872
quinn,EXP_ABL_002_disable-expand-reductions,10,5.821743,5.819189,0.110400,53.114879,53.114879,0.000000,89742808.000000,89742808
quinn,EXP_ABL_003_DeadStoreElimination-final,10,6.211091,6.200060,0.089888,57.303389,57.303389,0.000000,89490728.000000,89490728
quinn,EXP_ABL_003_disable-interleaved-load-combine,10,5.908885,5.928901,0.072942,50.484589,50.484589,0.000000,89742872.000000,89742872
quinn,EXP_ABL_004_DeadStoreElimination-initial,10,6.114984,6.125513,0.126840,55.283047,55.283047,0.000000,89576640.000000,89576640
quinn,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,5.892968,5.915084,0.091709,51.047708,51.047708,0.000000,89742872.000000,89742872
quinn,EXP_ABL_005_DestinationPropagation,10,6.000205,6.017423,0.172854,51.790934,51.790934,0.000000,89810368.000000,89810368
quinn,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,5.897212,5.884558,0.104533,49.809516,49.809516,0.000000,89742872.000000,89742872
quinn,EXP_ABL_006_EarlyOtherwiseBranch,10,5.823493,5.815190,0.050665,49.690163,49.690163,0.000000,89651496.000000,89651496
quinn,EXP_ABL_006_disable-promote-alloca-to-vector,10,5.818864,5.807887,0.055455,52.833381,52.833381,0.000000,89742872.000000,89742872
quinn,EXP_ABL_007_EnumSizeOpt,10,5.944103,5.920240,0.104512,51.276467,51.276467,0.000000,89742872.000000,89742872
quinn,EXP_ABL_007_disable-replace-with-vec-lib,10,5.877613,5.870361,0.124284,51.794601,51.794601,0.000000,89742872.000000,89742872
quinn,EXP_ABL_008_ForceInline,10,5.876739,5.877491,0.034064,51.676979,51.676979,0.000000,89742872.000000,89742872
quinn,EXP_ABL_008_disable-vector-combine,10,5.840406,5.833308,0.103067,51.951735,51.951735,0.000000,89749200.000000,89749200
quinn,EXP_ABL_009_GVN,10,5.808931,5.831568,0.109643,50.281460,50.281460,0.000000,90364088.000000,90364088
quinn,EXP_ABL_009_disable-advanced-peeling,10,5.883143,5.863015,0.080936,51.810612,51.810612,0.000000,89614328.000000,89614328
quinn,EXP_ABL_010_ImpossiblePredicates,10,5.874782,5.862588,0.085809,50.372282,50.372282,0.000000,89742872.000000,89742872
quinn,EXP_ABL_010_disable-lftr,10,5.783751,5.797889,0.053321,49.849130,49.849130,0.000000,89737064.000000,89737064
quinn,EXP_ABL_011_Inline,10,5.857212,5.841577,0.077943,53.148358,53.148358,0.000000,89339072.000000,89339072
quinn,EXP_ABL_011_disable-licm-promotion,10,5.860642,5.862558,0.097966,52.369250,52.369250,0.000000,89727936.000000,89727936
quinn,EXP_ABL_012_InstSimplify-after-simplifycfg,10,5.873015,5.822834,0.157518,52.360866,52.360866,0.000000,89794904.000000,89794904
quinn,EXP_ABL_012_disable-loop-level-heuristics,10,5.887495,5.877583,0.104513,51.048706,51.048706,0.000000,89742872.000000,89742872
quinn,EXP_ABL_013_InstSimplify-before-inline,10,5.847804,5.841102,0.109729,49.694252,49.694252,0.000000,89751760.000000,89751760
quinn,EXP_ABL_013_disable-lsr,10,5.835955,5.852650,0.088847,50.406673,50.406673,0.000000,90360352.000000,90360352
quinn,EXP_ABL_014_JumpThreading,10,5.824299,5.804056,0.156229,50.188777,50.188777,0.000000,90214376.000000,90214376
quinn,EXP_ABL_014_disable-machine-licm,10,5.823382,5.817787,0.105757,49.463555,49.463555,0.000000,89813656.000000,89813656
quinn,EXP_ABL_015_MatchBranchSimplification,10,5.810829,5.806159,0.066204,51.868772,51.868772,0.000000,90022992.000000,90022992
quinn,EXP_ABL_015_disable-postra-machine-licm,10,5.845362,5.857859,0.071375,51.607978,51.607978,0.000000,89743640.000000,89743640
quinn,EXP_ABL_016_ReferencePropagation,10,5.811487,5.827287,0.158905,49.645997,49.645997,0.000000,90227848.000000,90227848
quinn,EXP_ABL_016_disable-preheader-prot,10,5.815079,5.806412,0.064080,50.286013,50.286013,0.000000,89755696.000000,89755696
quinn,EXP_ABL_017_ScalarReplacementOfAggregates,10,5.846816,5.827222,0.104536,51.333703,51.333703,0.000000,89797976.000000,89797976
quinn,EXP_ABL_017_disable-block-placement,10,5.931518,5.945563,0.041603,50.615030,50.615030,0.000000,87497088.000000,87497088
quinn,EXP_ABL_018_SingleUseConsts,10,5.787575,5.779582,0.103891,49.510150,49.510150,0.000000,89998888.000000,89998888
quinn,EXP_ABL_018_disable-branch-fold,10,5.885265,5.878794,0.064847,49.467281,49.467281,0.000000,90307032.000000,90307032
quinn,EXP_ABL_019_UnreachableEnumBranching,10,5.802787,5.840457,0.158284,51.272053,51.272053,0.000000,89760288.000000,89760288
quinn,EXP_ABL_019_disable-cgp-branch-opts,10,5.841419,5.836111,0.052502,50.117106,50.117106,0.000000,89743528.000000,89743528
quinn,EXP_ABL_020_UnreachablePropagation,10,5.903381,5.908456,0.097465,52.689697,52.689697,0.000000,89742872.000000,89742872
quinn,EXP_ABL_020_disable-cgp-select2branch,10,5.802176,5.835449,0.078105,50.206895,50.206895,0.000000,89731992.000000,89731992
quinn,EXP_ABL_021_disable-chr,10,5.816664,5.782006,0.149165,49.507288,49.507288,0.000000,89742872.000000,89742872
quinn,EXP_ABL_022_disable-early-ifcvt,10,5.880644,5.843279,0.123726,51.928445,51.928445,0.000000,89742872.000000,89742872
quinn,EXP_ABL_023_disable-early-taildup,10,5.883678,5.865725,0.085458,52.358297,52.358297,0.000000,89785288.000000,89785288
quinn,EXP_ABL_024_disable-ifcvt-diamond,10,5.856329,5.822854,0.109889,51.774850,51.774850,0.000000,89742872.000000,89742872
