Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
quinn,EXP_ABL_002_DataflowConstProp,10,7.757270,6.813213,2.697592,0.395935,53.325414,53.325414,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_1514,10,6.075103,6.011325,0.324708,0.054016,56.939484,56.939484,0.000000,0.000000,89753528.000000,89753528
quinn,EXP_DBL_0203,10,5.554916,5.505383,0.260953,0.047400,48.058317,48.058317,0.000000,0.000000,89490816.000000,89490816
quinn,EXP_DBL_1421,10,5.684373,5.651826,0.256545,0.045392,50.065322,50.065322,0.000000,0.000000,89998000.000000,89998000
quinn,EXP_DBL_0252,10,5.494871,5.429752,0.235535,0.043379,48.637902,48.637902,0.000000,0.000000,89576640.000000,89576640
quinn,EXP_DBL_0290,10,5.609440,5.566461,0.229200,0.041175,47.965109,47.965109,0.000000,0.000000,89574760.000000,89574760
quinn,EXP_DBL_0320,10,5.525773,5.516406,0.222130,0.040267,47.894479,47.894479,0.000000,0.000000,89576640.000000,89576640
quinn,EXP_DBL_0129,10,5.701323,5.700469,0.226059,0.039656,48.792599,48.792599,0.000000,0.000000,89777376.000000,89777376
quinn,EXP_DBL_1532,10,5.926647,5.886681,0.223149,0.037907,55.641074,55.641074,0.000000,0.000000,89761760.000000,89761760
quinn,EXP_DBL_0121,10,5.696950,5.685183,0.215232,0.037858,51.400681,51.400681,0.000000,0.000000,89744352.000000,89744352
quinn,EXP_DBL_1469,10,5.660740,5.618330,0.212518,0.037826,49.624186,49.624186,0.000000,0.000000,89998888.000000,89998888
quinn,EXP_DBL_1058,10,5.698296,5.657837,0.212903,0.037630,62.337916,62.337916,0.000000,0.000000,89751760.000000,89751760
quinn,EXP_ABL_059_disable-cgdata-for-merging,10,5.894334,5.908930,0.220568,0.037328,50.319836,50.319836,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0020,10,5.614664,5.586343,0.204263,0.036565,50.176305,50.176305,0.000000,0.000000,90051272.000000,90051272
quinn,EXP_DBL_1637,10,5.802204,5.711377,0.208196,0.036453,54.853558,54.853558,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0338,10,5.608093,5.585113,0.199974,0.035805,50.451412,50.451412,0.000000,0.000000,89810368.000000,89810368
quinn,EXP_DBL_1294,10,5.776199,5.712858,0.203496,0.035621,60.203940,60.203940,0.000000,0.000000,90227848.000000,90227848
quinn,EXP_DBL_1477,10,5.679086,5.665611,0.200853,0.035451,49.607692,49.607692,0.000000,0.000000,89998888.000000,89998888
quinn,EXP_DBL_1387,10,5.532963,5.537992,0.195703,0.035338,50.290055,50.290055,0.000000,0.000000,89797976.000000,89797976
quinn,EXP_DBL_0040,10,5.771509,5.841853,0.204666,0.035034,48.153281,48.153281,0.000000,0.000000,90055752.000000,90055752
quinn,EXP_DBL_1345,10,5.531366,5.489465,0.191781,0.034936,50.136941,50.136941,0.000000,0.000000,87572240.000000,87572240
quinn,EXP_DBL_1501,10,5.918279,5.938265,0.205027,0.034526,50.666986,50.666986,0.000000,0.000000,89760288.000000,89760288
quinn,EXP_DBL_0676,10,5.536271,5.503469,0.189820,0.034491,49.877337,49.877337,0.000000,0.000000,90364088.000000,90364088
quinn,EXP_DBL_0206,10,5.546363,5.529670,0.188792,0.034142,49.894902,49.894902,0.000000,0.000000,89479888.000000,89479888
quinn,EXP_DBL_0775,10,5.809297,5.753594,0.195748,0.034022,51.365123,51.365123,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0165,10,5.574378,5.571265,0.189479,0.034010,50.693703,50.693703,0.000000,0.000000,90001720.000000,90001720
quinn,EXP_DBL_0100,10,5.768092,5.770430,0.195511,0.033882,49.883376,49.883376,0.000000,0.000000,87497088.000000,87497088
