Source,Target,Type,Weight,Stability
EnumSizeOpt,tail-duplicate,Interaction,1.0322973908944255,1.0
EnumSizeOpt,cgp-ext-ld-promotion,Interaction,0.9674854878935704,1.0
ForceInline,type-promotion,Interaction,-0.955176125763293,1.0
EnumSizeOpt,spill-fusing,Interaction,0.9411954891073921,1.0
EnumSizeOpt,cgp-store-extract,Interaction,0.9278517632796102,1.0
ForceInline,cfi-fixup,Interaction,-0.8874601694959242,1.0
EnumSizeOpt,separate-const-offset-from-gep,Interaction,0.8855718244932979,0.9333333333333333
ForceInline,phi-elim-edge-splitting,Interaction,-0.875464387203123,1.0
DeadStoreElimination-final,machine-dce,Interaction,0.8552008184302679,0.9333333333333333
DeadStoreElimination-initial,type-promotion,Interaction,-0.8449486926539788,0.9666666666666667
DeadStoreElimination-initial,binop-extract-shuffle,Interaction,-0.8392206953130333,0.9666666666666667
DeadStoreElimination-initial,select-optimize,Interaction,-0.8391631017246545,1.0
ForceInline,copyprop,Interaction,-0.8384233280367792,1.0
EnumSizeOpt,adv-copy-opt,Interaction,0.8382541209478851,0.9
EnumSizeOpt,strictnode-mutation,Interaction,0.8331317736994178,0.9
ForceInline,mergeicmps,Interaction,-0.830488004567772,0.9666666666666667
EnumSizeOpt,memop-opt,Interaction,0.8283223311984623,0.9666666666666667
DeadStoreElimination-initial,cgdata-for-merging,Interaction,-0.8248084999165467,0.9333333333333333
DeadStoreElimination-final,adv-copy-opt,Interaction,0.8226720779738881,0.9666666666666667
ForceInline,machine-dce,Interaction,-0.8209274538616859,1.0
ForceInline,select-optimize,Interaction,-0.8173323097187414,0.9666666666666667
DestinationPropagation,icp,Interaction,-0.8100187769266151,1.0
DeadStoreElimination-initial,global-outlining,Interaction,-0.8092136734127972,0.9666666666666667
EnumSizeOpt,constant-hoisting,Interaction,0.8063528062693607,1.0
ForceInline,non-allocatable-phys-copy-opt,Interaction,-0.8060191491615192,0.9333333333333333
EnumSizeOpt,gep-const-evaluation,Interaction,0.8051295134761742,1.0
ForceInline,preinline,Interaction,-0.8042873619781596,0.9666666666666667
DestinationPropagation,mergeicmps,Interaction,-0.8035240057943885,0.9666666666666667
DeadStoreElimination-initial,cfi-fixup,Interaction,-0.8009826099912883,0.9
ForceInline,machine-sink,Interaction,-0.8001859503039692,0.9666666666666667
ForceInline,machine-cse,Interaction,-0.7986022974726137,1.0
DestinationPropagation,gep-const-evaluation,Interaction,-0.7982624233106539,0.9666666666666667
DeadStoreElimination-initial,auto-upgrade-debug-info,Interaction,-0.7979913343139394,1.0
EnumSizeOpt,cgp-delete-phis,Interaction,0.7974000709761682,0.9666666666666667
DeadStoreElimination-final,separate-const-offset-from-gep,Interaction,0.7970204154960773,1.0
GVN,loop-idiom-vectorize-bytecmp,Interaction,0.796455811259283,0.9666666666666667
ForceInline,ssc,Interaction,-0.795000643992146,1.0
DeadStoreElimination-final,cgp-ext-ld-promotion,Interaction,0.794163291869223,0.9666666666666667
DeadStoreElimination-initial,spill-fusing,Interaction,-0.791991421621812,1.0
DeadStoreElimination-initial,bitcode-version-upgrade,Interaction,-0.7894669304488199,1.0
DeadStoreElimination-final,cleanups,Interaction,0.7817570615073446,0.9
DeadStoreElimination-initial,preinline,Interaction,-0.7816154056430793,0.9666666666666667
DestinationPropagation,machine-dce,Interaction,-0.777410623519167,0.9666666666666667
DestinationPropagation,postra-machine-sink,Interaction,-0.773545744690487,0.9666666666666667
DeadStoreElimination-final,demotion,Interaction,0.7708651963788313,0.9666666666666667
DeadStoreElimination-initial,vector-combine,Interaction,-0.7707738321172013,1.0
DeadStoreElimination-final,gep-const-evaluation,Interaction,0.7654989210252682,0.9333333333333333
DestinationPropagation,preinline,Interaction,-0.7648132179087068,0.9333333333333333
DeadStoreElimination-final,tail-duplicate,Interaction,0.7620878339852819,0.9666666666666667
DestinationPropagation,non-allocatable-phys-copy-opt,Interaction,-0.7619672900216777,0.9333333333333333
DeadStoreElimination-final,cgp-delete-phis,Interaction,0.7614623936061251,0.8666666666666667
DeadStoreElimination-final,constant-hoisting,Interaction,0.7600985940465269,0.9666666666666667
EnumSizeOpt,non-allocatable-phys-copy-opt,Interaction,0.7595284303686415,1.0
ForceInline,bitcode-version-upgrade,Interaction,-0.7566577770117334,0.9333333333333333
DeadStoreElimination-initial,phi-elim-edge-splitting,Interaction,-0.7562599668380822,0.9666666666666667
EnumSizeOpt,copyprop,Interaction,0.7552590856451381,0.9666666666666667
DeadStoreElimination-final,cgp-store-extract,Interaction,0.7522264591710621,0.9666666666666667
DeadStoreElimination-final,machine-sink,Interaction,0.7505952789226401,0.9666666666666667
DeadStoreElimination-initial,postra-machine-sink,Interaction,-0.7412711944651833,0.9
ForceInline,demotion,Interaction,-0.7400137408982611,0.9666666666666667
DeadStoreElimination-initial,loop-idiom-vectorize-bytecmp,Interaction,-0.7366294675099515,0.9666666666666667
GVN,interleaved-load-combine,Interaction,0.7366095477248463,1.0
EnumSizeOpt,demotion,Interaction,0.7262174345955466,0.9333333333333333
EnumSizeOpt,machine-sink,Interaction,0.7241385643325106,1.0
DeadStoreElimination-initial,strictnode-mutation,Interaction,-0.7229735449065198,0.9333333333333333
ForceInline,postra-machine-sink,Interaction,-0.7223813526684862,0.9
DeadStoreElimination-final,icp,Interaction,0.7192487326969272,0.9666666666666667
DestinationPropagation,machine-sink,Interaction,-0.7181253599096439,0.9
DeadStoreElimination-initial,replace-with-vec-lib,Interaction,-0.7171161784832706,0.9666666666666667
EnumSizeOpt,icp,Interaction,0.7162579681808219,0.9666666666666667
DestinationPropagation,machine-cse,Interaction,-0.711141949231736,0.9666666666666667
EarlyOtherwiseBranch,mergeicmps,Interaction,0.7095709426647505,1.0
DeadStoreElimination-final,mergeicmps,Interaction,0.7087033387309184,0.9333333333333333
DestinationPropagation,select-optimize,Interaction,-0.7086531843866176,0.8666666666666667
DestinationPropagation,phi-elim-edge-splitting,Interaction,-0.7003541502372829,0.9333333333333333
ForceInline,icp,Interaction,-0.693843422131718,0.8666666666666667
EnumSizeOpt,mergeicmps,Interaction,0.687614154486562,0.9
DeadStoreElimination-final,memop-opt,Interaction,0.6845769549597034,0.8
DestinationPropagation,demotion,Interaction,-0.6838288857100097,0.9333333333333333
DeadStoreElimination-initial,ssc,Interaction,-0.6837683945659965,0.9333333333333333
EnumSizeOpt,cleanups,Interaction,0.6830121740045546,0.8666666666666667
DestinationPropagation,ssc,Interaction,-0.6828256031255612,0.8666666666666667
GVN,binop-extract-shuffle,Interaction,0.6677740436681353,0.9
DeadStoreElimination-final,machine-cse,Interaction,0.6657881147046034,0.9666666666666667
EnumSizeOpt,machine-cse,Interaction,0.6532137239098137,1.0
DeadStoreElimination-initial,promote-alloca-to-vector,Interaction,-0.6517223676249292,0.9
DeadStoreElimination-initial,non-allocatable-phys-copy-opt,Interaction,-0.6456153742409642,0.9333333333333333
EarlyOtherwiseBranch,cgp-ext-ld-promotion,Interaction,0.6447455367945025,0.9333333333333333
GVN,promote-alloca-to-vector,Interaction,0.6367762517972524,0.9
EnumSizeOpt,machine-dce,Interaction,0.6308489977385834,0.9
DeadStoreElimination-final,copyprop,Interaction,0.6298748457344153,0.9333333333333333
GVN,expand-reductions,Interaction,0.6267857819465801,1.0
EarlyOtherwiseBranch,cgp-store-extract,Interaction,0.625656817656801,1.0
EarlyOtherwiseBranch,separate-const-offset-from-gep,Interaction,0.6240395344314217,0.9666666666666667
DeadStoreElimination-final,postra-machine-sink,Interaction,0.612048384487535,1.0
DeadStoreElimination-final,non-allocatable-phys-copy-opt,Interaction,0.601806105352129,0.9666666666666667
DeadStoreElimination-initial,mergeicmps,Interaction,-0.5964795635862966,0.8333333333333334
DeadStoreElimination-final,select-optimize,Interaction,0.5948729069813579,0.9
EarlyOtherwiseBranch,gep-const-evaluation,Interaction,0.5892855637686136,0.9666666666666667
EarlyOtherwiseBranch,memop-opt,Interaction,0.5848642588699957,0.9333333333333333
EarlyOtherwiseBranch,constant-hoisting,Interaction,0.581694337421039,0.9
EnumSizeOpt,phi-elim-edge-splitting,Interaction,0.5750258958247492,0.9666666666666667
ForceInline,gep-const-evaluation,Interaction,-0.5698303854545667,0.9333333333333333
EarlyOtherwiseBranch,machine-sink,Interaction,0.5671784028264005,0.8333333333333334
EarlyOtherwiseBranch,machine-cse,Interaction,0.5585182153502094,0.9666666666666667
EnumSizeOpt,postra-machine-sink,Interaction,0.5514585646645711,0.9333333333333333
EarlyOtherwiseBranch,icp,Interaction,0.5510083478626725,1.0
GVN,loop-idiom-vectorize-all,Interaction,0.5413549276118533,0.9
EarlyOtherwiseBranch,demotion,Interaction,0.5408743608657353,0.9
EarlyOtherwiseBranch,adv-copy-opt,Interaction,0.5375125173916594,0.9666666666666667
EarlyOtherwiseBranch,cleanups,Interaction,0.5323404150144107,0.9666666666666667
EarlyOtherwiseBranch,machine-dce,Interaction,0.5226697535177381,0.9
GVN,advanced-peeling,Interaction,0.5213928893928736,0.9333333333333333
