ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_000_ALL_OFF,None,None,3,8.82159,49.333731,43157752.0,0.0,0.0,0.0
EXP_ABL_001_CopyProp,CopyProp,None,3,8.747376,47.451793,43598328.0,-0.8412769126654189,-3.814708439546156,1.0208502055436066
EXP_ABL_002_DataflowConstProp,DataflowConstProp,None,3,8.763721,46.26824,43870920.0,-0.655992853895955,-6.213783019978767,1.6524679042597028
EXP_ABL_003_DeadStoreElimination-final,DeadStoreElimination-final,None,3,9.344195,46.08867,43857792.0,5.924158796770182,-6.577773329164987,1.622049267070259
EXP_ABL_004_DeadStoreElimination-initial,DeadStoreElimination-initial,None,3,8.647332,46.317456,43768120.0,-1.975358183728784,-6.114021661974036,1.4142719945190845
EXP_ABL_005_DestinationPropagation,DestinationPropagation,None,3,8.988082,46.193953,43829600.0,1.8873241671852792,-6.364363562934253,1.556726124196645
EXP_ABL_006_EarlyOtherwiseBranch,EarlyOtherwiseBranch,None,3,8.744648,46.974705,43870816.0,-0.8722010431226199,-4.781770914508777,1.6522269278529615
EXP_ABL_007_EnumSizeOpt,EnumSizeOpt,None,3,8.414801,46.202034,43870920.0,-4.611288894632372,-6.347983289567137,1.6524679042597028
EXP_ABL_008_ForceInline,ForceInline,None,3,8.694087,46.400979,43870920.0,-1.4453516883010977,-5.94471964830716,1.6524679042597028
EXP_ABL_009_GVN,GVN,None,3,8.576058,45.899796,43844864.0,-2.7833077710480847,-6.960622945789359,1.5920940460476256
EXP_ABL_010_ImpossiblePredicates,ImpossiblePredicates,None,3,8.675023,46.564494,43870920.0,-1.6614578551032297,-5.613272995711589,1.6524679042597028
EXP_ABL_011_Inline,Inline,None,3,9.458223,48.478541,43210432.0,7.216760243901607,-1.7334792699948038,0.12206381833789674
EXP_ABL_012_InstSimplify-after-simplifycfg,InstSimplify-after-simplifycfg,None,3,9.00859,46.929425,43830032.0,2.11979926521182,-4.873553958446805,1.5577271031169557
EXP_ABL_013_InstSimplify-before-inline,InstSimplify-before-inline,None,3,8.689032,47.500084,43879536.0,-1.5026542834115082,-3.71682206642753,1.672431872725901
EXP_ABL_014_JumpThreading,JumpThreading,None,3,8.599006,48.326991,43404024.0,-2.523173260149261,-2.0406727397123086,0.5706321311638289
EXP_ABL_015_MatchBranchSimplification,MatchBranchSimplification,None,3,8.615075,47.749419,43796920.0,-2.341017889065365,-3.211417356615491,1.4810039225398024
EXP_ABL_016_ReferencePropagation,ReferencePropagation,None,3,9.129058,52.08582,43600296.0,3.4854034250061505,5.578513816439299,1.0254102206250222
EXP_ABL_017_ScalarReplacementOfAggregates,ScalarReplacementOfAggregates,None,3,8.809483,49.417508,43744264.0,-0.13724283264128476,0.16981687438154183,1.3589957141419229
EXP_ABL_018_SingleUseConsts,SingleUseConsts,None,3,8.886792,51.523483,43764112.0,0.7391184582371128,4.438650707362876,1.404985134536201
EXP_ABL_019_UnreachableEnumBranching,UnreachableEnumBranching,None,3,9.576344,53.485096,43856440.0,8.555759222543783,8.41486122344973,1.6189165737826199
EXP_ABL_020_UnreachablePropagation,UnreachablePropagation,None,3,9.686581,50.241957,43870920.0,9.805386557298625,1.840983808826458,1.6524679042597028
EXP_000_DEFAULT,None,None,3,9.001952,50.574493,43870920.0,2.044552059209267,2.515037834863932,1.6524679042597028
EXP_001_DISABLE_ALL,None,None,3,8.92084,48.784192,45038016.0,1.1250806260549358,-1.113921426295536,4.356723677359285
EXP_ABL_001_disable-binop-extract-shuffle,None,binop-extract-shuffle,3,9.115402,50.132169,43870920.0,3.3306013995209374,1.6184423594477322,1.6524679042597028
EXP_ABL_002_disable-expand-reductions,None,expand-reductions,3,9.367064,49.720015,43869432.0,6.183397777498145,0.7830017964787547,1.6490200879786323
EXP_ABL_003_disable-interleaved-load-combine,None,interleaved-load-combine,3,9.347713,48.683438,43870920.0,5.9640382289360545,-1.3181508611217705,1.6524679042597028
EXP_ABL_004_disable-loop-idiom-vectorize-all,None,loop-idiom-vectorize-all,3,9.120583,48.029199,43870920.0,3.389332308574751,-2.6443003064171284,1.6524679042597028
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,None,loop-idiom-vectorize-bytecmp,3,8.885739,48.892247,43870920.0,0.7271818345672229,-0.894892786438558,1.6524679042597028
EXP_ABL_006_disable-promote-alloca-to-vector,None,promote-alloca-to-vector,3,8.578285,48.241636,43870920.0,-2.758062888889658,-2.2136882369590096,1.6524679042597028
EXP_ABL_007_disable-replace-with-vec-lib,None,replace-with-vec-lib,3,9.7377,49.673163,43870920.0,10.384862592797893,0.6880322917397068,1.6524679042597028
EXP_ABL_008_disable-vector-combine,None,vector-combine,3,9.313772,50.749651,43871664.0,5.579288994387629,2.87008497289613,1.6541918124002382
EXP_ABL_009_disable-advanced-peeling,None,advanced-peeling,3,8.698285,49.524119,43757456.0,-1.3977638951708278,0.3859185108055149,1.3895626445047462
EXP_ABL_010_disable-lftr,None,lftr,3,8.770944,50.288749,43870968.0,-0.5741141902990324,1.935831692924264,1.6525791241397372
EXP_ABL_011_disable-licm-promotion,None,licm-promotion,3,9.602285,50.800708,43883584.0,8.849821857510944,2.9735780575768738,1.6818114159421464
EXP_ABL_012_disable-loop-level-heuristics,None,loop-level-heuristics,3,9.657417,51.445374,43870920.0,9.474788558525164,4.28032292955909,1.6524679042597028
EXP_ABL_013_disable-lsr,None,lsr,3,9.082629,50.082111,44077392.0,2.9590924085113937,1.516974258443979,2.130880218228234
EXP_ABL_014_disable-machine-licm,None,machine-licm,3,8.709962,52.739487,43926888.0,-1.265395467257032,6.903503811621295,1.7821502843799648
EXP_ABL_015_disable-postra-machine-licm,None,postra-machine-licm,3,23.310059,56.283374,43870808.0,164.23874834355254,14.087000636542168,1.652208391206289
