pass,side,weighted_degree,degree
DeadStoreElimination-initial,MIR,27.230641880462702,78
EnumSizeOpt,MIR,24.77072099792027,73
DeadStoreElimination-final,MIR,24.082406044870844,69
EarlyOtherwiseBranch,MIR,23.62614206759766,71
ForceInline,MIR,22.331491502319352,67
DestinationPropagation,MIR,18.77106635606856,73
CopyProp,MIR,10.625564797111284,70
DataflowConstProp,MIR,10.621309070442228,66
GVN,MIR,7.291100683203817,16
mergeicmps,LLVM,5.021093455669819,8
gep-const-evaluation,LLVM,4.700335696537388,10
machine-sink,LLVM,4.608539666877563,8
non-allocatable-phys-copy-opt,LLVM,4.472330040942299,8
icp,LLVM,4.414387314842942,9
postra-machine-sink,LLVM,4.307042780347008,8
machine-dce,LLVM,4.288343740474301,9
machine-cse,LLVM,4.273145151188552,9
phi-elim-edge-splitting,LLVM,4.225085176437945,9
demotion,LLVM,4.191522352841397,9
select-optimize,LLVM,4.172555761845416,9
preinline,LLVM,4.0848427059111625,8
copyprop,LLVM,3.9575026661201558,8
constant-hoisting,LLVM,3.9221333137516785,9
ssc,LLVM,3.716451423450537,8
cgp-delete-phis,LLVM,3.6776584681953746,9
adv-copy-opt,LLVM,3.652373531406343,9
separate-const-offset-from-gep,LLVM,3.625808109353888,8
cleanups,LLVM,3.612528274203784,9
cgp-store-extract,LLVM,3.5749833896936356,7
cgp-ext-ld-promotion,LLVM,3.553613699013449,7
type-promotion,LLVM,3.529092169123437,9
memop-opt,LLVM,3.4581565019741105,9
tail-duplicate,LLVM,2.930070710627444,7
cfi-fixup,LLVM,2.7482937992691805,9
bitcode-version-upgrade,LLVM,2.6780831078195177,9
auto-upgrade-debug-info,LLVM,2.5483236386105634,8
loop-idiom-vectorize-bytecmp,LLVM,2.0523206070049445,9
spill-fusing,LLVM,2.0065101710805586,6
global-outlining,LLVM,1.9407567841140856,9
strictnode-mutation,LLVM,1.9134415932523434,6
binop-extract-shuffle,LLVM,1.8928419008219213,9
promote-alloca-to-vector,LLVM,1.8807117804862494,9
cgdata-for-merging,LLVM,1.79931840957686,10
vector-combine,LLVM,1.7636939502591045,7
replace-with-vec-lib,LLVM,1.7168718948817894,8
advanced-peeling,LLVM,1.5756079228026023,8
interleaved-load-combine,LLVM,1.5492805046088651,6
machine-licm,LLVM,1.5427190587360458,7
lftr,LLVM,1.5323389010790085,8
tail-calls,LLVM,1.5289531996370047,8
