t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,InstSimplify-after-simplifycfg,binop-extract-shuffle,0.9653157764076544,0.9891583306358889,1.0155772710311695,1.029609630038797
2,DeadStoreElimination-final,sample-loader-inlining,1.6277216465512452,1.0673238965039964,1.0162204926707026,1.029609630038797
3,DataflowConstProp,separate-const-offset-from-gep,0.9896373556240994,1.0454958089425672,1.016524679042597,1.029609630038797
4,MatchBranchSimplification,memop-opt,0.9797214561093862,1.2516139312471624,1.014810039225398,0.7665971604352436
5,SingleUseConsts,select-optimize,0.9320767571378854,1.1037757918613536,1.014049851345362,1.062731130269966
6,CopyProp,cgdata-for-merging,2.6086367650276197,1.1259520995888188,1.010208502055436,1.062731130269966
7,Inline,thinlto-funcattrs,0.9266033674201589,1.144667144676327,1.001220638183379,1.068245229269162
8,UnreachableEnumBranching,lsr,0.9343854112467254,1.0733692126387115,1.020960127858374,1.0682028883675736
9,ReferencePropagation,i2p-p2i-opt,0.9180292895044997,1.061501024522147,1.011310134967178,1.0772479077033794
10,InstSimplify-before-inline,machine-sink,0.9294442385102911,1.0010405659365191,1.0224908841405826,1.076807415987836
11,UnreachableEnumBranching,licm-promotion,0.9194095395501264,1.1097450140148533,1.016141526555878,1.076807415987836
12,DataflowConstProp,ifcvt-forked-diamond,0.997365440923915,1.0362955925632302,1.016524679042597,1.076807415987836
13,MatchBranchSimplification,branch-fold,1.0210747722349371,1.2554295356254324,1.0246437302851177,1.076807415987836
14,EnumSizeOpt,nounwind-inference,1.798623264060107,1.1332729932791825,1.0176813657949562,1.076807415987836
15,ForceInline,copyprop,1.0226718766118126,1.057320213628278,1.0164681422702462,1.076807415987836
16,DataflowConstProp,loop-idiom-vectorize-bytecmp,1.9106840150131663,1.1010891918959058,1.016524679042597,1.076807415987836
17,GVN,postra-machine-sink,0.951062450193219,1.072498307496751,1.0154382461811264,1.076807415987836
18,GVN,cgp-delete-phis,0.9993948936642941,1.0792612664953316,1.0159229794916103,1.076807415987836
19,SingleUseConsts,advanced-peeling,0.9526207860487734,1.1042918485123292,1.0113396082353872,1.076807415987836
20,CopyProp,whole-program-visibility,2.255031689298641,1.165680069889707,1.010208502055436,1.076807415987836
21,ImpossiblePredicates,licm-promotion,0.9766417391876067,1.0346874636341614,1.0168181141594215,1.076807415987836
22,MatchBranchSimplification,ssc,1.030485547389983,1.22125233139168,1.015324245804091,1.076807415987836
23,,ifcvt-triangle-false,2.48495724693621,1.145014898629905,1.016524679042597,1.076807415987836
24,ForceInline,complex-addr-modes,4.2756165271793405,1.075892354462305,1.0170318416955544,1.076807415987836
25,DeadStoreElimination-initial,sample-loader-inlining,4.150173834875572,1.1912721946775118,1.014142719945191,1.076807415987836
26,EnumSizeOpt,preheader-prot,0.9334468049410592,0.9165966182448272,1.0164470104930396,1.0801821716578375
27,EarlyOtherwiseBranch,branch-fold,0.9408368559409359,1.0184590944479752,1.026213598891805,1.0801821716578375
28,ImpossiblePredicates,early-taildup,0.927862210780596,1.058306354327833,1.0165524840126057,1.0801627448322946
29,InstSimplify-before-inline,machine-licm,0.9328716251832153,1.020418747570501,1.018020957161995,1.0801627448322946
30,InstSimplify-after-simplifycfg,replace-with-vec-lib,0.9562760228031454,0.9874900805698235,1.0155772710311695,1.0812317181420261
31,DeadStoreElimination-final,partial-inlining,0.9631976775161847,1.066128892623183,1.0162204926707026,1.0812317181420261
32,GVN,promote-alloca-to-vector,2.3669140143670244,1.08365846078011,1.0159209404604763,1.0812317181420261
33,MatchBranchSimplification,early-taildup,1.0324533332426467,1.266961016996667,1.0147950245415933,1.0812317181420261
34,DestinationPropagation,constant-hoisting,1.462839805522587,1.0611504327536063,1.0154658657846682,1.0423928111992242
35,Inline,replace-with-vec-lib,0.9399199010609199,1.0786272986326535,1.001220638183379,1.0416321732817224
36,DataflowConstProp,whole-program-visibility,2.568208678934296,1.0965138436417874,1.016524679042597,1.0416321732817224
37,InstSimplify-after-simplifycfg,vp,0.9271151799165456,1.0009115669763553,1.0155772710311695,1.0416321732817224
38,JumpThreading,tail-calls,0.9377819644757918,1.0049823517300973,1.0057063213116384,1.0803402198077638
39,SingleUseConsts,ifcvt-triangle,0.9487680792238133,1.115164348709,1.014049851345362,1.0803402198077638
40,ReferencePropagation,global-outlining,1.0232067008328432,1.2342843276945747,1.0102541022062501,1.0803402198077638
41,SingleUseConsts,ifcvt-forked-diamond,1.0390783294168058,1.1272694943749542,1.014049851345362,1.0803402198077638
