mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
MatchBranchSimplification,cgp-delete-phis,13.910933029225577,11.718660312826753,21.62205204589933,8.919873559287637,0.7139393404263084,2.042019645530892,104.20196455308916,-15.759350661764117,55.43207634220808,-35.878682324558575,-0.0119060934950262,1.4855707595431746,0.0559720139930035,6,3,3,3,0.7139393404263084,401,moderate,0.0886579610957879,False,True,independent
UnreachablePropagation,cgp-delete-phis,13.910933029225577,11.021668158938326,21.62205204589933,8.995595165176706,0.644166778530241,1.904399581397718,90.43995813977182,-20.769741786673645,55.43207634220808,-35.33435071337201,0.0443077161271095,1.2461770583215843,0.0359820089955022,6,3,3,3,0.644166778530241,475,moderate,0.061324573852704,False,True,independent
MatchBranchSimplification,memop-opt,13.910933029225577,11.718660312826753,19.489817920276717,8.69023134233989,0.6362000006687243,1.8892879284914683,88.92879284914683,-15.759350661764117,40.10431851932881,-37.52948616686944,0.0480382292842369,1.2689318193088035,0.0279860069965017,6,3,3,3,0.6362000006687243,485,moderate,0.0507724279936534,False,True,independent
MatchBranchSimplification,ifcvt-diamond,13.910933029225577,11.718660312826753,22.42676171813611,10.028967194279288,0.6332847302979543,1.8837881639171552,88.37881639171552,-15.759350661764117,61.216804588301656,-27.905862437772065,0.0128526293699214,1.2918550525230348,0.0449775112443778,6,3,3,3,0.6332847302979543,488,moderate,0.0734146201235665,False,True,independent
MatchBranchSimplification,cgp-ext-ld-promotion,13.910933029225577,11.718660312826753,20.16741509964312,9.113478551081764,0.6228211009130367,1.8641796696454829,86.41796696454827,-15.759350661764117,44.97528711606373,-34.48693533399093,0.0715980192766507,1.262978552728504,0.0309845077461269,6,3,3,3,0.6228211009130367,504,moderate,0.0549511569001823,False,True,independent
MatchBranchSimplification,early-taildup,13.910933029225577,11.718660312826753,21.050339634471417,9.595912216439707,0.6140868876509531,1.8479684261390688,84.79684261390688,-15.759350661764117,51.32226997460641,-31.01891730569337,0.0015158717996301,1.2917291395679074,0.0509745127436281,6,3,3,3,0.6140868876509531,514,moderate,0.0817562233376065,False,True,independent
Inline,cgp-delete-phis,13.910933029225577,9.526326971034546,21.62205204589933,8.217604522872543,0.588819121946019,1.801859382380068,80.18593823800677,-31.51913713465071,55.43207634220808,-40.927006796682,0.0449523962938965,1.1346552703352992,0.0399800099950025,6,3,3,3,0.588819121946019,549,moderate,0.0662343478959123,False,True,independent
DataflowConstProp,postra-machine-sink,13.910933029225577,9.80671903379659,16.919635646337362,21.13027618998417,-0.5718393958804513,0.5644861696439325,-43.55138303560675,-29.50351343656399,21.628330830080067,51.896901132306674,-1.1469069387704656,0.0618006272110051,0.0779610194902548,6,3,3,3,0.5718393958804513,573,moderate,0.1177573178833695,False,True,independent
MatchBranchSimplification,ifcvt-triangle,13.910933029225577,11.718660312826753,24.34196535639345,11.614411709836835,0.5684625044849487,1.7655504376986084,76.55504376986084,-15.759350661764117,74.98441912741043,-16.5087511712116,-0.1356515895728381,1.2846143779850234,0.1399300349825087,6,3,3,3,0.5684625044849487,577,moderate,0.1983636704278091,False,True,independent
MatchBranchSimplification,spill-fusing,13.910933029225577,11.718660312826753,18.71019845585808,9.00840226971913,0.559418409831276,1.749654622403852,74.96546224038521,-15.759350661764117,34.499953500959954,-35.24228568426492,-0.0572339396874928,1.1987332768185046,0.0879560219890055,6,3,3,3,0.559418409831276,587,moderate,0.1308306420266569,False,True,independent
