mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DeadStoreElimination-initial,lftr,13.910933029225577,8.58137778244591,8.67654948427037,44.90327941060993,-2.126967503916131,0.1191982144491964,-88.08017855508035,-38.31198982543275,-37.62783944080712,222.7912844973973,-2.49358151367939,-1.7450417188599177,0.000999500249875,6,3,3,3,2.126967503916131,1,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,advanced-peeling,13.910933029225577,8.58137778244591,8.882646671192484,44.24351091206863,-2.088689752012787,0.1238493028545207,-87.61506971454793,-38.31198982543275,-36.14629117593429,218.0484789849619,-2.444480082700737,-1.7341351750449767,0.000999500249875,6,3,3,3,2.088689752012787,2,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,last-run-tracking,13.910933029225577,8.581936297626852,8.829790563863092,42.81785648130079,-2.061839443536472,0.1272197410051524,-87.27802589948476,-38.30797488854988,-36.526252083073615,207.8000331921982,-2.427451065953492,-1.6991288913833111,0.000999500249875,6,3,3,3,2.061839443536472,3,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,ra-fsprofile-loader,13.910933029225577,8.581936297626852,9.162723724123492,43.4274709000852,-2.038964242713187,0.1301634588342553,-86.98365411657447,-38.30797488854988,-34.132931954503256,212.18230156703456,-2.4058851343926104,-1.6835190700233431,0.000999500249875,6,3,3,3,2.038964242713187,4,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,nounwind-inference,13.910933029225577,8.581936297626852,8.955219789010709,41.47607209734614,-2.0158956221352957,0.1332010521163968,-86.67989478836031,-38.30797488854988,-35.62459275595228,198.1544948150406,-2.389588793466893,-1.6441270826499113,0.000999500249875,6,3,3,3,2.0158956221352957,5,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,promote-alloca-to-vector,13.910933029225577,8.581936297626852,8.57309355787084,39.60121913562513,-2.013246777399757,0.1335543487294284,-86.64456512705716,-38.30797488854988,-38.37154172290551,184.6769447629908,-2.368024144922507,-1.640213173371911,0.000999500249875,6,3,3,3,2.013246777399757,6,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,nofree-inference,13.910933029225577,8.58137778244591,8.89841079921425,40.93882524518928,-2.0092867848866045,0.1340842715031037,-86.59157284968963,-38.31198982543275,-36.03296931615214,194.29244723686483,-2.3660955517982067,-1.6414918761561137,0.000999500249875,6,3,3,3,2.0092867848866045,7,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,lsr,13.910933029225577,8.58137778244591,9.026266901172004,41.26873898974838,-2.003047015460111,0.1349235421455879,-86.50764578544121,-38.31198982543275,-35.11386416562673,196.66406202263067,-2.346620873901544,-1.657804618590602,0.000999500249875,6,3,3,3,2.003047015460111,8,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,nounwind-inference,13.910933029225577,8.58137778244591,8.955219789010709,40.55365470967896,-1.9934699245657816,0.1362219246119216,-86.37780753880784,-38.31198982543275,-35.62459275595228,191.5236140126583,-2.350963549800273,-1.624404517143076,0.000999500249875,6,3,3,3,1.9934699245657816,9,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,layout-fsprofile-loader,13.910933029225577,8.58137778244591,9.300157576444928,42.10945401456376,-1.9933215311964096,0.1362421405422149,-86.3757859457785,-38.31198982543275,-33.14497627940439,202.70761800157987,-2.3391261432648145,-1.6449275450831895,0.000999500249875,6,3,3,3,1.9933215311964096,10,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,interleaved-load-combine,13.910933029225577,8.58137778244591,9.225008993777667,41.65396024362008,-1.990558881633258,0.1366190502272333,-86.33809497727667,-38.31198982543275,-33.68518866134441,199.43325984036437,-2.3417979964151,-1.664594419736638,0.000999500249875,6,3,3,3,1.990558881633258,11,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,loop-level-heuristics,13.910933029225577,8.58137778244591,9.395879850213673,41.817433434332855,-1.9761226395293088,0.1386056207177745,-86.13943792822255,-38.31198982543275,-32.4568680585709,200.60840165414007,-2.345616656508265,-1.6216612412859857,0.000999500249875,6,3,3,3,1.9761226395293088,12,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,loop-idiom-vectorize-all,13.910933029225577,8.581936297626852,9.316961119385187,41.31716707606352,-1.9724570820071896,0.1391146199063843,-86.08853800936156,-38.30797488854988,-33.02418249148983,197.01219170029788,-2.334149355307266,-1.6457184029724805,0.000999500249875,6,3,3,3,1.9724570820071896,13,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,interleaved-load-combine,13.910933029225577,8.581936297626852,9.225008993777667,40.63347534602754,-1.965689594013134,0.140059269272699,-85.99407307273009,-38.30797488854988,-33.68518866134441,192.0974118749648,-2.327150323297357,-1.6286505801775717,0.000999500249875,6,3,3,3,1.965689594013134,14,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,2addr-hack,13.910933029225577,8.581936297626852,8.94395966643485,39.3139100024132,-1.9636155095790568,0.14035006548665,-85.96499345133499,-38.30797488854988,-35.70553716530427,182.6115970784873,-2.3099777288028305,-1.6352417318977674,0.000999500249875,6,3,3,3,1.9636155095790568,15,extreme,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,machine-licm,13.910933029225577,8.58137778244591,8.811063987470952,38.637073888326114,-1.961284674386615,0.1406775799013332,-85.93224200986668,-38.31198982543275,-36.66086977085055,177.74609946833343,-2.3017439185564608,-1.6384855269929988,0.000999500249875,6,3,3,3,1.961284674386615,16,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,global-outlining,13.910933029225577,8.581936297626852,9.022093565686276,39.53449754436124,-1.960512752619932,0.1407862139104272,-85.92137860895728,-38.30797488854988,-35.14386456514674,184.19731057077863,-2.324803753123968,-1.6060351900749017,0.000999500249875,6,3,3,3,1.960512752619932,17,extreme,0.0032216901258108,True,False,negative_interaction
ForceInline,nofree-inference,13.910933029225577,8.581936297626852,8.89841079921425,38.90296656889618,-1.958213326301197,0.1411103139152456,-85.88896860847544,-38.30797488854988,-36.03296931615214,179.65749304640218,-2.3142369967883645,-1.604828724277419,0.000999500249875,6,3,3,3,1.958213326301197,18,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,binop-extract-shuffle,13.910933029225577,8.581936297626852,9.124812719838268,39.08892655824645,-1.937857359328028,0.1440121858068223,-85.59878141931777,-38.30797488854988,-34.40545863697363,180.99428324559003,-2.299567019329711,-1.5684638222472231,0.000999500249875,6,3,3,3,1.937857359328028,19,strong,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,vp,13.910933029225577,8.58137778244591,8.960885344451901,38.30802697057317,-1.9358710213560009,0.1442985269709411,-85.57014730290588,-38.31198982543275,-35.58386539834593,175.38071594544792,-2.2854161759913323,-1.5790531152067326,0.000999500249875,6,3,3,3,1.9358710213560009,20,strong,0.0032216901258108,True,False,negative_interaction
DestinationPropagation,advanced-peeling,13.910933029225577,8.834091821461794,8.882646671192484,39.02444009255244,-1.9341453303562817,0.1445477566250423,-85.54522433749577,-36.49533210387694,-36.14629117593429,180.530716455652,-2.300275192752666,-1.5800661009152095,0.000999500249875,6,3,3,3,1.9341453303562817,21,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,sample-loader-inlining,13.910933029225577,8.581936297626852,9.28524412724834,39.43956328252817,-1.9293584856879595,0.1452413430038949,-85.47586569961051,-38.30797488854988,-33.25218295752768,183.5148670450021,-2.2784404205830704,-1.554394040399581,0.000999500249875,6,3,3,3,1.9293584856879595,22,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,layout-fsprofile-loader,13.910933029225577,8.581936297626852,9.300157576444928,39.38318352612471,-1.926323083496991,0.1456828786748261,-85.43171213251739,-38.30797488854988,-33.14497627940439,183.10957606786192,-2.271646886545505,-1.5840662972709547,0.000999500249875,6,3,3,3,1.926323083496991,23,strong,0.0032216901258108,True,False,negative_interaction
DestinationPropagation,interleaved-load-combine,13.910933029225577,8.834091821461794,9.225008993777667,39.9659803931597,-1.920167209825625,0.1465824500551639,-85.34175499448361,-36.49533210387694,-33.68518866134441,187.29906404692548,-2.283703007366403,-1.5691335490704683,0.000999500249875,6,3,3,3,1.920167209825625,24,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,ondemand-mds-loading,13.910933029225577,8.581936297626852,9.590613233339896,40.13527071641142,-1.9144862008542176,0.1474175561455669,-85.25824438544332,-38.30797488854988,-31.057009524875788,188.5160228439814,-2.277884932043178,-1.5535992166841337,0.000999500249875,6,3,3,3,1.9144862008542176,25,strong,0.0032216901258108,True,False,negative_interaction
DeadStoreElimination-initial,cgp,13.910933029225577,8.58137778244591,9.091295648435162,38.03108355485374,-1.91416697854986,0.1474646226294785,-85.25353773705216,-38.31198982543275,-34.646399135592155,173.38988315847664,-2.28381841979129,-1.5442855715882835,0.000999500249875,6,3,3,3,1.91416697854986,26,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,expand-reductions,13.910933029225577,8.581936297626852,9.339921442449477,38.99941560989292,-1.9122643364042475,0.1477454621192839,-85.2254537880716,-38.30797488854988,-32.859130132916526,180.3508256991733,-2.272665042903067,-1.555251097249876,0.000999500249875,6,3,3,3,1.9122643364042475,27,strong,0.0032216901258108,True,False,negative_interaction
DestinationPropagation,loop-idiom-vectorize-bytecmp,13.910933029225577,8.834091821461794,8.868978008398697,38.11128269560714,-1.91200757386472,0.1477834024899658,-85.22165975100341,-36.49533210387694,-36.24454959443915,173.96640193392412,-2.3017133373019893,-1.514681577327342,0.000999500249875,6,3,3,3,1.91200757386472,28,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,loop-idiom-vectorize-bytecmp,13.910933029225577,8.581936297626852,8.868978008398697,36.80128280360325,-1.9059886486542363,0.1486755820244015,-85.13244179755985,-38.30797488854988,-36.24454959443915,164.54934925132036,-2.27547338958252,-1.5689803029903535,0.000999500249875,6,3,3,3,1.9059886486542363,29,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,whole-program-visibility,13.910933029225577,8.581936297626852,8.783684574489987,36.41835873243208,-1.905192549332764,0.1487939896802443,-85.12060103197557,-38.30797488854988,-36.85768915689347,161.7966649391561,-2.272101826294437,-1.5419790281220045,0.000999500249875,6,3,3,3,1.905192549332764,30,strong,0.0032216901258108,True,False,negative_interaction
ForceInline,lftr,13.910933029225577,8.581936297626852,8.67654948427037,35.94829158028154,-1.904473152228285,0.1489010701576587,-85.10989298423412,-38.30797488854988,-37.62783944080712,158.4175447093126,-2.2624044259829,-1.5508696071450263,0.000999500249875,6,3,3,3,1.904473152228285,31,strong,0.0032216901258108,True,False,negative_interaction
