mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
JumpThreading,i2p-p2i-opt,3.7453318952373547,3.8840062683937884,3.820151875811659,3.796678511300509,0.04252049908803879,1.0434374456705087,4.343744567050867,3.702592374597713,1.9976862576437382,1.3709496914932506,0.023058358858679923,0.0623617265477565,3.999920001599968e-05,10,10,10,10,0.04252049908803879,1,extreme,0.0066398672026559465,True,False,positive_interaction
Inline,postra-machine-sink,3.7453318952373547,3.886419072246136,3.8406295423742347,3.8207346335839167,0.042171529986310574,1.0430733817696043,4.307338176960429,3.7670140045049427,2.544437977794778,2.0132458338991466,0.02605962243526942,0.058044424167551664,3.999920001599968e-05,10,10,10,10,0.042171529986310574,2,extreme,0.0066398672026559465,True,False,positive_interaction
Inline,licm-promotion,3.7453318952373547,3.886419072246136,3.8071469599481356,3.803626524937464,0.03790306899957807,1.038630552500529,3.8630552500529047,3.7670140045049427,1.6504562596811878,1.5564609847858568,0.021347892426003164,0.05409246659752831,7.999840003199936e-05,10,10,10,10,0.03790306899957807,3,extreme,0.012072485823010813,True,False,positive_interaction
JumpThreading,licm-promotion,3.7453318952373547,3.8840062683937884,3.8071469599481356,3.8042566217448215,0.03711640350727352,1.0378138189757828,3.7813818975782842,3.702592374597713,1.6504562596811878,1.5732845087079506,0.017150541783709776,0.05670854608966752,3.999920001599968e-05,10,10,10,10,0.03711640350727352,4,extreme,0.0066398672026559465,True,False,positive_interaction
Inline,i2p-p2i-opt,3.7453318952373547,3.886419072246136,3.820151875811659,3.8226131494509845,0.03633387069086824,1.037002013278841,3.7002013278840895,3.7670140045049427,1.9976862576437382,2.063402026183647,0.017835463793995938,0.0549433418128255,3.999920001599968e-05,10,10,10,10,0.03633387069086824,5,extreme,0.0066398672026559465,True,False,positive_interaction
GVN,postra-machine-sink,3.7453318952373547,3.8136332059689693,3.8406295423742347,3.7727243809670807,0.0359110040586299,1.0365635924331678,3.6563592433167758,1.8236384022059182,2.544437977794778,0.7313767243046998,0.020895574375789417,0.05049676974775099,3.999920001599968e-05,10,10,10,10,0.0359110040586299,6,extreme,0.0066398672026559465,True,False,positive_interaction
ReferencePropagation,postra-machine-sink,3.7453318952373547,3.791363548063905,3.8406295423742347,3.75090042250833,0.0358558656620247,1.036506439554375,3.6506439554375048,1.229040686222893,2.544437977794778,0.14867914050704645,0.021554520871970073,0.0497868545599233,3.999920001599968e-05,10,10,10,10,0.0358558656620247,7,extreme,0.0066398672026559465,True,False,positive_interaction
Inline,copyprop,3.7453318952373547,3.886419072246136,3.8228237324279943,3.8312175462224065,0.03478464674031234,1.035396708732294,3.5396708732293947,3.7670140045049427,2.069024571338529,2.2931385892466905,0.017423357256944116,0.05138826543947983,0.0001999960000799984,10,10,10,10,0.03478464674031234,8,extreme,0.020749585008299834,True,False,positive_interaction
Inline,cgp-select2branch,3.7453318952373547,3.886419072246136,3.773664692090523,3.7845206308090176,0.034105317110558975,1.0346935719273767,3.4693571927376654,3.7670140045049427,0.7564829405158235,1.0463354561847105,0.021150081244869955,0.046869288120939455,3.999920001599968e-05,10,10,10,10,0.034105317110558975,9,extreme,0.0066398672026559465,True,False,positive_interaction
EarlyOtherwiseBranch,block-placement,3.7453318952373547,3.7383974422620687,3.7860852328139583,3.905810647328779,-0.03298599710988337,0.9675521080200239,-3.2447891979976107,-0.18514922493527708,1.0881101786580416,4.284767187001304,-0.050954022663092596,-0.014929754921737901,0.0003599928001439971,10,10,10,10,0.03298599710988337,10,extreme,0.03515223813170795,True,False,negative_interaction
