mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DeadStoreElimination-initial,lftr,13.910933029225575,8.58137778244591,8.67654948427037,44.90327941060993,-2.126967503916131,0.1191982144491964,-88.08017855508035,-38.31198982543275,-37.62783944080712,222.7912844973973,-2.49358151367939,-1.7450417188599177,0.0009995002498750624,6,3,3,3,2.126967503916131,1,extreme,0.003221690125810881,True,False,negative_interaction
DeadStoreElimination-initial,advanced-peeling,13.910933029225575,8.58137778244591,8.882646671192484,44.24351091206863,-2.088689752012787,0.1238493028545207,-87.61506971454793,-38.31198982543275,-36.14629117593429,218.0484789849619,-2.444480082700737,-1.7341351750449767,0.0009995002498750624,6,3,3,3,2.088689752012787,2,extreme,0.003221690125810881,True,False,negative_interaction
ForceInline,last-run-tracking,13.910933029225575,8.581936297626852,8.829790563863092,42.81785648130079,-2.061839443536472,0.1272197410051524,-87.27802589948476,-38.30797488854988,-36.526252083073615,207.8000331921982,-2.4274510659534916,-1.6991288913833111,0.0009995002498750624,6,3,3,3,2.061839443536472,3,extreme,0.003221690125810881,True,False,negative_interaction
ForceInline,ra-fsprofile-loader,13.910933029225575,8.581936297626852,9.162723724123492,43.427470900085204,-2.038964242713187,0.13016345883425534,-86.98365411657447,-38.30797488854988,-34.132931954503256,212.18230156703459,-2.4058851343926104,-1.6835190700233431,0.0009995002498750624,6,3,3,3,2.038964242713187,4,extreme,0.003221690125810881,True,False,negative_interaction
ForceInline,nounwind-inference,13.910933029225575,8.581936297626852,8.955219789010709,41.47607209734614,-2.0158956221352953,0.13320105211639685,-86.67989478836031,-38.30797488854988,-35.62459275595228,198.1544948150406,-2.389588793466893,-1.6441270826499113,0.0009995002498750624,6,3,3,3,2.0158956221352953,5,extreme,0.003221690125810881,True,False,negative_interaction
ForceInline,promote-alloca-to-vector,13.910933029225575,8.581936297626852,8.57309355787084,39.60121913562513,-2.013246777399757,0.1335543487294284,-86.64456512705716,-38.30797488854988,-38.37154172290551,184.67694476299076,-2.368024144922507,-1.640213173371911,0.0009995002498750624,6,3,3,3,2.013246777399757,6,extreme,0.003221690125810881,True,False,negative_interaction
DeadStoreElimination-initial,nofree-inference,13.910933029225575,8.58137778244591,8.89841079921425,40.93882524518928,-2.0092867848866045,0.13408427150310379,-86.59157284968963,-38.31198982543275,-36.03296931615214,194.29244723686483,-2.3660955517982067,-1.6414918761561135,0.0009995002498750624,6,3,3,3,2.0092867848866045,7,extreme,0.003221690125810881,True,False,negative_interaction
DeadStoreElimination-initial,lsr,13.910933029225575,8.58137778244591,9.026266901172004,41.26873898974838,-2.003047015460111,0.1349235421455879,-86.50764578544121,-38.31198982543275,-35.11386416562673,196.66406202263067,-2.346620873901544,-1.6578046185906021,0.0009995002498750624,6,3,3,3,2.003047015460111,8,extreme,0.003221690125810881,True,False,negative_interaction
DeadStoreElimination-initial,nounwind-inference,13.910933029225575,8.58137778244591,8.955219789010709,40.55365470967896,-1.9934699245657819,0.1362219246119216,-86.37780753880784,-38.31198982543275,-35.62459275595228,191.5236140126583,-2.3509635498002734,-1.6244045171430759,0.0009995002498750624,6,3,3,3,1.9934699245657819,9,extreme,0.003221690125810881,True,False,negative_interaction
DeadStoreElimination-initial,layout-fsprofile-loader,13.910933029225575,8.58137778244591,9.300157576444928,42.10945401456376,-1.9933215311964099,0.13624214054221498,-86.3757859457785,-38.31198982543275,-33.14497627940439,202.70761800157987,-2.3391261432648145,-1.6449275450831895,0.0009995002498750624,6,3,3,3,1.9933215311964099,10,extreme,0.003221690125810881,True,False,negative_interaction
