ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,1,None,All,43157752,8.680134,49.333731,Success
EXP_000_ALL_OFF,2,None,All,43157752,9.204407,54.826938,Success
EXP_000_ALL_OFF,3,None,All,43157752,8.821590,48.805557,Success
EXP_ABL_001_CopyProp,1,None,CopyProp,43598328,8.539124,47.451793,Success
EXP_ABL_001_CopyProp,2,None,CopyProp,43598328,8.950033,47.825045,Success
EXP_ABL_001_CopyProp,3,None,CopyProp,43598328,8.747376,47.096188,Success
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,43870920,8.452950,46.268240,Success
EXP_ABL_002_DataflowConstProp,2,None,DataflowConstProp,43870920,12.731347,48.468031,Success
EXP_ABL_002_DataflowConstProp,3,None,DataflowConstProp,43870920,8.763721,45.981602,Success
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,43857792,11.149314,46.088670,Success
EXP_ABL_003_DeadStoreElimination-final,2,None,DeadStoreElimination-final,43857792,8.793094,45.813269,Success
EXP_ABL_003_DeadStoreElimination-final,3,None,DeadStoreElimination-final,43857792,9.344195,46.243481,Success
EXP_ABL_004_DeadStoreElimination-initial,1,None,DeadStoreElimination-initial,43768120,8.647332,46.317456,Success
EXP_ABL_004_DeadStoreElimination-initial,2,None,DeadStoreElimination-initial,43768120,8.649051,47.794489,Success
EXP_ABL_004_DeadStoreElimination-initial,3,None,DeadStoreElimination-initial,43768120,8.449295,45.543944,Success
EXP_ABL_005_DestinationPropagation,1,None,DestinationPropagation,43829600,8.516032,46.361894,Success
EXP_ABL_005_DestinationPropagation,2,None,DestinationPropagation,43829600,9.007026,45.402348,Success
EXP_ABL_005_DestinationPropagation,3,None,DestinationPropagation,43829600,8.988082,46.193953,Success
EXP_ABL_006_EarlyOtherwiseBranch,1,None,EarlyOtherwiseBranch,43870816,8.452515,46.974705,Success
EXP_ABL_006_EarlyOtherwiseBranch,2,None,EarlyOtherwiseBranch,43870816,9.092446,47.257362,Success
EXP_ABL_006_EarlyOtherwiseBranch,3,None,EarlyOtherwiseBranch,43870816,8.744648,45.849430,Success
EXP_ABL_007_EnumSizeOpt,1,None,EnumSizeOpt,43870920,8.271204,46.202034,Success
EXP_ABL_007_EnumSizeOpt,2,None,EnumSizeOpt,43870920,8.414801,46.950496,Success
EXP_ABL_007_EnumSizeOpt,3,None,EnumSizeOpt,43870920,8.760225,46.092845,Success
EXP_ABL_008_ForceInline,1,None,ForceInline,43870920,8.985994,44.903853,Success
EXP_ABL_008_ForceInline,2,None,ForceInline,43870920,8.694087,47.214748,Success
EXP_ABL_008_ForceInline,3,None,ForceInline,43870920,8.090321,46.400979,Success
EXP_ABL_009_GVN,1,None,GVN,43844864,8.482432,48.743658,Success
EXP_ABL_009_GVN,2,None,GVN,43844864,8.576058,45.899796,Success
EXP_ABL_009_GVN,3,None,GVN,43844864,8.654664,45.569430,Success
EXP_ABL_010_ImpossiblePredicates,1,None,ImpossiblePredicates,43870920,8.675023,46.564494,Success
EXP_ABL_010_ImpossiblePredicates,2,None,ImpossiblePredicates,43870920,8.359952,49.498757,Success
EXP_ABL_010_ImpossiblePredicates,3,None,ImpossiblePredicates,43870920,9.006998,46.532823,Success
EXP_ABL_011_Inline,1,None,Inline,43210432,9.458223,51.217493,Success
EXP_ABL_011_Inline,2,None,Inline,43210432,10.167399,48.373703,Success
EXP_ABL_011_Inline,3,None,Inline,43210432,8.989945,48.478541,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,1,None,InstSimplify-after-simplifycfg,43830032,9.270094,46.929425,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,2,None,InstSimplify-after-simplifycfg,43830032,8.734419,50.332871,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,3,None,InstSimplify-after-simplifycfg,43830032,9.008590,46.768214,Success
EXP_ABL_013_InstSimplify-before-inline,1,None,InstSimplify-before-inline,43879536,8.689032,47.334225,Success
EXP_ABL_013_InstSimplify-before-inline,2,None,InstSimplify-before-inline,43879536,8.688424,47.500084,Success
EXP_ABL_013_InstSimplify-before-inline,3,None,InstSimplify-before-inline,43879536,8.810854,47.785081,Success
EXP_ABL_014_JumpThreading,1,None,JumpThreading,43404024,8.564597,47.874074,Success
EXP_ABL_014_JumpThreading,2,None,JumpThreading,43404024,9.131085,48.326991,Success
EXP_ABL_014_JumpThreading,3,None,JumpThreading,43404024,8.599006,50.029727,Success
EXP_ABL_015_MatchBranchSimplification,1,None,MatchBranchSimplification,43796920,8.615075,49.894976,Success
EXP_ABL_015_MatchBranchSimplification,2,None,MatchBranchSimplification,43796920,8.554308,47.749419,Success
EXP_ABL_015_MatchBranchSimplification,3,None,MatchBranchSimplification,43796920,21.836848,47.693701,Success
EXP_ABL_016_ReferencePropagation,1,None,ReferencePropagation,43600296,9.676645,55.965354,Success
EXP_ABL_016_ReferencePropagation,2,None,ReferencePropagation,43600296,8.791896,52.085820,Success
EXP_ABL_016_ReferencePropagation,3,None,ReferencePropagation,43600296,9.129058,49.241269,Success
EXP_ABL_017_ScalarReplacementOfAggregates,1,None,ScalarReplacementOfAggregates,43744264,8.510637,49.417508,Success
EXP_ABL_017_ScalarReplacementOfAggregates,2,None,ScalarReplacementOfAggregates,43744264,8.809483,48.251575,Success
