Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
regex-cli,EXP_000_ALL_OFF,10,3.934608,3.938871,0.038194,41.031101,40.821994,0.352772,33083840.000000,33083840,4778.000000,4778,12367.000000,12367,11728.000000,11728,17011.000000,17011,5708.000000,5708,1153.000000,1153
regex-cli,EXP_001_DISABLE_ALL,10,3.826443,3.823180,0.035053,38.348913,38.436507,0.284174,35029544.000000,35029544,4624.000000,4624,12112.000000,12112,11590.000000,11590,16898.000000,16898,5785.000000,5785,1134.000000,1134
regex-cli,EXP_ABL_001_CopyProp,10,3.768797,3.739303,0.087771,40.274752,40.218585,0.382047,34477480.000000,34477480,4616.000000,4616,12267.000000,12267,11851.000000,11851,16989.000000,16989,5912.000000,5912,1131.000000,1131
regex-cli,EXP_ABL_001_disable-binop-extract-shuffle,10,3.728939,3.699959,0.058057,40.690874,40.713140,0.367405,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_002_DataflowConstProp,10,3.751559,3.770828,0.115248,40.167101,40.075136,0.234092,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_002_disable-expand-reductions,10,3.789661,3.776553,0.077876,40.654655,40.535409,0.587327,34529208.000000,34529208,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_003_DeadStoreElimination-final,10,3.752835,3.741097,0.084227,40.289717,40.204844,0.316784,34559432.000000,34559432,4625.000000,4625,12284.000000,12284,11877.000000,11877,17021.000000,17021,5927.000000,5927,1131.000000,1131
regex-cli,EXP_ABL_003_disable-interleaved-load-combine,10,3.725947,3.731780,0.068947,40.574903,40.474708,0.568816,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_004_DeadStoreElimination-initial,10,3.778944,3.756634,0.085180,40.243573,40.262415,0.394560,34501952.000000,34501952,4636.000000,4636,12361.000000,12361,11953.000000,11953,17103.000000,17103,5937.000000,5937,1131.000000,1131
regex-cli,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,3.732340,3.719175,0.060945,40.567641,40.539297,0.388356,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_005_DestinationPropagation,10,3.790049,3.768777,0.068408,40.252432,40.212701,0.450402,34511088.000000,34511088,4651.000000,4651,12306.000000,12306,11866.000000,11866,17051.000000,17051,5946.000000,5946,1131.000000,1131
