Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
regex-cli,EXP_DBL_1608,10,3.795436,3.762183,0.197138,0.052400,40.577687,40.535904,0.198074,0.004886,34529072.000000,34529072
regex-cli,EXP_DBL_1365,10,3.841570,3.845759,0.174202,0.045297,41.943965,41.856226,0.750567,0.017932,34520192.000000,34520192
regex-cli,EXP_DBL_0299,10,3.860306,3.863021,0.168226,0.043548,41.221387,41.375809,0.469852,0.011356,34402448.000000,34402448
regex-cli,EXP_DBL_1071,10,3.778052,3.787491,0.157156,0.041493,40.954716,40.988493,0.253205,0.006177,34533336.000000,34533336
regex-cli,EXP_DBL_1659,10,3.834298,3.831152,0.152134,0.039710,41.212870,41.138092,0.541970,0.013174,34640816.000000,34640816
regex-cli,EXP_DBL_1039,10,3.731682,3.703715,0.144014,0.038884,40.877485,40.805681,0.323012,0.007916,34533336.000000,34533336
regex-cli,EXP_DBL_1024,10,3.735625,3.695059,0.141465,0.038285,41.015467,41.039742,0.190842,0.004650,34533336.000000,34533336
regex-cli,EXP_DBL_1656,10,3.754476,3.736721,0.139411,0.037308,41.316986,41.333413,0.408093,0.009873,34529072.000000,34529072
regex-cli,EXP_DBL_0806,10,3.746473,3.717903,0.134440,0.036160,40.451698,40.461823,0.541055,0.013372,34529072.000000,34529072
regex-cli,EXP_DBL_0823,10,3.844551,3.873088,0.137446,0.035487,40.597025,40.586318,0.424933,0.010470,34545584.000000,34545584
regex-cli,EXP_DBL_0209,10,3.792710,3.794251,0.131310,0.034608,40.680674,40.684608,0.374088,0.009195,34559432.000000,34559432
regex-cli,EXP_DBL_0535,10,3.746034,3.711282,0.128370,0.034589,40.446785,40.331637,0.427278,0.010594,34530320.000000,34530320
regex-cli,EXP_DBL_0455,10,3.807699,3.834054,0.132544,0.034570,40.055053,40.018443,0.344475,0.008608,34527224.000000,34527224
regex-cli,EXP_ABL_035_disable-memop-opt,10,3.746238,3.728599,0.128783,0.034539,41.349860,41.382925,0.381476,0.009218,34529072.000000,34529072
regex-cli,EXP_ABL_014_JumpThreading,10,3.884688,3.879126,0.132583,0.034179,40.577572,40.650450,0.292306,0.007191,34313032.000000,34313032
regex-cli,EXP_DBL_1069,10,3.738599,3.710320,0.125279,0.033765,40.696502,40.779374,0.495540,0.012152,34533336.000000,34533336
regex-cli,EXP_DBL_0481,10,3.742848,3.764647,0.125723,0.033396,40.281074,40.369606,0.454319,0.011254,34528976.000000,34528976
regex-cli,EXP_DBL_1127,10,3.896613,3.927931,0.130523,0.033229,40.494706,40.460405,0.474260,0.011722,34313032.000000,34313032
regex-cli,EXP_DBL_0805,10,3.751151,3.764559,0.125015,0.033208,40.445455,40.446990,0.160062,0.003957,34529072.000000,34529072
regex-cli,EXP_DBL_1004,10,3.741069,3.721524,0.123253,0.033119,40.541110,40.560741,0.356536,0.008790,34533800.000000,34533800
regex-cli,EXP_DBL_1551,10,3.790536,3.786487,0.125344,0.033103,43.340203,43.513729,0.559607,0.012860,34505240.000000,34505240
regex-cli,EXP_DBL_0700,10,3.815772,3.854510,0.127266,0.033017,40.619459,40.652288,0.408006,0.010036,34537040.000000,34537040
regex-cli,EXP_DBL_1547,10,3.802326,3.794577,0.125279,0.033015,42.623074,42.632064,0.342172,0.008026,34505240.000000,34505240
regex-cli,EXP_DBL_1360,10,3.754733,3.722421,0.122785,0.032985,41.820194,41.903866,0.342427,0.008172,34510200.000000,34510200
regex-cli,EXP_DBL_0712,10,3.808463,3.778078,0.123887,0.032791,40.398826,40.431539,0.344594,0.008523,34537040.000000,34537040
regex-cli,EXP_DBL_1061,10,3.778646,3.766393,0.123066,0.032675,40.589438,40.541315,0.284135,0.007009,34533336.000000,34533336
regex-cli,EXP_DBL_1616,10,3.753009,3.752705,0.122495,0.032642,40.474659,40.448511,0.582109,0.014391,34529072.000000,34529072
regex-cli,EXP_DBL_1349,10,3.811918,3.820168,0.124341,0.032549,41.235209,41.400303,0.635799,0.015357,34518944.000000,34518944
regex-cli,EXP_DBL_1397,10,3.802841,3.784694,0.122910,0.032476,42.187458,42.198320,0.211180,0.005004,34518944.000000,34518944
regex-cli,EXP_DBL_0777,10,3.766565,3.748353,0.121340,0.032372,40.724026,40.640401,0.395325,0.009727,34529072.000000,34529072
regex-cli,EXP_DBL_0952,10,3.753429,3.761567,0.121452,0.032288,40.734257,40.751288,0.199969,0.004907,34541128.000000,34541128
regex-cli,EXP_DBL_1631,10,3.783062,3.758769,0.121306,0.032273,41.004576,41.040726,0.632650,0.015415,34591528.000000,34591528
regex-cli,EXP_DBL_1225,10,3.785212,3.816496,0.122955,0.032217,42.585140,42.569201,0.466910,0.010968,34528624.000000,34528624
regex-cli,EXP_DBL_0785,10,3.781790,3.769991,0.121245,0.032161,40.581771,40.686738,0.438724,0.010783,34529160.000000,34529160
regex-cli,EXP_DBL_0443,10,3.753397,3.735218,0.120042,0.032138,40.667197,40.610875,0.440771,0.010854,34528976.000000,34528976
regex-cli,EXP_DBL_0658,10,3.751898,3.745145,0.120332,0.032130,40.179935,40.132672,0.143759,0.003582,34529072.000000,34529072
regex-cli,EXP_DBL_0088,10,3.761704,3.761545,0.120821,0.032120,41.942569,41.973449,0.288298,0.006869,34529072.000000,34529072
regex-cli,EXP_DBL_0588,10,3.761504,3.800592,0.121145,0.031875,40.352469,40.307423,0.325447,0.008074,34529072.000000,34529072
regex-cli,EXP_DBL_0518,10,3.820882,3.816078,0.121624,0.031871,40.469024,40.482326,0.271751,0.006713,34516280.000000,34516280
regex-cli,EXP_DBL_0970,10,3.761725,3.741870,0.119239,0.031866,40.568224,40.602091,0.262647,0.006469,34541128.000000,34541128
regex-cli,EXP_DBL_0624,10,3.749478,3.760595,0.119513,0.031780,40.398256,40.488249,0.287650,0.007105,34529072.000000,34529072
regex-cli,EXP_DBL_0524,10,3.749378,3.716159,0.118050,0.031767,40.409869,40.370641,0.233523,0.005784,34529072.000000,34529072
regex-cli,EXP_DBL_0533,10,3.742167,3.700862,0.117364,0.031713,40.513753,40.609950,0.458674,0.011295,34529072.000000,34529072
regex-cli,EXP_DBL_1027,10,3.765027,3.765956,0.119348,0.031691,41.057931,41.061617,0.536529,0.013066,34533336.000000,34533336
regex-cli,EXP_DBL_0600,10,3.767266,3.801680,0.120341,0.031655,40.360138,40.279598,0.383354,0.009517,34529488.000000,34529488
