mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
DataflowConstProp,interleaved-load-combine,4.108835514399211,3.27963386626367,3.2110416044997714,5.9361132118324536,-0.8398670743735461,-1.1271050869954296,-0.5526290617516627,0.0438207453905001,0.996961534777526,False
SingleUseConsts,cgp,4.108835514399211,3.3350177590079357,3.788003964976191,6.144646386467902,-0.6924036285384527,-0.9819090431747804,-0.402898213902125,0.0542280515284179,0.996961534777526,False
GVN,auto-upgrade-debug-info,4.108835514399211,3.1696572305399315,3.1769351784150017,4.856700823639917,-0.6839586184944824,-1.1112074701952763,-0.2567097667936884,0.0559156171222486,0.996961534777526,False
ForceInline,lftr,4.108835514399211,3.322300705332081,3.3538688168669126,5.700266251832091,-0.7428804664768462,-1.0088909585017072,-0.4768699744519853,0.0575099008147121,0.996961534777526,False
SingleUseConsts,post-ra,4.108835514399211,3.3350177590079357,3.205264897406069,5.373082463903302,-0.7252686753468436,-0.9868523683569972,-0.4636849823366901,0.0607886658825677,0.996961534777526,False
Inline,advanced-peeling,4.108835514399211,3.263631681580539,3.2387822513156244,4.988385693971548,-0.6622140088562136,-1.1185969381003078,-0.2058310796121195,0.0689560689177928,0.996961534777526,False
Inline,whole-program-visibility,4.108835514399211,3.263631681580539,3.199988601171724,4.804167192482431,-0.6366355291626642,-1.0940813748295926,-0.1791896834957358,0.0768021542341544,0.996961534777526,False
GVN,layout-fsprofile-loader,4.108835514399211,3.1696572305399315,3.136461620141629,4.763119156142882,-0.6773236522435577,-1.175473255822831,-0.1791740486642847,0.0785307624271634,0.996961534777526,False
GVN,constant-hoisting,4.108835514399211,3.1696572305399315,3.2528165269980054,4.699734828222744,-0.6275010485226455,-1.0828617219538557,-0.1721403750914353,0.0789848498137446,0.996961534777526,False
DeadStoreElimination-initial,cgp-delete-phis,4.108835514399211,3.3407433705260714,3.3467707948934327,5.051724929866027,-0.6186801263950525,-1.074224788575443,-0.163135464214662,0.0819601400146291,0.996961534777526,False
CopyProp,auto-upgrade-debug-info,4.108835514399211,3.321777688295229,3.1769351784150017,4.974282049923303,-0.6610036675628934,-1.1597691660426257,-0.162238169083161,0.0840018753034001,0.996961534777526,False
