mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
DataflowConstProp,interleaved-load-combine,4.108835514399211,3.27963386626367,3.2110416044997714,5.9361132118324536,-0.8398670743735461,-1.1271050869954296,-0.5526290617516627,0.04382074539050013,0.9969615347775261,False
ForceInline,lftr,4.108835514399211,3.322300705332081,3.3538688168669126,5.700266251832091,-0.7428804664768462,-1.0088909585017072,-0.47686997445198537,0.0575099008147121,0.9969615347775261,False
SingleUseConsts,post-ra,4.108835514399211,3.3350177590079353,3.205264897406069,5.373082463903302,-0.7252686753468436,-0.9868523683569971,-0.4636849823366901,0.06078866588256776,0.9969615347775261,False
ImpossiblePredicates,gep-const-evaluation,4.108835514399211,3.23896181664822,3.1882411755666733,5.065570517465815,-0.7008841684551506,-1.233260942352452,-0.16850739455784902,0.08448126059183993,0.9969615347775261,False
SingleUseConsts,cgp,4.108835514399211,3.3350177590079353,3.7880039649761907,6.144646386467902,-0.6924036285384527,-0.9819090431747803,-0.40289821390212505,0.0542280515284179,0.9969615347775261,False
GVN,auto-upgrade-debug-info,4.108835514399211,3.1696572305399315,3.1769351784150017,4.856700823639917,-0.6839586184944824,-1.1112074701952763,-0.25670976679368845,0.05591561712224862,0.9969615347775261,False
GVN,layout-fsprofile-loader,4.108835514399211,3.1696572305399315,3.136461620141629,4.763119156142882,-0.6773236522435577,-1.1754732558228307,-0.1791740486642847,0.07853076242716345,0.9969615347775261,False
Inline,advanced-peeling,4.108835514399211,3.263631681580539,3.2387822513156244,4.988385693971548,-0.6622140088562136,-1.1185969381003078,-0.2058310796121195,0.0689560689177928,0.9969615347775261,False
CopyProp,auto-upgrade-debug-info,4.108835514399211,3.321777688295229,3.1769351784150017,4.9742820499233025,-0.6610036675628934,-1.1597691660426257,-0.16223816908316102,0.0840018753034001,0.9969615347775261,False
Inline,whole-program-visibility,4.108835514399211,3.263631681580539,3.1999886011717233,4.804167192482431,-0.6366355291626642,-1.0940813748295926,-0.17918968349573583,0.07680215423415443,0.9969615347775261,False
DataflowConstProp,adv-copy-opt,4.108835514399211,3.27963386626367,3.2347678713918726,4.861086468307219,-0.6327126645716787,-1.131480368222434,-0.13394496092092356,0.09281674004212861,0.9969615347775261,False
UnreachableEnumBranching,loop-level-heuristics,4.108835514399211,4.657577690348072,4.697813675782951,2.8305209372160074,0.6319922991722686,0.031768387745496285,1.232216210599041,0.13868772516546002,0.9969615347775261,False
DeadStoreElimination-initial,ifcvt-simple-false,4.108835514399211,3.3407433705260714,3.156488132761754,4.808796722636306,-0.6279331422913137,-1.1410359135865713,-0.11483037099605597,0.10094108050607714,0.9969615347775261,False
GVN,constant-hoisting,4.108835514399211,3.1696572305399315,3.2528165269980054,4.699734828222744,-0.6275010485226455,-1.0828617219538557,-0.17214037509143532,0.07898484981374464,0.9969615347775261,False
UnreachableEnumBranching,vp,4.108835514399211,4.657577690348072,4.8597429556872855,2.9663833289698873,0.6189979158364023,0.02432956795799579,1.2136662637148088,0.14343284319662813,0.9969615347775261,False
DeadStoreElimination-initial,cgp-delete-phis,4.108835514399211,3.3407433705260714,3.3467707948934327,5.051724929866027,-0.6186801263950525,-1.074224788575443,-0.16313546421466207,0.08196014001462915,0.9969615347775261,False
ReferencePropagation,vp,4.108835514399211,4.772896698323454,4.8597429556872855,3.0413206695160935,0.6185074312278276,-0.0025098019824759676,1.239524664438131,0.15653364480149773,0.9969615347775261,False
SingleUseConsts,cfi-fixup,4.108835514399211,3.3350177590079353,3.146792596814928,4.6815180359535224,-0.6059003672675691,-1.1155403368451227,-0.0962603976900156,0.10864513929896029,0.9969615347775261,False
ReferencePropagation,loop-level-heuristics,4.108835514399211,4.772896698323454,4.697813675782951,3.014444206763371,0.5934954909685279,-0.03124428364838372,1.2182352655854396,0.1703790743359332,0.9969615347775261,False
CopyProp,machine-dce,4.108835514399211,3.321777688295229,3.2405084188460798,4.739837373560698,-0.5929121594763846,-1.0622276679879372,-0.12359665096483202,0.09653825166792175,0.9969615347775261,False
GVN,ssc,4.108835514399211,3.1696572305399315,3.2878608007194385,4.556298985087604,-0.5857897328092958,-1.054183184438652,-0.11739628117993955,0.09892078046253364,0.9969615347775261,False
ReferencePropagation,global-outlining,4.108835514399211,4.772896698323454,4.577913093468647,2.965493480750927,0.5840135202379382,-0.041023044547037535,1.209050085022914,0.17569469257562315,0.9969615347775261,False
CopyProp,cgp-ext-ld-promotion,4.108835514399211,3.321777688295229,3.2370019289209844,4.679590902294554,-0.5812026918514059,-1.03045650913208,-0.13194887457073184,0.09331154104020939,0.9969615347775261,False
