Source,Target,Type,Weight,Stability
DataflowConstProp,interleaved-load-combine,Interaction,-0.8398670743735461,0.5
ForceInline,lftr,Interaction,-0.7428804664768462,0.5
SingleUseConsts,post-ra,Interaction,-0.7252686753468436,0.5
ImpossiblePredicates,gep-const-evaluation,Interaction,-0.7008841684551506,0.5
SingleUseConsts,cgp,Interaction,-0.6924036285384527,0.5
GVN,auto-upgrade-debug-info,Interaction,-0.6839586184944824,0.5
GVN,layout-fsprofile-loader,Interaction,-0.6773236522435577,0.5
Inline,advanced-peeling,Interaction,-0.6622140088562136,0.5
CopyProp,auto-upgrade-debug-info,Interaction,-0.6610036675628934,0.5
Inline,whole-program-visibility,Interaction,-0.6366355291626642,0.5
DataflowConstProp,adv-copy-opt,Interaction,-0.6327126645716787,0.5
UnreachableEnumBranching,loop-level-heuristics,Interaction,0.6319922991722686,0.5
DeadStoreElimination-initial,ifcvt-simple-false,Interaction,-0.6279331422913137,0.5
GVN,constant-hoisting,Interaction,-0.6275010485226455,0.5
UnreachableEnumBranching,vp,Interaction,0.6189979158364023,0.5
DeadStoreElimination-initial,cgp-delete-phis,Interaction,-0.6186801263950525,0.5
ReferencePropagation,vp,Interaction,0.6185074312278276,0.5
SingleUseConsts,cfi-fixup,Interaction,-0.6059003672675691,0.5
ReferencePropagation,loop-level-heuristics,Interaction,0.5934954909685279,0.5
CopyProp,machine-dce,Interaction,-0.5929121594763846,0.5
GVN,ssc,Interaction,-0.5857897328092958,0.5
ReferencePropagation,global-outlining,Interaction,0.5840135202379382,0.5
CopyProp,cgp-ext-ld-promotion,Interaction,-0.5812026918514059,0.5
ReferencePropagation,early-ifcvt,Interaction,0.5774823622105012,0.5
DeadStoreElimination-final,vp,Interaction,0.5738777937244952,0.5
SingleUseConsts,sample-loader-inlining,Interaction,-0.5593480827584705,0.5
SingleUseConsts,ondemand-mds-loading,Interaction,-0.5408897303092943,0.5
SingleUseConsts,strictnode-mutation,Interaction,-0.5401158422342445,0.5
SingleUseConsts,partial-libcall-inlining,Interaction,-0.5313224250952611,0.5
SingleUseConsts,nofree-inference,Interaction,-0.5304370837384229,0.5
JumpThreading,vp,Interaction,0.5263334440736571,0.5
InstSimplify-before-inline,ifcvt-triangle,Interaction,-0.5215737529535538,0.5
EnumSizeOpt,vp,Interaction,0.520126377136946,0.5
ReferencePropagation,early-taildup,Interaction,0.5181137447937256,0.5
SingleUseConsts,last-run-tracking,Interaction,-0.5129537812805081,0.5
JumpThreading,early-ifcvt,Interaction,0.5058053664134212,0.5
Inline,auto-upgrade-debug-info,Interaction,-0.5055310239925201,0.5
DeadStoreElimination-initial,constant-hoisting,Interaction,-0.5055034487449079,0.5
InstSimplify-before-inline,copyprop,Interaction,-0.502501106511617,0.5
GVN,post-ra,Interaction,-0.5011152685479368,0.5
GVN,cfi-fixup,Interaction,-0.490584396313557,0.5
UnreachablePropagation,vector-combine,Interaction,-0.48796188883622515,0.5
InstSimplify-before-inline,cleanups,Interaction,-0.4869866999002457,0.5
GVN,bitcode-version-upgrade,Interaction,-0.4840364328624607,0.5
Inline,preinline,Interaction,-0.483432342516964,0.5
MatchBranchSimplification,vp,Interaction,0.48268054808400573,0.5
DataflowConstProp,complex-addr-modes,Interaction,-0.47861904552535317,0.5
CopyProp,postra-machine-licm,Interaction,-0.4774846454571722,0.5
DataflowConstProp,ondemand-mds-loading,Interaction,-0.4752187184953114,0.5
JumpThreading,global-outlining,Interaction,0.4752096553825076,0.5
EarlyOtherwiseBranch,cgp-store-extract,Interaction,-0.47517703246492426,0.5
Inline,post-ra,Interaction,-0.46985735976377274,0.5
DataflowConstProp,preinline,Interaction,-0.46957571168097,0.5
ImpossiblePredicates,promote-alloca-to-vector,Interaction,-0.4682632172328334,0.5
DataflowConstProp,cgdata-for-merging,Interaction,-0.4665523045733413,0.5
ForceInline,cgp-select2branch,Interaction,-0.4663197878532692,0.5
DataflowConstProp,ifcvt-simple-false,Interaction,-0.4649283864952576,0.5
GVN,select-optimize,Interaction,-0.46474339073712856,0.5
EarlyOtherwiseBranch,postra-machine-licm,Interaction,-0.4643374132327527,0.5
GVN,promote-alloca-to-vector,Interaction,-0.46430181236967405,0.5
EarlyOtherwiseBranch,cfi-fixup,Interaction,-0.463920625050424,0.5
GVN,sample-loader-inlining,Interaction,-0.4638588100607064,0.5
Inline,layout-fsprofile-loader,Interaction,-0.4626064081054131,0.5
CopyProp,preinline,Interaction,-0.46252444108526714,0.5
Inline,demotion,Interaction,-0.4622711803562114,0.5
EarlyOtherwiseBranch,copyprop,Interaction,-0.4617466421534844,0.5
MatchBranchSimplification,loop-level-heuristics,Interaction,0.46071128993685373,0.5
DataflowConstProp,cgp-select2branch,Interaction,-0.4599697585900715,0.5
ImpossiblePredicates,cfi-fixup,Interaction,-0.45875799360994574,0.5
DataflowConstProp,auto-upgrade-debug-info,Interaction,-0.4580707056043327,0.5
EnumSizeOpt,early-ifcvt,Interaction,0.4577461386345807,0.5
Inline,icp,Interaction,-0.45720442124545824,0.5
ReferencePropagation,ifcvt-diamond,Interaction,0.4550368349562359,0.5
EarlyOtherwiseBranch,preinline,Interaction,-0.45243551533821247,0.5
CopyProp,lftr,Interaction,-0.45161579209776437,0.5
Inline,ondemand-mds-loading,Interaction,-0.4513239488574978,0.5
Inline,select-optimize,Interaction,-0.4509478789379662,0.5
DestinationPropagation,dfa-sched,Interaction,-0.45086159881873633,0.5
EarlyOtherwiseBranch,select-optimize,Interaction,-0.4496363448488623,0.5
GVN,phi-elim-edge-splitting,Interaction,-0.4496040361098206,0.5
EarlyOtherwiseBranch,constant-hoisting,Interaction,-0.4487855057330645,0.5
Inline,vector-combine,Interaction,-0.44710903963299575,0.5
CopyProp,sample-loader-inlining,Interaction,-0.4467170987978104,0.5
EarlyOtherwiseBranch,ifcvt-simple-false,Interaction,-0.44641778044804914,0.5
GVN,partial-libcall-inlining,Interaction,-0.44533142727156405,0.5
ForceInline,bitcode-version-upgrade,Interaction,-0.44487490584411904,0.5
ReferencePropagation,ifcvt-triangle-false,Interaction,0.44361283077017566,0.5
EnumSizeOpt,loop-level-heuristics,Interaction,0.4427573112180765,0.5
Inline,promote-alloca-to-vector,Interaction,-0.44157558510526007,0.5
EarlyOtherwiseBranch,nofree-inference,Interaction,-0.44133915015793,0.5
ReferencePropagation,machine-sink,Interaction,0.4402728257810462,0.5
GVN,nofree-inference,Interaction,-0.44003004194145356,0.5
Inline,ifcvt-diamond,Interaction,-0.43946032476010766,0.5
EnumSizeOpt,global-outlining,Interaction,0.43746246028076685,0.5
DeadStoreElimination-initial,postra-machine-licm,Interaction,-0.4371220225565151,0.5
Inline,interleaved-load-combine,Interaction,-0.4368111213867938,0.5
EarlyOtherwiseBranch,auto-upgrade-debug-info,Interaction,-0.43596200780491956,0.5
ReferencePropagation,nounwind-inference,Interaction,0.4355663023165719,0.5
Inline,last-run-tracking,Interaction,-0.4348889906617852,0.5
InstSimplify-before-inline,bitcode-version-upgrade,Interaction,-0.43486909130086215,0.5
ReferencePropagation,cgp-branch-opts,Interaction,0.433703555502549,0.5
DataflowConstProp,peephole,Interaction,-0.4334208378919642,0.5
ImpossiblePredicates,postra-machine-licm,Interaction,-0.431397915843724,0.5
UnreachableEnumBranching,ifcvt-diamond,Interaction,0.4310048628634613,0.5
EarlyOtherwiseBranch,ifcvt-triangle-rev,Interaction,-0.4306395042700104,0.5
Inline,non-allocatable-phys-copy-opt,Interaction,-0.4306260822728796,0.5
GVN,copyprop,Interaction,-0.4296722598384377,0.5
MatchBranchSimplification,global-outlining,Interaction,0.4291209513360714,0.5
DataflowConstProp,machine-licm,Interaction,-0.428925101818584,0.5
DataflowConstProp,ifcvt-triangle-rev,Interaction,-0.4285422240741119,0.5
ImpossiblePredicates,auto-upgrade-debug-info,Interaction,-0.427881551586351,0.5
EarlyOtherwiseBranch,loop-idiom-vectorize-bytecmp,Interaction,-0.42747765016503214,0.5
EarlyOtherwiseBranch,ifcvt-simple,Interaction,-0.42741387908226613,0.5
DeadStoreElimination-final,early-taildup,Interaction,0.42475856892195063,0.5
Inline,constant-hoisting,Interaction,-0.4242908460419266,0.5
EarlyOtherwiseBranch,promote-alloca-to-vector,Interaction,-0.42284970487635576,0.5
ImpossiblePredicates,partial-libcall-inlining,Interaction,-0.4227306435848692,0.5
ImpossiblePredicates,preinline,Interaction,-0.42266720258051693,0.5
DataflowConstProp,machine-cse,Interaction,-0.42167990599575456,0.5
EarlyOtherwiseBranch,lsr,Interaction,-0.42144533499509595,0.5
GVN,machine-dce,Interaction,-0.4205432664900688,0.5
Inline,cgp-ext-ld-promotion,Interaction,-0.42004718574592803,0.5
ReferencePropagation,type-promotion,Interaction,0.4194937594935839,0.5
Inline,copyprop,Interaction,-0.41920249769383644,0.5
DataflowConstProp,loop-idiom-vectorize-all,Interaction,-0.4186566190930563,0.5
CopyProp,select-optimize,Interaction,-0.4185712276618423,0.5
ImpossiblePredicates,select-optimize,Interaction,-0.4169676439334986,0.5
DeadStoreElimination-initial,demotion,Interaction,-0.41377138732536345,0.5
ForceInline,adv-copy-opt,Interaction,-0.41375773583693354,0.5
GVN,ondemand-mds-loading,Interaction,-0.4132684997033944,0.5
UnreachablePropagation,binop-extract-shuffle,Interaction,-0.41290325763131586,0.5
GVN,complex-addr-modes,Interaction,-0.4105045477990108,0.5
EarlyOtherwiseBranch,post-ra,Interaction,-0.4103576223876697,0.5
UnreachableEnumBranching,replace-with-vec-lib,Interaction,0.40966657224025727,0.5
ReferencePropagation,replace-with-vec-lib,Interaction,0.4087442874265259,0.5
EarlyOtherwiseBranch,memop-opt,Interaction,-0.40811745233994534,0.5
GVN,cgp,Interaction,-0.40798118678652373,0.5
EarlyOtherwiseBranch,machine-dce,Interaction,-0.40700584682036034,0.5
ForceInline,machine-dce,Interaction,-0.4064852844751814,0.5
ReferencePropagation,cgp-gc-opts,Interaction,0.4049176727874013,0.5
UnreachableEnumBranching,gep-const-evaluation,Interaction,-0.4042901284867044,0.5
ImpossiblePredicates,machine-licm,Interaction,-0.40392848388435443,0.5
EarlyOtherwiseBranch,tail-duplicate,Interaction,-0.40277812658588563,0.5
DeadStoreElimination-final,ifcvt-diamond,Interaction,0.40263768453702076,0.5
DataflowConstProp,spill-fusing,Interaction,-0.4024598806809516,0.5
DeadStoreElimination-initial,ra-fsprofile-loader,Interaction,-0.40225307553740075,0.5
ImpossiblePredicates,demotion,Interaction,-0.4017398022007663,0.5
