ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_000_ALL_OFF,None,None,3,3.933989,63.61371,29890376.0,0.0,0.0,0.0
EXP_ABL_001_CopyProp,CopyProp,None,3,3.316328,63.243801,29528312.0,-15.700628547766657,-0.5814925744780486,-1.2113062746350196
EXP_ABL_002_DataflowConstProp,DataflowConstProp,None,3,3.204417,66.607871,29559272.0,-18.545349262542423,4.706785691323468,-1.1077277850235139
EXP_ABL_003_DeadStoreElimination-final,DeadStoreElimination-final,None,3,5.475365,61.243731,29663664.0,39.1809941512292,-3.725578967175473,-0.7584782473127805
EXP_ABL_004_DeadStoreElimination-initial,DeadStoreElimination-initial,None,3,3.438548,62.032759,29575504.0,-12.593858294977439,-2.4852362800408887,-1.053422680263373
EXP_ABL_005_DestinationPropagation,DestinationPropagation,None,3,3.744442,63.086717,29576624.0,-4.818188357923729,-0.8284267652366092,-1.049675654799391
EXP_ABL_006_EarlyOtherwiseBranch,EarlyOtherwiseBranch,None,3,3.308706,61.458554,29559320.0,-15.894375912083131,-3.3878797510788137,-1.1075671982179147
EXP_ABL_007_EnumSizeOpt,EnumSizeOpt,None,3,4.105699,58.851886,29559272.0,4.364780887796089,-7.48553102782403,-1.1077277850235139
EXP_ABL_008_ForceInline,ForceInline,None,3,3.331639,57.930624,29559272.0,-15.311430713202299,-8.933743999524625,-1.1077277850235139
EXP_ABL_009_GVN,GVN,None,3,3.245355,59.079816,29990752.0,-17.50472611895966,-7.127227762694546,0.3358137749755975
EXP_ABL_010_ImpossiblePredicates,ImpossiblePredicates,None,3,3.181105,58.332953,29559272.0,-19.137928448706894,-8.301287568355932,-1.1077277850235139
EXP_ABL_011_Inline,Inline,None,3,3.271862,59.76671,29174328.0,-16.83093165740931,-6.047438516005425,-2.3955804369941682
EXP_ABL_012_InstSimplify-after-simplifycfg,InstSimplify-after-simplifycfg,None,3,3.346725,62.90894,29601952.0,-14.927952264228491,-1.107890107336919,-0.9649393503781953
EXP_ABL_013_InstSimplify-before-inline,InstSimplify-before-inline,None,3,3.306808,60.81727,29564264.0,-15.94262210697589,-4.395970617025791,-1.0910267572411936
EXP_ABL_014_JumpThreading,JumpThreading,None,3,3.419814,62.522641,29562240.0,-13.070067048992762,-1.7151475680321073,-1.0977981675439614
EXP_ABL_015_MatchBranchSimplification,MatchBranchSimplification,None,3,3.475664,59.960518,29610256.0,-11.650388447959562,-5.742774631443438,-0.9371578330095279
EXP_ABL_016_ReferencePropagation,ReferencePropagation,None,3,5.509118,58.950348,29560240.0,40.03897824828692,-7.330749927963641,-1.1044892844439294
EXP_ABL_017_ScalarReplacementOfAggregates,ScalarReplacementOfAggregates,None,3,3.42157,59.809352,29535224.0,-13.025430421894926,-5.980405796171927,-1.18818177462873
EXP_ABL_018_SingleUseConsts,SingleUseConsts,None,3,3.35942,59.840868,29561272.0,-14.605251819463652,-5.930863016793074,-1.101036668123546
EXP_ABL_019_UnreachableEnumBranching,UnreachableEnumBranching,None,3,5.604298,59.491516,29564544.0,42.458405450549044,-6.480040230321421,-1.0900900008751981
EXP_ABL_020_UnreachablePropagation,UnreachablePropagation,None,3,3.288236,60.825905,29559272.0,-16.414712903366024,-4.382396499119449,-1.1077277850235139
