pass,side,weighted_degree,degree
GVN,MIR,10.812114159573687,23
EarlyOtherwiseBranch,MIR,9.478400982009884,22
DataflowConstProp,MIR,9.233059798139207,20
Inline,MIR,8.936035775096194,19
ReferencePropagation,MIR,8.679351766889585,19
ForceInline,MIR,5.981193211135615,14
ImpossiblePredicates,MIR,5.7165021517001655,13
CopyProp,MIR,5.6434035142123875,12
SingleUseConsts,MIR,5.238639616569067,9
DeadStoreElimination-initial,MIR,4.180880497448153,9
UnreachableEnumBranching,MIR,4.045499858865045,9
vp,LLVM,3.340523510083334,6
DeadStoreElimination-final,MIR,3.3277259519239015,8
auto-upgrade-debug-info,LLVM,3.172407575045499,6
ifcvt-simple-false,LLVM,2.713303785581616,6
select-optimize,LLVM,2.592955757190451,6
post-ra,LLVM,2.4961965183340484,5
cfi-fixup,LLVM,2.3949796000346186,5
constant-hoisting,LLVM,2.3913014876656398,5
lftr,LLVM,2.3471023697098414,5
global-outlining,LLVM,2.3129578857823754,5
preinline,LLVM,2.2906352132019308,5
loop-level-heuristics,LLVM,2.128956391295727,4
ifcvt-diamond,LLVM,2.110245720457115,5
interleaved-load-combine,LLVM,2.0641310304098996,4
InstSimplify-before-inline,MIR,1.9459306506662786,4
early-ifcvt,LLVM,1.9238174877009078,4
cgp,LLVM,1.89181918406463,4
JumpThreading,MIR,1.889454479209875,4
ondemand-mds-loading,LLVM,1.880700897365498,4
EnumSizeOpt,MIR,1.85809228727037,4
machine-dce,LLVM,1.8269465572619952,4
copyprop,LLVM,1.8131225061973755,4
postra-machine-licm,LLVM,1.810341997090164,4
promote-alloca-to-vector,LLVM,1.7969903195841233,4
partial-libcall-inlining,LLVM,1.7912506152286363,4
vector-combine,LLVM,1.7338992928533887,4
cgp-select2branch,LLVM,1.7036537434485948,4
ifcvt-triangle-rev,LLVM,1.6279264517551366,4
sample-loader-inlining,LLVM,1.4699239916169873,3
nofree-inference,LLVM,1.4118062758378065,3
MatchBranchSimplification,MIR,1.3725127893569309,3
bitcode-version-upgrade,LLVM,1.3637804300074419,3
last-run-tracking,LLVM,1.3320575079805974,3
demotion,LLVM,1.2777823698823412,3
UnreachablePropagation,MIR,1.275069692607906,3
peephole,LLVM,1.2170300102723866,3
machine-cse,LLVM,1.208164671411158,3
InstSimplify-after-simplifycfg,MIR,1.1424308068808404,3
layout-fsprofile-loader,LLVM,1.1399300603489708,2
