ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_DBL_1009,InstSimplify-before-inline,lsr,3,2.735451,42.135038,29611528.0,-30.466226519697948,-33.76421843656029,-0.9329022826611482
EXP_DBL_1507,UnreachableEnumBranching,lsr,3,2.739514,36.276694,29613584.0,-30.362947125678293,-42.97346593996797,-0.926023814487981
EXP_DBL_1497,UnreachableEnumBranching,interleaved-load-combine,3,2.740507,37.015158,29564544.0,-30.337705570605305,-41.81260926300321,-1.0900900008751981
EXP_DBL_1498,UnreachableEnumBranching,loop-idiom-vectorize-all,3,2.762149,36.604144,29564544.0,-29.7875769352685,-42.458718411487084,-1.0900900008751981
EXP_DBL_1504,UnreachableEnumBranching,lftr,3,2.793136,37.462374,29558360.0,-28.999903151737332,-41.109590998544185,-1.1107789343298993
EXP_DBL_1503,UnreachableEnumBranching,advanced-peeling,3,2.806206,36.542397,29522496.0,-28.6676703976549,-42.555783965437634,-1.2307640425801267
EXP_DBL_1506,UnreachableEnumBranching,loop-level-heuristics,3,2.807441,36.246277,29564544.0,-28.636277325635636,-43.02128110434056,-1.0900900008751981
EXP_DBL_1088,JumpThreading,advanced-peeling,3,2.894432,42.935384,29520688.0,-26.42501033937817,-32.50608398724111,-1.2368128122576978
EXP_DBL_1374,ScalarReplacementOfAggregates,machine-dce,3,3.019816,42.873007,29522248.0,-23.23781281544,-32.60413989374303,-1.2315937410757227
EXP_DBL_1096,JumpThreading,block-placement,3,3.077594,42.797314,29243376.0,-21.76912543476863,-32.723128394806714,-2.164576317139671
EXP_DBL_1013,InstSimplify-before-inline,block-placement,3,3.126785,42.644052,29254520.0,-20.51871522772433,-32.964054446753686,-2.1272934137730486
EXP_DBL_0867,Inline,adv-copy-opt,3,3.146787,47.623866,29174360.0,-20.010274558469792,-25.135845716277196,-2.395473379123769
EXP_DBL_0865,Inline,memop-opt,3,3.153242,47.170655,29174328.0,-19.846191740749653,-25.84828804985592,-2.3955804369941682
EXP_DBL_1345,ScalarReplacementOfAggregates,block-placement,3,3.165272,43.829543,29223832.0,-19.540395257841343,-31.100476611095306,-2.2299619114861584
EXP_DBL_1262,ReferencePropagation,block-placement,3,3.18789,42.535415,29246680.0,-18.965457198787288,-33.13483052631264,-2.1535225920209236
EXP_DBL_0850,Inline,cgp-select2branch,3,3.212049,49.628538,29173472.0,-18.351347703310815,-21.984525033990312,-2.398444235027355
EXP_DBL_0862,Inline,tail-duplicate,3,3.275281,47.316265,29170496.0,-16.74402241592439,-25.619390851437522,-2.408400616974507
EXP_DBL_0864,Inline,cgp-store-extract,3,3.297344,46.625002,29174328.0,-16.18319217466038,-26.706048114470914,-2.3955804369941682
EXP_DBL_0881,Inline,postra-machine-sink,3,3.298319,49.466422,29160696.0,-16.158408170434647,-22.239369469254342,-2.441187089784351
EXP_DBL_0840,Inline,lftr,3,3.307149,47.521001,29168960.0,-15.933954060369768,-25.297548280079873,-2.4135393947536823
EXP_DBL_0876,Inline,machine-dce,3,3.34225,47.338011,29157912.0,-15.041704488751748,-25.585206396545644,-2.450501124509106
EXP_DBL_0847,Inline,block-placement,3,3.474996,47.836225,28845272.0,-11.667368668290633,-24.802019879048085,-3.496456518312115
