mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
ForceInline,cleanups,9.725770910945224,12.176521292925127,12.918885397813403,9.68856617340832,0.5124742358230439,1.6694166196083635,66.94166196083636,25.198520553490212,32.83147954137702,-0.38253767107585546,0.439228668595853,0.5906445472680135,0.0009995002498750624,10,10,10,10,0.5124742358230439,1,extreme,0.0014735083612722945,True,False,positive_interaction
ScalarReplacementOfAggregates,cleanups,9.725770910945224,11.743296999746752,12.918885397813403,9.366195832270547,0.510086658016748,1.6654355120311741,66.54355120311742,20.744125142111237,32.83147954137702,-3.697137038977716,0.42423019675762663,0.5984390293236329,0.0009995002498750624,10,10,10,10,0.510086658016748,2,extreme,0.0014735083612722945,True,False,positive_interaction
ReferencePropagation,cleanups,9.725770910945224,11.80555984840215,12.918885397813403,9.48348729047895,0.5029295555311073,1.6535583730384638,65.35583730384637,21.384309341651942,32.83147954137702,-2.4911508062935295,0.453458190975607,0.5636956483891232,0.0009995002498750624,10,10,10,10,0.5029295555311073,3,extreme,0.0014735083612722945,True,False,positive_interaction
ScalarReplacementOfAggregates,adv-copy-opt,9.725770910945224,11.743296999746752,12.740554237381478,9.326875396024551,0.5003935450462818,1.6493702444807439,64.93702444807438,20.744125142111237,30.997885453413954,-4.10142824227705,0.41129740884127014,0.5924450509192699,0.0009995002498750624,10,10,10,10,0.5003935450462818,4,extreme,0.0014735083612722945,True,False,positive_interaction
ForceInline,adv-copy-opt,9.725770910945224,12.176521292925127,12.740554237381478,9.711497602496962,0.49621010544210264,1.6424846165245817,64.24846165245816,25.198520553490212,30.997885453413954,-0.146757604913339,0.4187754734968961,0.5784427660372702,0.0009995002498750624,10,10,10,10,0.49621010544210264,5,extreme,0.0014735083612722945,True,False,positive_interaction
ForceInline,constant-hoisting,9.725770910945224,12.176521292925127,12.381235349852354,9.440648005897424,0.4958878816599932,1.6419554541783132,64.19554541783133,25.198520553490212,27.303382561877076,-2.93162267195628,0.4233392329550245,0.5870451920181652,0.0009995002498750624,10,10,10,10,0.4958878816599932,6,extreme,0.0014735083612722945,True,False,positive_interaction
ScalarReplacementOfAggregates,cgp-delete-phis,9.725770910945224,11.743296999746752,12.610938624103289,9.293059394894806,0.4938002144881053,1.638531173301995,63.853117330199495,20.744125142111237,29.66518273539782,-4.449123056800053,0.3999414066370284,0.5911122055517933,0.0009995002498750624,10,10,10,10,0.4938002144881053,7,extreme,0.0014735083612722945,True,False,positive_interaction
ReferencePropagation,adv-copy-opt,9.725770910945224,11.80555984840215,12.740554237381478,9.498768457572645,0.48741943544535804,1.6281093529566966,62.81093529566966,21.384309341651942,30.997885453413954,-2.334030437804313,0.43815687519368496,0.557176912364694,0.0009995002498750624,10,10,10,10,0.48741943544535804,8,extreme,0.0014735083612722945,True,False,positive_interaction
ForceInline,cgp-delete-phis,9.725770910945224,12.176521292925127,12.610938624103289,9.725645799849694,0.48452874459656803,1.6234097879166027,62.34097879166028,25.198520553490212,29.66518273539782,-0.0012863874408908238,0.4045072113505355,0.5800363726734125,0.0009995002498750624,10,10,10,10,0.48452874459656803,9,extreme,0.0014735083612722945,True,False,positive_interaction
InstSimplify-before-inline,cleanups,9.725770910945224,11.861250741601538,12.918885397813403,9.721268110699034,0.4828718405054033,1.6207221807658727,62.07221807658727,21.95692094960904,32.83147954137702,-0.04629761781784758,0.433839516188342,0.5454137429971935,0.0009995002498750624,10,10,10,10,0.4828718405054033,10,extreme,0.0014735083612722945,True,False,positive_interaction
ForceInline,copyprop,9.725770910945224,12.176521292925127,12.240036703876049,9.482724983283587,0.47997101124860464,1.6160275548928376,61.60275548928376,25.198520553490212,25.851583550064007,-2.498988819365633,0.3727841925190469,0.5941800921094472,0.0009995002498750624,10,10,10,10,0.47997101124860464,11,extreme,0.0014735083612722945,True,False,positive_interaction
ReferencePropagation,cgp-delete-phis,9.725770910945224,11.80555984840215,12.610938624103289,9.493485861240515,0.477750154203592,1.612442571054416,61.24425710544159,21.384309341651942,29.66518273539782,-2.3883458887901554,0.42490618135602837,0.5519743358885673,0.0009995002498750624,10,10,10,10,0.477750154203592,12,extreme,0.0014735083612722945,True,False,positive_interaction
InstSimplify-before-inline,constant-hoisting,9.725770910945224,11.861250741601538,12.381235349852354,9.400385770265979,0.47392900980525,1.6062929519303384,60.62929519303384,21.95692094960904,27.303382561877076,-3.3455974200776395,0.42471638738446343,0.5421844707971192,0.0009995002498750624,10,10,10,10,0.47392900980525,13,extreme,0.0014735083612722945,True,False,positive_interaction
ReferencePropagation,constant-hoisting,9.725770910945224,11.80555984840215,12.381235349852354,9.365422180498868,0.4729490693452867,1.6047196514724762,60.471965147247616,21.384309341651942,27.303382561877076,-3.705091696544327,0.425505857561534,0.5408022181900307,0.0009995002498750624,10,10,10,10,0.4729490693452867,14,extreme,0.0014735083612722945,True,False,positive_interaction
ScalarReplacementOfAggregates,constant-hoisting,9.725770910945224,11.743296999746752,12.381235349852354,9.375402873068014,0.4665959564444906,1.594557002761943,59.45570027619429,20.744125142111237,27.303382561877076,-3.602470601923302,0.37560876934076626,0.5592930332977291,0.0009995002498750624,10,10,10,10,0.4665959564444906,15,extreme,0.0014735083612722945,True,False,positive_interaction
ReferencePropagation,copyprop,9.725770910945224,11.80555984840215,12.240036703876049,9.352374533411403,0.46287344059821267,1.5886322733425833,58.863227334258326,21.384309341651942,25.851583550064007,-3.839247098794052,0.3663407467918797,0.5704884858420189,0.0009995002498750624,10,10,10,10,0.46287344059821267,16,extreme,0.0014735083612722945,True,False,positive_interaction
InstSimplify-before-inline,adv-copy-opt,9.725770910945224,11.861250741601538,12.740554237381478,9.793523789312893,0.4615665129329205,1.5865574020232742,58.65574020232742,21.95692094960904,30.997885453413954,0.6966324725109496,0.40842444727755933,0.5322685460843389,0.0009995002498750624,10,10,10,10,0.4615665129329205,17,extreme,0.0014735083612722945,True,False,positive_interaction
InstSimplify-before-inline,cgp-delete-phis,9.725770910945224,11.861250741601538,12.610938624103289,9.727730545404505,0.45808164555421316,1.5810380825224457,58.10380825224457,21.95692094960904,29.66518273539782,0.020148885648496595,0.40329108902161187,0.5390240920330333,0.0009995002498750624,10,10,10,10,0.45808164555421316,18,strong,0.0014735083612722945,True,False,positive_interaction
ForceInline,tail-duplicate,9.725770910945224,12.176521292925127,11.673613040017605,9.262237839652597,0.4561157682014336,1.577933008659334,57.793300865933396,25.198520553490212,20.02763736579802,-4.766029094629132,0.381134488008072,0.5403820571085761,0.0009995002498750624,10,10,10,10,0.4561157682014336,19,strong,0.0014735083612722945,True,False,positive_interaction
