ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,1,None,All,29890376,3.597729,63.658186,Success
EXP_000_ALL_OFF,2,None,All,29890376,4.154033,63.294249,Success
EXP_000_ALL_OFF,3,None,All,29890376,3.933989,63.613710,Success
EXP_ABL_001_CopyProp,1,None,CopyProp,29528312,3.316328,61.685852,Success
EXP_ABL_001_CopyProp,2,None,CopyProp,29528312,3.260734,63.243801,Success
EXP_ABL_001_CopyProp,3,None,CopyProp,29528312,3.389525,64.328124,Success
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,29559272,3.582560,66.607871,Success
EXP_ABL_002_DataflowConstProp,2,None,DataflowConstProp,29559272,3.204417,79.409544,Success
EXP_ABL_002_DataflowConstProp,3,None,DataflowConstProp,29559272,3.072795,62.382942,Success
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,29663664,5.924193,109.581783,Success
EXP_ABL_003_DeadStoreElimination-final,2,None,DeadStoreElimination-final,29663664,5.475365,60.310425,Success
EXP_ABL_003_DeadStoreElimination-final,3,None,DeadStoreElimination-final,29663664,3.623000,61.243731,Success
EXP_ABL_004_DeadStoreElimination-initial,1,None,DeadStoreElimination-initial,29575504,3.438548,63.351341,Success
EXP_ABL_004_DeadStoreElimination-initial,2,None,DeadStoreElimination-initial,29575504,3.141490,62.032759,Success
EXP_ABL_004_DeadStoreElimination-initial,3,None,DeadStoreElimination-initial,29575504,3.451585,61.616340,Success
EXP_ABL_005_DestinationPropagation,1,None,DestinationPropagation,29576624,3.462782,61.807627,Success
EXP_ABL_005_DestinationPropagation,2,None,DestinationPropagation,29576624,3.744442,65.112321,Success
EXP_ABL_005_DestinationPropagation,3,None,DestinationPropagation,29576624,4.444819,63.086717,Success
EXP_ABL_006_EarlyOtherwiseBranch,1,None,EarlyOtherwiseBranch,29559320,3.071887,61.458554,Success
EXP_ABL_006_EarlyOtherwiseBranch,2,None,EarlyOtherwiseBranch,29559320,3.308706,61.137409,Success
EXP_ABL_006_EarlyOtherwiseBranch,3,None,EarlyOtherwiseBranch,29559320,3.388440,62.131087,Success
EXP_ABL_007_EnumSizeOpt,1,None,EnumSizeOpt,29559272,4.105699,60.168313,Success
EXP_ABL_007_EnumSizeOpt,2,None,EnumSizeOpt,29559272,3.714197,57.395500,Success
EXP_ABL_007_EnumSizeOpt,3,None,EnumSizeOpt,29559272,5.461246,58.851886,Success
EXP_ABL_008_ForceInline,1,None,ForceInline,29559272,3.429637,57.396363,Success
EXP_ABL_008_ForceInline,2,None,ForceInline,29559272,3.331639,57.930624,Success
EXP_ABL_008_ForceInline,3,None,ForceInline,29559272,3.209303,59.470384,Success
EXP_ABL_009_GVN,1,None,GVN,29990752,3.261764,60.540542,Success
EXP_ABL_009_GVN,2,None,GVN,29990752,3.245355,59.079816,Success
