ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),IR_alloca,IR_load,IR_store,IR_gep,IR_phi,IR_bb,LLVM_IR_Path,RunRepeats,TargetSeconds,Status
EXP_000_ALL_OFF,rg,1,None,All,23625408,10.779634,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,2,None,All,23625408,10.615698,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,3,None,All,23625408,10.658929,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,4,None,All,23625408,10.695324,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,5,None,All,23625408,10.534964,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,6,None,All,23625408,10.780267,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,7,None,All,23625408,10.499768,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,8,None,All,23625408,10.552204,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,9,None,All,23625408,10.510646,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_000_ALL_OFF,rg,10,None,All,23625408,10.557167,52.925749,3791,22196,14686,26115,8942,1543,/root/MIR_LLVM/ripgrep/target/release/deps/rg-d870ff1dbe4593ce.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,1,None,CopyProp,24220664,9.658050,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,2,None,CopyProp,24220664,9.834180,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,3,None,CopyProp,24220664,9.585140,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,4,None,CopyProp,24220664,9.582239,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,5,None,CopyProp,24220664,9.636413,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,6,None,CopyProp,24220664,9.623853,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,7,None,CopyProp,24220664,9.600492,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,8,None,CopyProp,24220664,9.827022,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,9,None,CopyProp,24220664,9.641887,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_001_CopyProp,rg,10,None,CopyProp,24220664,9.597090,47.224367,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-7569f60f2e6123ae.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,1,None,DataflowConstProp,24233072,9.610569,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,2,None,DataflowConstProp,24233072,9.629976,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,3,None,DataflowConstProp,24233072,9.635414,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,4,None,DataflowConstProp,24233072,9.904660,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,5,None,DataflowConstProp,24233072,9.646945,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,6,None,DataflowConstProp,24233072,9.638638,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,7,None,DataflowConstProp,24233072,9.648100,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,8,None,DataflowConstProp,24233072,9.646425,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,9,None,DataflowConstProp,24233072,9.658221,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_002_DataflowConstProp,rg,10,None,DataflowConstProp,24233072,9.707347,47.549243,3830,21926,15125,26129,9283,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-65fe0ad9d441f3c1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,1,None,DeadStoreElimination-final,24221624,9.511916,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,2,None,DeadStoreElimination-final,24221624,9.378362,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,3,None,DeadStoreElimination-final,24221624,9.392901,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,4,None,DeadStoreElimination-final,24221624,9.386520,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,5,None,DeadStoreElimination-final,24221624,9.329443,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,6,None,DeadStoreElimination-final,24221624,9.342026,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,7,None,DeadStoreElimination-final,24221624,9.553229,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,8,None,DeadStoreElimination-final,24221624,9.372050,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,9,None,DeadStoreElimination-final,24221624,9.366838,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_003_DeadStoreElimination-final,rg,10,None,DeadStoreElimination-final,24221624,9.375139,45.915956,3845,21872,15162,26101,9286,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-5a8403d9b7e4aab1.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,1,None,DeadStoreElimination-initial,24223856,9.391355,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,2,None,DeadStoreElimination-initial,24223856,9.323277,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,3,None,DeadStoreElimination-initial,24223856,9.392556,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,4,None,DeadStoreElimination-initial,24223856,9.489157,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,5,None,DeadStoreElimination-initial,24223856,9.376087,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,6,None,DeadStoreElimination-initial,24223856,9.328882,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,7,None,DeadStoreElimination-initial,24223856,9.363848,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,8,None,DeadStoreElimination-initial,24223856,9.349453,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,9,None,DeadStoreElimination-initial,24223856,9.350924,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_004_DeadStoreElimination-initial,rg,10,None,DeadStoreElimination-initial,24223856,9.511639,46.360863,3794,21914,15125,26117,9275,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e6c9b53cd637b1c6.ll,15,0.000000,Success
EXP_ABL_005_DestinationPropagation,rg,1,None,DestinationPropagation,24215992,10.329494,45.856670,3846,21926,15118,26143,9262,1530,/root/MIR_LLVM/ripgrep/target/release/deps/rg-e370079a866305f9.ll,15,0.000000,Success
