Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
rg,EXP_ABL_002_disable-expand-reductions,10,11.835373,10.626579,2.884494,0.271441,50.472653,50.472653,0.000000,0.000000,24233256.000000,24233256
rg,EXP_DBL_1168,10,10.921914,11.005136,2.250485,0.204494,52.908392,52.908392,0.000000,0.000000,24256768.000000,24256768
rg,EXP_DBL_0324,10,11.387065,11.714400,2.022015,0.172609,50.640534,50.640534,0.000000,0.000000,24223856.000000,24223856
rg,EXP_DBL_0365,10,12.892933,13.444166,2.302480,0.171262,53.005717,53.005717,0.000000,0.000000,24222384.000000,24222384
rg,EXP_DBL_0323,10,12.492398,13.154764,2.128500,0.161804,51.456342,51.456342,0.000000,0.000000,24225744.000000,24225744
rg,EXP_DBL_0494,10,12.564434,12.978192,2.073969,0.159804,55.576004,55.576004,0.000000,0.000000,24233080.000000,24233080
rg,EXP_DBL_1117,10,10.921672,11.199014,1.763777,0.157494,50.628648,50.628648,0.000000,0.000000,24174304.000000,24174304
rg,EXP_DBL_0500,10,12.901860,13.288149,2.077268,0.156325,56.004454,56.004454,0.000000,0.000000,24233256.000000,24233256
rg,EXP_DBL_1144,10,11.213220,10.918705,1.693691,0.155118,52.857693,52.857693,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0539,10,13.117351,13.321594,2.022870,0.151849,54.740389,54.740389,0.000000,0.000000,24233304.000000,24233304
rg,EXP_DBL_0496,10,12.858699,13.685206,2.066439,0.150998,52.675217,52.675217,0.000000,0.000000,24233080.000000,24233080
rg,EXP_DBL_0486,10,12.972837,13.095071,1.934329,0.147714,46.327402,46.327402,0.000000,0.000000,24233080.000000,24233080
rg,EXP_ABL_011_disable-licm-promotion,10,10.551506,10.320683,1.505924,0.145913,50.371920,50.371920,0.000000,0.000000,24232256.000000,24232256
rg,EXP_DBL_1110,10,10.830053,10.954543,1.589769,0.145124,50.928127,50.928127,0.000000,0.000000,24174272.000000,24174272
rg,EXP_ABL_009_GVN,10,10.722243,11.179902,1.606342,0.143681,51.109121,51.109121,0.000000,0.000000,24265136.000000,24265136
rg,EXP_DBL_0325,10,12.224443,12.644593,1.786789,0.141309,52.760822,52.760822,0.000000,0.000000,24249472.000000,24249472
rg,EXP_DBL_0537,10,13.096332,12.685576,1.787745,0.140927,55.409886,55.409886,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0255,10,11.130183,11.329451,1.589951,0.140338,50.344540,50.344540,0.000000,0.000000,24223856.000000,24223856
rg,EXP_ABL_008_ForceInline,10,12.222752,11.976262,1.678670,0.140166,51.706183,51.706183,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0495,10,14.132319,14.201988,1.961180,0.138092,56.717140,56.717140,0.000000,0.000000,24336296.000000,24336296
rg,EXP_DBL_0532,10,13.239493,12.957655,1.785128,0.137766,57.242665,57.242665,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0555,10,13.342254,14.095686,1.934618,0.137249,56.665664,56.665664,0.000000,0.000000,24233072.000000,24233072
rg,EXP_ABL_006_EarlyOtherwiseBranch,10,10.281535,9.816626,1.342339,0.136741,46.319574,46.319574,0.000000,0.000000,24233080.000000,24233080
rg,EXP_ABL_030_disable-ifcvt-triangle-rev,10,12.206121,11.600687,1.583232,0.136477,50.758216,50.758216,0.000000,0.000000,24233072.000000,24233072
rg,EXP_ABL_034_disable-cgp-store-extract,10,10.921933,10.823636,1.473121,0.136102,55.962128,55.962128,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0487,10,15.096540,15.683556,2.070707,0.132030,55.469818,55.469818,0.000000,0.000000,24377304.000000,24377304
rg,EXP_DBL_1108,10,10.031139,9.623095,1.261409,0.131081,44.632766,44.632766,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_1115,10,10.733735,10.778499,1.397094,0.129619,51.802744,51.802744,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0329,10,12.059976,12.428294,1.600336,0.128766,51.352066,51.352066,0.000000,0.000000,24327008.000000,24327008
rg,EXP_DBL_0499,10,13.209488,13.852209,1.762676,0.127249,51.235100,51.235100,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_1123,10,10.704988,10.838955,1.367968,0.126208,51.864200,51.864200,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0533,10,13.052554,13.488604,1.683583,0.124815,53.944923,53.944923,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0265,10,11.636235,11.607869,1.439944,0.124049,51.036747,51.036747,0.000000,0.000000,24222256.000000,24222256
rg,EXP_DBL_1193,10,11.155747,11.272272,1.397400,0.123968,51.301946,51.301946,0.000000,0.000000,24256768.000000,24256768
rg,EXP_DBL_0231,10,11.521889,11.749246,1.446041,0.123075,51.202257,51.202257,0.000000,0.000000,24221624.000000,24221624
rg,EXP_DBL_0544,10,13.354221,13.793033,1.676195,0.121525,56.616746,56.616746,0.000000,0.000000,24222928.000000,24222928
rg,EXP_DBL_0293,10,11.690531,11.815575,1.435822,0.121519,51.767941,51.767941,0.000000,0.000000,24223856.000000,24223856
rg,EXP_DBL_0525,10,13.080060,13.150378,1.588678,0.120809,56.002712,56.002712,0.000000,0.000000,24233072.000000,24233072
rg,EXP_ABL_010_disable-lftr,10,10.077704,9.856122,1.177266,0.119445,45.926938,45.926938,0.000000,0.000000,24226712.000000,24226712
rg,EXP_DBL_1126,10,11.960438,11.610623,1.386705,0.119434,50.903306,50.903306,0.000000,0.000000,24335736.000000,24335736
rg,EXP_DBL_0530,10,12.703012,13.257939,1.575360,0.118824,55.654871,55.654871,0.000000,0.000000,24226472.000000,24226472
rg,EXP_DBL_0512,10,12.736052,13.442695,1.590974,0.118352,55.347815,55.347815,0.000000,0.000000,24223504.000000,24223504
rg,EXP_DBL_1132,10,11.005416,11.237936,1.325010,0.117905,52.952847,52.952847,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_1174,10,11.014535,10.947551,1.290766,0.117905,53.023679,53.023679,0.000000,0.000000,24256768.000000,24256768
rg,EXP_DBL_1111,10,11.379680,11.366134,1.334431,0.117404,50.311358,50.311358,0.000000,0.000000,24167832.000000,24167832
rg,EXP_DBL_0541,10,13.412570,13.713544,1.607504,0.117220,55.540110,55.540110,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_1109,10,11.173881,11.122499,1.291540,0.116120,50.845709,50.845709,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0239,10,11.792589,12.134021,1.408395,0.116070,49.570101,49.570101,0.000000,0.000000,24221624.000000,24221624
rg,EXP_DBL_1150,10,11.304834,11.499837,1.305616,0.113533,51.873398,51.873398,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0515,10,13.053351,13.236873,1.476674,0.111558,55.718871,55.718871,0.000000,0.000000,23890896.000000,23890896
rg,EXP_DBL_1429,10,10.089371,9.553819,1.061159,0.111072,46.639718,46.639718,0.000000,0.000000,24388896.000000,24388896
rg,EXP_DBL_0502,10,13.139403,13.501609,1.495977,0.110800,52.218226,52.218226,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_1155,10,11.412459,11.361181,1.252279,0.110224,52.065828,52.065828,0.000000,0.000000,24198720.000000,24198720
rg,EXP_DBL_1112,10,11.199435,11.331563,1.243564,0.109743,51.637714,51.637714,0.000000,0.000000,24181352.000000,24181352
rg,EXP_DBL_1136,10,10.983818,10.615893,1.153016,0.108612,50.742209,50.742209,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0528,10,13.581046,13.413684,1.452661,0.108297,55.432419,55.432419,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0366,10,13.946659,14.385120,1.555529,0.108135,53.758999,53.758999,0.000000,0.000000,24215992.000000,24215992
rg,EXP_DBL_0546,10,13.338769,13.471460,1.452438,0.107816,57.984841,57.984841,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0497,10,13.004072,13.251757,1.416167,0.106866,54.213598,54.213598,0.000000,0.000000,24316112.000000,24316112
rg,EXP_DBL_1122,10,10.969254,10.918067,1.153322,0.105634,53.280034,53.280034,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0340,10,13.121728,13.053680,1.375005,0.105335,53.006961,53.006961,0.000000,0.000000,24216480.000000,24216480
rg,EXP_DBL_0565,10,13.063783,13.616662,1.430320,0.105042,55.067798,55.067798,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0503,10,12.734150,13.292894,1.390953,0.104639,55.732704,55.732704,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0508,10,12.787228,13.240892,1.382923,0.104443,54.305240,54.305240,0.000000,0.000000,24226712.000000,24226712
rg,EXP_DBL_0543,10,13.270236,13.736964,1.415312,0.103029,54.913771,54.913771,0.000000,0.000000,24256984.000000,24256984
rg,EXP_DBL_1119,10,11.056527,11.098747,1.143359,0.103017,49.004241,49.004241,0.000000,0.000000,24173696.000000,24173696
rg,EXP_DBL_0278,10,12.642145,12.647395,1.301627,0.102917,50.784790,50.784790,0.000000,0.000000,24223856.000000,24223856
rg,EXP_DBL_0362,10,12.738326,12.974059,1.334033,0.102823,52.059471,52.059471,0.000000,0.000000,24215992.000000,24215992
rg,EXP_ABL_012_InstSimplify-after-simplifycfg,10,10.079984,9.616502,0.981751,0.102090,45.740265,45.740265,0.000000,0.000000,24234968.000000,24234968
rg,EXP_DBL_1192,10,11.197873,11.097684,1.128027,0.101645,52.570112,52.570112,0.000000,0.000000,24256768.000000,24256768
rg,EXP_DBL_1157,10,11.380996,11.394512,1.157606,0.101593,53.190946,53.190946,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_0520,10,13.166409,13.483917,1.360239,0.100879,56.969821,56.969821,0.000000,0.000000,24233072.000000,24233072
rg,EXP_DBL_0226,10,11.486010,11.454296,1.152807,0.100644,51.670040,51.670040,0.000000,0.000000,24221624.000000,24221624
rg,EXP_DBL_0263,10,11.659328,11.722421,1.168703,0.099698,50.713452,50.713452,0.000000,0.000000,24214256.000000,24214256
rg,EXP_DBL_0387,10,13.426815,13.431750,1.337134,0.099550,52.004845,52.004845,0.000000,0.000000,24215992.000000,24215992
rg,EXP_DBL_0291,10,12.211232,12.061821,1.199866,0.099476,50.669956,50.669956,0.000000,0.000000,24223856.000000,24223856
rg,EXP_DBL_0370,10,13.668172,13.822945,1.368671,0.099014,52.289441,52.289441,0.000000,0.000000,24216024.000000,24216024
rg,EXP_DBL_0506,10,13.050372,13.246606,1.291559,0.097501,56.092748,56.092748,0.000000,0.000000,24233744.000000,24233744
rg,EXP_DBL_1145,10,11.009824,10.743617,1.047276,0.097479,52.519290,52.519290,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_1205,10,11.593359,11.517989,1.118726,0.097129,52.519035,52.519035,0.000000,0.000000,24256768.000000,24256768
rg,EXP_DBL_1130,10,11.026111,11.103689,1.077637,0.097052,51.507093,51.507093,0.000000,0.000000,24165704.000000,24165704
rg,EXP_DBL_1135,10,10.793064,10.834649,1.051320,0.097033,51.880227,51.880227,0.000000,0.000000,24174272.000000,24174272
rg,EXP_DBL_1180,10,11.508681,11.476670,1.108036,0.096547,51.854591,51.854591,0.000000,0.000000,24413448.000000,24413448
rg,EXP_DBL_0492,10,13.535864,14.009126,1.348871,0.096285,53.548783,53.548783,0.000000,0.000000,24233080.000000,24233080
rg,EXP_DBL_0284,10,12.408645,12.238332,1.170272,0.095623,51.686927,51.686927,0.000000,0.000000,24223856.000000,24223856
rg,EXP_DBL_0334,10,13.147419,13.598709,1.297887,0.095442,54.216179,54.216179,0.000000,0.000000,24216672.000000,24216672
rg,EXP_DBL_1147,10,11.155271,11.233840,1.071231,0.095358,53.336774,53.336774,0.000000,0.000000,24174272.000000,24174272
