ConfigName,MIR_Pass,LLVM_Pass
EXP_000_ALL_OFF,All,
EXP_001_DISABLE_ALL,,All
EXP_ABL_001_CopyProp,CopyProp,
EXP_ABL_001_disable-binop-extract-shuffle,,binop-extract-shuffle
EXP_ABL_002_DataflowConstProp,DataflowConstProp,
EXP_ABL_002_disable-expand-reductions,,expand-reductions
EXP_ABL_003_DeadStoreElimination-final,DeadStoreElimination-final,
EXP_ABL_003_disable-interleaved-load-combine,,interleaved-load-combine
EXP_ABL_004_DeadStoreElimination-initial,DeadStoreElimination-initial,
EXP_ABL_004_disable-loop-idiom-vectorize-all,,loop-idiom-vectorize-all
EXP_ABL_005_DestinationPropagation,DestinationPropagation,
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,,loop-idiom-vectorize-bytecmp
EXP_ABL_006_EarlyOtherwiseBranch,EarlyOtherwiseBranch,
EXP_ABL_006_disable-promote-alloca-to-vector,,promote-alloca-to-vector
EXP_ABL_007_EnumSizeOpt,EnumSizeOpt,
EXP_ABL_007_disable-replace-with-vec-lib,,replace-with-vec-lib
EXP_ABL_008_ForceInline,ForceInline,
EXP_ABL_008_disable-vector-combine,,vector-combine
EXP_ABL_009_GVN,GVN,
EXP_ABL_009_disable-advanced-peeling,,advanced-peeling
EXP_ABL_010_ImpossiblePredicates,ImpossiblePredicates,
EXP_ABL_010_disable-lftr,,lftr
EXP_ABL_011_Inline,Inline,
EXP_ABL_011_disable-licm-promotion,,licm-promotion
EXP_ABL_012_InstSimplify-after-simplifycfg,InstSimplify-after-simplifycfg,
EXP_ABL_012_disable-loop-level-heuristics,,loop-level-heuristics
EXP_ABL_013_InstSimplify-before-inline,InstSimplify-before-inline,
EXP_ABL_013_disable-lsr,,lsr
EXP_ABL_014_JumpThreading,JumpThreading,
EXP_ABL_014_disable-machine-licm,,machine-licm
EXP_ABL_015_MatchBranchSimplification,MatchBranchSimplification,
EXP_ABL_015_disable-postra-machine-licm,,postra-machine-licm
EXP_ABL_016_ReferencePropagation,ReferencePropagation,
EXP_ABL_016_disable-preheader-prot,,preheader-prot
EXP_ABL_017_ScalarReplacementOfAggregates,ScalarReplacementOfAggregates,
EXP_ABL_017_disable-block-placement,,block-placement
EXP_ABL_018_SingleUseConsts,SingleUseConsts,
EXP_ABL_018_disable-branch-fold,,branch-fold
EXP_ABL_019_UnreachableEnumBranching,UnreachableEnumBranching,
EXP_ABL_019_disable-cgp-branch-opts,,cgp-branch-opts
EXP_ABL_020_UnreachablePropagation,UnreachablePropagation,
EXP_ABL_020_disable-cgp-select2branch,,cgp-select2branch
EXP_ABL_021_disable-chr,,chr
EXP_ABL_022_disable-early-ifcvt,,early-ifcvt
EXP_ABL_023_disable-early-taildup,,early-taildup
EXP_ABL_024_disable-ifcvt-diamond,,ifcvt-diamond
EXP_ABL_025_disable-ifcvt-forked-diamond,,ifcvt-forked-diamond
EXP_ABL_026_disable-ifcvt-simple,,ifcvt-simple
EXP_ABL_027_disable-ifcvt-simple-false,,ifcvt-simple-false
EXP_ABL_028_disable-ifcvt-triangle,,ifcvt-triangle
EXP_ABL_029_disable-ifcvt-triangle-false,,ifcvt-triangle-false
EXP_ABL_030_disable-ifcvt-triangle-rev,,ifcvt-triangle-rev
EXP_ABL_031_disable-tail-calls,,tail-calls
EXP_ABL_032_disable-tail-duplicate,,tail-duplicate
EXP_ABL_033_disable-cgp-ext-ld-promotion,,cgp-ext-ld-promotion
EXP_ABL_034_disable-cgp-store-extract,,cgp-store-extract
EXP_ABL_035_disable-memop-opt,,memop-opt
EXP_ABL_036_disable-separate-const-offset-from-gep,,separate-const-offset-from-gep
