Source,Target,Type,Weight,Stability
GVN,binop-extract-shuffle,Interaction,0.02189673878261196,1.0
ForceInline,strictnode-mutation,Interaction,0.017801025525733507,1.0
DeadStoreElimination-initial,machine-dce,Interaction,0.0041600823002616244,1.0
JumpThreading,cleanups,Interaction,0.003566053419719285,1.0
ScalarReplacementOfAggregates,phi-elim-edge-splitting,Interaction,0.003548193853874269,1.0
UnreachableEnumBranching,machine-licm,Interaction,0.002915555540582296,1.0
UnreachablePropagation,interleaved-load-combine,Interaction,0.0026290804223229915,1.0
DeadStoreElimination-initial,machine-cse,Interaction,0.0026258426566917277,1.0
UnreachableEnumBranching,select-optimize,Interaction,0.0026030368515523056,1.0
DeadStoreElimination-initial,memop-opt,Interaction,0.0025835384046207616,1.0
ReferencePropagation,cgp-ext-ld-promotion,Interaction,0.002542909646392691,1.0
MatchBranchSimplification,cgp,Interaction,-0.0025298912234349887,1.0
GVN,adv-copy-opt,Interaction,0.0025079325169108375,1.0
DeadStoreElimination-final,early-taildup,Interaction,0.0024625082667101257,1.0
MatchBranchSimplification,branch-fold,Interaction,-0.0024453373121285024,1.0
DeadStoreElimination-final,thinlto-funcattrs,Interaction,0.002223772677113898,1.0
UnreachablePropagation,advanced-peeling,Interaction,-0.0021845358248799153,1.0
JumpThreading,advanced-peeling,Interaction,0.002092011257291884,1.0
ForceInline,machine-licm,Interaction,0.0020216913115398854,1.0
UnreachablePropagation,post-ra,Interaction,0.001947817744998436,1.0
EarlyOtherwiseBranch,cgp-gc-opts,Interaction,0.0019184065129658262,1.0
ScalarReplacementOfAggregates,demotion,Interaction,0.0018374277236808923,1.0
EarlyOtherwiseBranch,advanced-peeling,Interaction,-0.0017053056831655544,1.0
MatchBranchSimplification,ssc,Interaction,-0.0016906676563282156,1.0
DeadStoreElimination-initial,branch-fold,Interaction,-0.0016694163424050426,1.0
ScalarReplacementOfAggregates,lsr,Interaction,0.0016677901946200112,1.0
ReferencePropagation,thinlto-funcattrs,Interaction,0.0016144785712435808,1.0
DeadStoreElimination-initial,ifcvt-triangle,Interaction,0.0016126153669600923,1.0
DestinationPropagation,early-taildup,Interaction,0.0016024865528584478,1.0
UnreachableEnumBranching,separate-const-offset-from-gep,Interaction,0.001543465168636349,1.0
MatchBranchSimplification,cgp-gc-opts,Interaction,0.0015424825178052984,1.0
ReferencePropagation,lftr,Interaction,0.0015396857575268798,1.0
JumpThreading,block-placement,Interaction,0.0015118124993716935,1.0
DeadStoreElimination-final,cgdata-for-merging,Interaction,0.0014967609609774363,1.0
Inline,lftr,Interaction,0.0014674813865070756,1.0
DeadStoreElimination-final,ifcvt-simple-false,Interaction,0.0014415478552858173,1.0
ScalarReplacementOfAggregates,advanced-peeling,Interaction,0.0014325539613919138,1.0
ImpossiblePredicates,nounwind-inference,Interaction,0.0013895966957235839,1.0
InstSimplify-before-inline,cgp-gc-opts,Interaction,0.0013729835770093885,1.0
EarlyOtherwiseBranch,early-taildup,Interaction,-0.0013660551726141622,1.0
DataflowConstProp,machine-dce,Interaction,-0.0013212489534572807,1.0
Inline,non-allocatable-phys-copy-opt,Interaction,0.0013198062801311242,1.0
InstSimplify-before-inline,preinline,Interaction,0.0013170142887414253,1.0
ImpossiblePredicates,machine-sink,Interaction,-0.001312848299660731,1.0
DeadStoreElimination-final,layout-fsprofile-loader,Interaction,0.0013066557957466412,1.0
InstSimplify-before-inline,ssc,Interaction,-0.0013048732627411808,1.0
GVN,machine-sink,Interaction,0.001304014460183302,1.0
SingleUseConsts,machine-licm,Interaction,0.0013000798906309715,1.0
ReferencePropagation,cgp,Interaction,-0.0012842293026476105,1.0
EarlyOtherwiseBranch,lsr,Interaction,-0.0012792161507988449,1.0
ReferencePropagation,peephole,Interaction,-0.0012543468589771582,1.0
UnreachableEnumBranching,lsr,Interaction,0.0012315130520465932,1.0
ForceInline,global-outlining,Interaction,0.0012027501307785235,1.0
UnreachablePropagation,licm-promotion,Interaction,-0.00120260091382986,1.0
ReferencePropagation,mergeicmps,Interaction,0.0011889033451585275,1.0
MatchBranchSimplification,advanced-peeling,Interaction,-0.001166484574080337,1.0
DeadStoreElimination-initial,ifcvt-triangle-false,Interaction,0.00114520928808859,1.0
DeadStoreElimination-initial,replace-with-vec-lib,Interaction,0.0011278984207858788,1.0
GVN,loop-level-heuristics,Interaction,-0.0011097230841931674,1.0
InstSimplify-after-simplifycfg,block-placement,Interaction,0.0011094672612044392,1.0
InstSimplify-after-simplifycfg,lftr,Interaction,0.0011037249506069377,1.0
ReferencePropagation,preheader-prot,Interaction,-0.0010897714916387879,1.0
ImpossiblePredicates,ssc,Interaction,0.0010867034865836604,1.0
InstSimplify-after-simplifycfg,ondemand-mds-loading,Interaction,-0.0010820802750049086,1.0
ImpossiblePredicates,cfi-fixup,Interaction,0.0010553614344931423,1.0
SingleUseConsts,cgp-delete-phis,Interaction,-0.0010526035762546877,1.0
InstSimplify-before-inline,cgp-branch-opts,Interaction,0.0010344484857882938,1.0
InstSimplify-after-simplifycfg,machine-dce,Interaction,-0.0010302873899755045,1.0
GVN,nounwind-inference,Interaction,0.001027024390121987,1.0
InstSimplify-before-inline,constant-hoisting,Interaction,0.0010229512459795024,1.0
DeadStoreElimination-final,lsr,Interaction,0.0010130032162920179,1.0
DeadStoreElimination-initial,select-optimize,Interaction,0.0009946814719473543,1.0
InstSimplify-before-inline,lsr,Interaction,-0.0009832787098830132,1.0
SingleUseConsts,lftr,Interaction,-0.0009716893244481284,1.0
SingleUseConsts,i2p-p2i-opt,Interaction,-0.000960569538454975,1.0
MatchBranchSimplification,mergeicmps,Interaction,0.0009546501762100857,1.0
SingleUseConsts,ra-fsprofile-loader,Interaction,0.000953498817126302,1.0
EarlyOtherwiseBranch,binop-extract-shuffle,Interaction,0.0009272434694718207,1.0
CopyProp,cgp-select2branch,Interaction,-0.0009227544633653843,1.0
SingleUseConsts,spill-fusing,Interaction,0.0009104640226447017,1.0
JumpThreading,loop-idiom-vectorize-bytecmp,Interaction,0.0008933732500473952,1.0
MatchBranchSimplification,chr,Interaction,0.0008883359352678358,1.0
JumpThreading,machine-sink,Interaction,0.0008800357968483238,1.0
DeadStoreElimination-initial,gep-const-evaluation,Interaction,0.0008747964694919882,1.0
Inline,expand-reductions,Interaction,0.0008687274422370669,1.0
GVN,postra-machine-sink,Interaction,0.0008608424109826898,1.0
MatchBranchSimplification,constant-hoisting,Interaction,0.0008591013235186779,1.0
UnreachableEnumBranching,ifcvt-forked-diamond,Interaction,-0.0008557235949111742,1.0
EarlyOtherwiseBranch,adv-copy-opt,Interaction,0.0008531281076618288,1.0
EarlyOtherwiseBranch,expand-reductions,Interaction,0.0008486340608910267,1.0
DestinationPropagation,i2p-p2i-opt,Interaction,0.0008482569551259659,1.0
MatchBranchSimplification,lftr,Interaction,0.0008479007750411427,1.0
DeadStoreElimination-initial,lftr,Interaction,-0.0008379939613513145,1.0
InstSimplify-after-simplifycfg,constant-hoisting,Interaction,-0.0008318254808089547,1.0
DataflowConstProp,peephole,Interaction,0.0008213899039844315,1.0
Inline,block-placement,Interaction,0.0008144202189522149,1.0
Inline,machine-cse,Interaction,0.0007849536056503384,1.0
DeadStoreElimination-final,ssc,Interaction,-0.0007837187953102495,1.0
SingleUseConsts,branch-fold,Interaction,0.0007809817628921957,1.0
InstSimplify-after-simplifycfg,ra-fsprofile-loader,Interaction,-0.0007713370104681228,1.0
