ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Mode,Status
EXP_000_ALL_OFF,rustls,1,None,All,4395240,10.871753,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,2,None,All,4395240,10.835669,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,3,None,All,4395240,10.945497,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,4,None,All,4395240,10.967817,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,5,None,All,4395240,10.876632,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,6,None,All,4395240,10.836256,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,7,None,All,4395240,10.856688,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,8,None,All,4395240,10.859947,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,9,None,All,4395240,10.918379,84.213384,handshake,Success
EXP_000_ALL_OFF,rustls,10,None,All,4395240,10.891963,84.213384,handshake,Success
EXP_ABL_001_CopyProp,rustls,1,None,CopyProp,4312872,10.825912,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,2,None,CopyProp,4312872,10.827918,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,3,None,CopyProp,4312872,10.900992,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,4,None,CopyProp,4312872,10.837314,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,5,None,CopyProp,4312872,10.866587,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,6,None,CopyProp,4312872,10.833968,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,7,None,CopyProp,4312872,10.829797,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,8,None,CopyProp,4312872,10.953558,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,9,None,CopyProp,4312872,10.836650,71.795206,handshake,Success
EXP_ABL_001_CopyProp,rustls,10,None,CopyProp,4312872,10.843610,71.795206,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,1,None,DataflowConstProp,4309504,10.819074,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,2,None,DataflowConstProp,4309504,10.895691,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,3,None,DataflowConstProp,4309504,10.831660,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,4,None,DataflowConstProp,4309504,10.807173,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,5,None,DataflowConstProp,4309504,10.812618,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,6,None,DataflowConstProp,4309504,10.829395,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,7,None,DataflowConstProp,4309504,10.885726,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,8,None,DataflowConstProp,4309504,10.845103,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,9,None,DataflowConstProp,4309504,10.828637,70.009756,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,10,None,DataflowConstProp,4309504,10.803889,70.009756,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,1,None,DeadStoreElimination-final,4311496,10.864544,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,2,None,DeadStoreElimination-final,4311496,10.831010,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,3,None,DeadStoreElimination-final,4311496,10.821513,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,4,None,DeadStoreElimination-final,4311496,10.815576,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,5,None,DeadStoreElimination-final,4311496,10.812545,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,6,None,DeadStoreElimination-final,4311496,10.857373,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,7,None,DeadStoreElimination-final,4311496,10.821619,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,8,None,DeadStoreElimination-final,4311496,10.817676,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,9,None,DeadStoreElimination-final,4311496,10.820701,70.693985,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,10,None,DeadStoreElimination-final,4311496,10.778898,70.693985,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,1,None,DeadStoreElimination-initial,4317408,10.803642,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,2,None,DeadStoreElimination-initial,4317408,10.829345,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,3,None,DeadStoreElimination-initial,4317408,10.814279,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,4,None,DeadStoreElimination-initial,4317408,10.821497,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,5,None,DeadStoreElimination-initial,4317408,10.814240,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,6,None,DeadStoreElimination-initial,4317408,10.867415,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,7,None,DeadStoreElimination-initial,4317408,10.836826,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,8,None,DeadStoreElimination-initial,4317408,10.854454,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,9,None,DeadStoreElimination-initial,4317408,10.817185,70.621414,handshake,Success
EXP_ABL_004_DeadStoreElimination-initial,rustls,10,None,DeadStoreElimination-initial,4317408,10.819436,70.621414,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,1,None,DestinationPropagation,4312992,10.835304,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,2,None,DestinationPropagation,4312992,10.827075,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,3,None,DestinationPropagation,4312992,10.803464,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,4,None,DestinationPropagation,4312992,10.838660,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,5,None,DestinationPropagation,4312992,10.841036,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,6,None,DestinationPropagation,4312992,10.814555,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,7,None,DestinationPropagation,4312992,10.851820,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,8,None,DestinationPropagation,4312992,10.809690,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,9,None,DestinationPropagation,4312992,10.836362,70.725139,handshake,Success
EXP_ABL_005_DestinationPropagation,rustls,10,None,DestinationPropagation,4312992,10.908233,70.725139,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,1,None,EarlyOtherwiseBranch,4310056,10.836880,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,2,None,EarlyOtherwiseBranch,4310056,10.819528,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,3,None,EarlyOtherwiseBranch,4310056,10.850302,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,4,None,EarlyOtherwiseBranch,4310056,10.843082,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,5,None,EarlyOtherwiseBranch,4310056,10.873065,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,6,None,EarlyOtherwiseBranch,4310056,10.955258,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,7,None,EarlyOtherwiseBranch,4310056,10.848868,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,8,None,EarlyOtherwiseBranch,4310056,10.810489,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,9,None,EarlyOtherwiseBranch,4310056,10.909503,70.322128,handshake,Success
EXP_ABL_006_EarlyOtherwiseBranch,rustls,10,None,EarlyOtherwiseBranch,4310056,10.840937,70.322128,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,1,None,EnumSizeOpt,4309504,10.810133,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,2,None,EnumSizeOpt,4309504,10.832774,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,3,None,EnumSizeOpt,4309504,10.855901,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,4,None,EnumSizeOpt,4309504,10.823832,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,5,None,EnumSizeOpt,4309504,10.831047,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,6,None,EnumSizeOpt,4309504,10.884928,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,7,None,EnumSizeOpt,4309504,10.821052,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,8,None,EnumSizeOpt,4309504,10.856239,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,9,None,EnumSizeOpt,4309504,10.818955,69.832753,handshake,Success
EXP_ABL_007_EnumSizeOpt,rustls,10,None,EnumSizeOpt,4309504,10.840344,69.832753,handshake,Success
EXP_ABL_008_ForceInline,rustls,1,None,ForceInline,4309504,10.859494,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,2,None,ForceInline,4309504,10.902450,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,3,None,ForceInline,4309504,10.835046,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,4,None,ForceInline,4309504,10.803362,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,5,None,ForceInline,4309504,10.830230,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,6,None,ForceInline,4309504,10.824511,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,7,None,ForceInline,4309504,10.812464,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,8,None,ForceInline,4309504,10.900198,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,9,None,ForceInline,4309504,10.804639,69.868014,handshake,Success
EXP_ABL_008_ForceInline,rustls,10,None,ForceInline,4309504,10.809345,69.868014,handshake,Success
EXP_ABL_009_GVN,rustls,1,None,GVN,4311656,10.866330,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,2,None,GVN,4311656,10.782243,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,3,None,GVN,4311656,10.812628,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,4,None,GVN,4311656,10.814189,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,5,None,GVN,4311656,10.821729,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,6,None,GVN,4311656,10.793233,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,7,None,GVN,4311656,10.831553,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,8,None,GVN,4311656,10.789555,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,9,None,GVN,4311656,10.791957,70.126758,handshake,Success
EXP_ABL_009_GVN,rustls,10,None,GVN,4311656,10.784464,70.126758,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,1,None,ImpossiblePredicates,4309504,10.814862,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,2,None,ImpossiblePredicates,4309504,10.797047,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,3,None,ImpossiblePredicates,4309504,10.820960,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,4,None,ImpossiblePredicates,4309504,10.843450,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,5,None,ImpossiblePredicates,4309504,10.837596,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,6,None,ImpossiblePredicates,4309504,10.863755,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,7,None,ImpossiblePredicates,4309504,10.802706,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,8,None,ImpossiblePredicates,4309504,10.845496,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,9,None,ImpossiblePredicates,4309504,10.833397,70.382100,handshake,Success
EXP_ABL_010_ImpossiblePredicates,rustls,10,None,ImpossiblePredicates,4309504,10.813061,70.382100,handshake,Success
EXP_ABL_011_Inline,rustls,1,None,Inline,4392728,10.865647,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,2,None,Inline,4392728,10.825876,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,3,None,Inline,4392728,10.854949,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,4,None,Inline,4392728,10.848308,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,5,None,Inline,4392728,10.972949,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,6,None,Inline,4392728,10.854391,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,7,None,Inline,4392728,10.845299,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,8,None,Inline,4392728,10.830560,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,9,None,Inline,4392728,10.829208,72.321335,handshake,Success
EXP_ABL_011_Inline,rustls,10,None,Inline,4392728,10.958045,72.321335,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,1,None,InstSimplify-after-simplifycfg,4309168,10.809909,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,2,None,InstSimplify-after-simplifycfg,4309168,10.809533,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,3,None,InstSimplify-after-simplifycfg,4309168,10.819722,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,4,None,InstSimplify-after-simplifycfg,4309168,10.835077,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,5,None,InstSimplify-after-simplifycfg,4309168,10.817745,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,6,None,InstSimplify-after-simplifycfg,4309168,10.809888,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,7,None,InstSimplify-after-simplifycfg,4309168,10.773470,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,8,None,InstSimplify-after-simplifycfg,4309168,10.817019,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,9,None,InstSimplify-after-simplifycfg,4309168,10.910181,70.566776,handshake,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,rustls,10,None,InstSimplify-after-simplifycfg,4309168,10.780143,70.566776,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,1,None,InstSimplify-before-inline,4309416,10.813278,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,2,None,InstSimplify-before-inline,4309416,10.822462,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,3,None,InstSimplify-before-inline,4309416,10.978516,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,4,None,InstSimplify-before-inline,4309416,10.830088,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,5,None,InstSimplify-before-inline,4309416,10.801805,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,6,None,InstSimplify-before-inline,4309416,10.806638,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,7,None,InstSimplify-before-inline,4309416,10.804542,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,8,None,InstSimplify-before-inline,4309416,10.829306,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,9,None,InstSimplify-before-inline,4309416,10.879513,70.076527,handshake,Success
EXP_ABL_013_InstSimplify-before-inline,rustls,10,None,InstSimplify-before-inline,4309416,10.791015,70.076527,handshake,Success
EXP_ABL_014_JumpThreading,rustls,1,None,JumpThreading,4317760,10.784347,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,2,None,JumpThreading,4317760,10.904811,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,3,None,JumpThreading,4317760,10.801346,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,4,None,JumpThreading,4317760,10.792519,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,5,None,JumpThreading,4317760,10.805613,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,6,None,JumpThreading,4317760,10.820869,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,7,None,JumpThreading,4317760,10.818598,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,8,None,JumpThreading,4317760,10.883750,70.264674,handshake,Success
EXP_ABL_014_JumpThreading,rustls,9,None,JumpThreading,4317760,10.820817,70.264674,handshake,Success
