Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,wall_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
rustls,EXP_DBL_0665,10,11.066985,11.054059,0.289019,0.026146,71.974852,71.974852,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_0664,10,11.027162,11.025627,0.217940,0.019767,69.851344,69.851344,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0934,10,10.844437,10.826662,0.099498,0.009190,69.672244,69.672244,0.000000,0.000000,4309168.000000,4309168
rustls,EXP_DBL_1118,10,10.858884,10.865632,0.095355,0.008776,69.908913,69.908913,0.000000,0.000000,4317760.000000,4317760
rustls,EXP_DBL_0739,10,10.824220,10.799665,0.094542,0.008754,69.585011,69.585011,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_1113,10,10.831560,10.813971,0.091876,0.008496,69.829062,69.829062,0.000000,0.000000,4317760.000000,4317760
rustls,EXP_DBL_0714,10,10.843628,10.812159,0.091816,0.008492,69.440229,69.440229,0.000000,0.000000,4310728.000000,4310728
rustls,EXP_DBL_0756,10,10.844258,10.821853,0.091189,0.008426,69.325698,69.325698,0.000000,0.000000,4304400.000000,4304400
rustls,EXP_DBL_1647,10,10.850525,10.838107,0.090598,0.008359,70.698448,70.698448,0.000000,0.000000,4309440.000000,4309440
rustls,EXP_DBL_0677,10,10.821705,10.803299,0.089810,0.008313,69.381120,69.381120,0.000000,0.000000,4313448.000000,4313448
rustls,EXP_DBL_1656,10,10.852878,10.829963,0.087714,0.008099,70.550047,70.550047,0.000000,0.000000,4309440.000000,4309440
rustls,EXP_DBL_1211,10,10.866988,10.859839,0.087903,0.008094,71.642827,71.642827,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_1331,10,10.854070,10.833572,0.087622,0.008088,69.892145,69.892145,0.000000,0.000000,4310856.000000,4310856
rustls,EXP_DBL_1180,10,10.848699,10.813972,0.086707,0.008018,71.211322,71.211322,0.000000,0.000000,4313968.000000,4313968
rustls,EXP_DBL_0391,10,10.850833,10.829451,0.086491,0.007987,69.458887,69.458887,0.000000,0.000000,4312992.000000,4312992
rustls,EXP_DBL_1209,10,10.870942,10.834160,0.086365,0.007972,70.635268,70.635268,0.000000,0.000000,4302800.000000,4302800
rustls,EXP_DBL_1189,10,10.881032,10.860474,0.086500,0.007965,70.692906,70.692906,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_1378,10,10.866648,10.873429,0.085706,0.007882,70.361151,70.361151,0.000000,0.000000,4309000.000000,4309000
rustls,EXP_DBL_0755,10,10.852071,10.829555,0.084365,0.007790,69.389922,69.389922,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_1247,10,10.847500,10.822443,0.084264,0.007786,70.550802,70.550802,0.000000,0.000000,4294696.000000,4294696
rustls,EXP_DBL_0437,10,10.842859,10.820583,0.083893,0.007753,69.857959,69.857959,0.000000,0.000000,4310056.000000,4310056
rustls,EXP_DBL_1029,10,10.841071,10.812634,0.083774,0.007748,69.601440,69.601440,0.000000,0.000000,4309480.000000,4309480
rustls,EXP_DBL_1199,10,10.869338,10.841216,0.083436,0.007696,70.812692,70.812692,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_1328,10,10.842166,10.820543,0.082395,0.007615,69.718856,69.718856,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_0332,10,10.860658,10.843577,0.081984,0.007561,69.646575,69.646575,0.000000,0.000000,4317408.000000,4317408
rustls,EXP_DBL_1223,10,10.856440,10.844267,0.081391,0.007505,70.856664,70.856664,0.000000,0.000000,4304624.000000,4304624
rustls,EXP_DBL_1162,10,10.837136,10.807579,0.080003,0.007402,70.920484,70.920484,0.000000,0.000000,4317760.000000,4317760
rustls,EXP_DBL_1143,10,10.852367,10.841297,0.079720,0.007353,69.829404,69.829404,0.000000,0.000000,4373264.000000,4373264
rustls,EXP_DBL_0702,10,10.834119,10.807391,0.079381,0.007345,69.711173,69.711173,0.000000,0.000000,4311688.000000,4311688
rustls,EXP_DBL_0811,10,10.857770,10.855950,0.079660,0.007338,69.909888,69.909888,0.000000,0.000000,4364560.000000,4364560
rustls,EXP_DBL_0937,10,10.830794,10.821395,0.079322,0.007330,70.700633,70.700633,0.000000,0.000000,4309168.000000,4309168
rustls,EXP_DBL_1131,10,10.817002,10.804955,0.079137,0.007324,70.859885,70.859885,0.000000,0.000000,4317760.000000,4317760
rustls,EXP_DBL_1329,10,10.848173,10.838433,0.079363,0.007322,70.658626,70.658626,0.000000,0.000000,4310856.000000,4310856
rustls,EXP_DBL_1028,10,10.837306,10.821967,0.078853,0.007286,69.577145,69.577145,0.000000,0.000000,4307624.000000,4307624
rustls,EXP_DBL_1294,10,10.859048,10.829841,0.078805,0.007277,71.459556,71.459556,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_0844,10,10.897278,10.874686,0.079008,0.007265,72.099020,72.099020,0.000000,0.000000,4374968.000000,4374968
rustls,EXP_DBL_0778,10,10.845606,10.817866,0.078585,0.007264,70.610823,70.610823,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0315,10,10.857480,10.831748,0.078655,0.007262,69.731177,69.731177,0.000000,0.000000,4317408.000000,4317408
rustls,EXP_DBL_1459,10,10.853928,10.835581,0.078491,0.007244,70.017029,70.017029,0.000000,0.000000,4308232.000000,4308232
rustls,EXP_DBL_0919,10,10.830253,10.802678,0.078117,0.007231,70.894499,70.894499,0.000000,0.000000,4309168.000000,4309168
rustls,EXP_DBL_1562,10,10.847492,10.821250,0.077716,0.007182,70.817677,70.817677,0.000000,0.000000,4309192.000000,4309192
rustls,EXP_DBL_0256,10,10.862973,10.855449,0.077668,0.007155,70.959388,70.959388,0.000000,0.000000,4317408.000000,4317408
