ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Mode,Status
EXP_000_ALL_OFF,rustls,1,None,All,4392752,10.822359,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,2,None,All,4392752,10.845321,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,3,None,All,4392752,10.951405,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,4,None,All,4392752,10.831728,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,5,None,All,4392752,10.862268,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,6,None,All,4392752,10.844617,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,7,None,All,4392752,10.818765,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,8,None,All,4392752,10.993282,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,9,None,All,4392752,10.870125,84.113433,handshake,Success
EXP_000_ALL_OFF,rustls,10,None,All,4392752,10.838020,84.113433,handshake,Success
EXP_ABL_001_CopyProp,rustls,1,None,CopyProp,4312016,10.956015,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,2,None,CopyProp,4312016,10.805723,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,3,None,CopyProp,4312016,10.807881,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,4,None,CopyProp,4312016,10.825689,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,5,None,CopyProp,4312016,10.805925,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,6,None,CopyProp,4312016,10.932854,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,7,None,CopyProp,4312016,10.833063,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,8,None,CopyProp,4312016,10.804768,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,9,None,CopyProp,4312016,10.797435,83.145093,handshake,Success
EXP_ABL_001_CopyProp,rustls,10,None,CopyProp,4312016,10.811885,83.145093,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,1,None,DataflowConstProp,4310488,10.801989,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,2,None,DataflowConstProp,4310488,10.793912,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,3,None,DataflowConstProp,4310488,10.835506,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,4,None,DataflowConstProp,4310488,10.894218,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,5,None,DataflowConstProp,4310488,10.872894,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,6,None,DataflowConstProp,4310488,10.804374,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,7,None,DataflowConstProp,4310488,10.808572,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,8,None,DataflowConstProp,4310488,10.815073,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,9,None,DataflowConstProp,4310488,10.796939,84.298213,handshake,Success
EXP_ABL_002_DataflowConstProp,rustls,10,None,DataflowConstProp,4310488,10.893185,84.298213,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,1,None,DeadStoreElimination-final,4310896,10.802354,83.761986,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,2,None,DeadStoreElimination-final,4310896,10.929677,83.761986,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,3,None,DeadStoreElimination-final,4310896,10.808417,83.761986,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,4,None,DeadStoreElimination-final,4310896,10.795084,83.761986,handshake,Success
EXP_ABL_003_DeadStoreElimination-final,rustls,5,None,DeadStoreElimination-final,4310896,10.793325,83.761986,handshake,Success
