Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_000_ALL_OFF,10,10.867789,10.844969,0.034860,84.113433,84.113433,0.000000,4392752.000000,4392752
rustls,EXP_001_DISABLE_ALL,10,11.011851,10.992041,0.026753,74.545546,74.545546,0.000000,4485192.000000,4485192
rustls,EXP_ABL_001_CopyProp,10,10.838124,10.809883,0.025446,83.145093,83.145093,0.000000,4312016.000000,4312016
rustls,EXP_ABL_001_disable-binop-extract-shuffle,10,10.841939,10.817735,0.029583,76.512550,76.512550,0.000000,4310488.000000,4310488
rustls,EXP_ABL_002_DataflowConstProp,10,10.831666,10.811822,0.060962,84.298213,84.298213,0.000000,4310488.000000,4310488
rustls,EXP_ABL_002_disable-expand-reductions,10,10.843585,10.816437,0.087982,77.301605,77.301605,0.000000,4310712.000000,4310712
rustls,EXP_ABL_003_DeadStoreElimination-final,10,10.826461,10.805385,0.024879,83.761986,83.761986,0.000000,4310896.000000,4310896
rustls,EXP_ABL_003_disable-interleaved-load-combine,10,10.829611,10.811549,0.009183,77.577383,77.577383,0.000000,4310488.000000,4310488
rustls,EXP_ABL_004_DeadStoreElimination-initial,10,10.828397,10.810096,0.016516,80.945471,80.945471,0.000000,4318040.000000,4318040
rustls,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,10.836227,10.821378,0.016067,77.378793,77.378793,0.000000,4310488.000000,4310488
rustls,EXP_ABL_005_DestinationPropagation,10,10.851171,10.829360,0.014220,76.207143,76.207143,0.000000,4311864.000000,4311864
rustls,EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,10,10.820678,10.812164,0.025405,76.677686,76.677686,0.000000,4310488.000000,4310488
rustls,EXP_ABL_006_EarlyOtherwiseBranch,10,10.832503,10.814330,0.020405,76.591126,76.591126,0.000000,4311104.000000,4311104
rustls,EXP_ABL_006_disable-promote-alloca-to-vector,10,10.838387,10.812812,0.013099,77.202202,77.202202,0.000000,4310488.000000,4310488
rustls,EXP_ABL_007_EnumSizeOpt,10,10.848375,10.827512,0.079464,76.029709,76.029709,0.000000,4310488.000000,4310488
rustls,EXP_ABL_007_disable-replace-with-vec-lib,10,10.836615,10.809843,0.042888,76.782904,76.782904,0.000000,4310488.000000,4310488
rustls,EXP_ABL_008_ForceInline,10,10.825724,10.802436,0.058646,75.757094,75.757094,0.000000,4310488.000000,4310488
rustls,EXP_ABL_008_disable-vector-combine,10,10.835634,10.812755,0.038137,76.445024,76.445024,0.000000,4310488.000000,4310488
rustls,EXP_ABL_009_GVN,10,10.814710,10.788861,0.047297,76.587855,76.587855,0.000000,4311144.000000,4311144
rustls,EXP_ABL_009_disable-advanced-peeling,10,10.813976,10.802457,0.026309,77.731932,77.731932,0.000000,4305392.000000,4305392
rustls,EXP_ABL_010_ImpossiblePredicates,10,10.860603,10.837668,0.075709,76.775849,76.775849,0.000000,4310488.000000,4310488
rustls,EXP_ABL_010_disable-lftr,10,10.837508,10.819090,0.036311,77.903968,77.903968,0.000000,4311088.000000,4311088
rustls,EXP_ABL_011_Inline,10,10.893772,10.855222,0.035483,80.953298,80.953298,0.000000,4392584.000000,4392584
rustls,EXP_ABL_011_disable-licm-promotion,10,10.844648,10.825130,0.023252,76.805123,76.805123,0.000000,4308000.000000,4308000
rustls,EXP_ABL_012_InstSimplify-after-simplifycfg,10,10.839803,10.820495,0.050624,79.258331,79.258331,0.000000,4309128.000000,4309128
rustls,EXP_ABL_012_disable-loop-level-heuristics,10,10.834264,10.811637,0.039258,77.670571,77.670571,0.000000,4310488.000000,4310488
rustls,EXP_ABL_013_InstSimplify-before-inline,10,10.840955,10.813840,0.040646,77.122850,77.122850,0.000000,4310440.000000,4310440
rustls,EXP_ABL_013_disable-lsr,10,10.844435,10.829587,0.047374,76.451564,76.451564,0.000000,4312152.000000,4312152
rustls,EXP_ABL_014_JumpThreading,10,10.841236,10.821606,0.029366,76.441104,76.441104,0.000000,4315368.000000,4315368
rustls,EXP_ABL_014_disable-machine-licm,10,10.838989,10.815230,0.038226,76.431631,76.431631,0.000000,4292856.000000,4292856
rustls,EXP_ABL_015_MatchBranchSimplification,10,10.824069,10.802043,0.031030,76.239260,76.239260,0.000000,4304944.000000,4304944
rustls,EXP_ABL_015_disable-postra-machine-licm,10,10.837772,10.804575,0.043772,77.324847,77.324847,0.000000,4310488.000000,4310488
rustls,EXP_ABL_016_ReferencePropagation,10,10.844274,10.820196,0.025963,77.191335,77.191335,0.000000,4293392.000000,4293392
rustls,EXP_ABL_016_disable-preheader-prot,10,10.832241,10.823144,0.035951,75.786345,75.786345,0.000000,4310840.000000,4310840
rustls,EXP_ABL_017_ScalarReplacementOfAggregates,10,10.850312,10.831587,0.034251,77.346997,77.346997,0.000000,4311120.000000,4311120
rustls,EXP_ABL_017_disable-block-placement,10,10.875355,10.858567,0.073496,76.768823,76.768823,0.000000,4262616.000000,4262616
rustls,EXP_ABL_018_SingleUseConsts,10,10.846175,10.816399,0.078813,77.559233,77.559233,0.000000,4309544.000000,4309544
rustls,EXP_ABL_018_disable-branch-fold,10,10.855372,10.833661,0.034481,77.339481,77.339481,0.000000,4319512.000000,4319512
rustls,EXP_ABL_019_UnreachableEnumBranching,10,10.833806,10.813367,0.064107,76.822516,76.822516,0.000000,4310320.000000,4310320
rustls,EXP_ABL_019_disable-cgp-branch-opts,10,10.864836,10.859735,0.060517,76.627732,76.627732,0.000000,4310520.000000,4310520
rustls,EXP_ABL_020_UnreachablePropagation,10,10.849343,10.833414,0.020190,76.745006,76.745006,0.000000,4310384.000000,4310384
rustls,EXP_ABL_020_disable-cgp-select2branch,10,10.837151,10.825171,0.025974,77.201787,77.201787,0.000000,4310392.000000,4310392
rustls,EXP_ABL_021_disable-chr,10,10.840004,10.824698,0.038492,76.801937,76.801937,0.000000,4310488.000000,4310488
rustls,EXP_ABL_022_disable-early-ifcvt,10,10.836599,10.802024,0.060272,77.542800,77.542800,0.000000,4310488.000000,4310488
rustls,EXP_ABL_023_disable-early-taildup,10,10.855260,10.837740,0.040154,75.133640,75.133640,0.000000,4308184.000000,4308184
rustls,EXP_ABL_024_disable-ifcvt-diamond,10,10.829313,10.816416,0.035186,76.591679,76.591679,0.000000,4310488.000000,4310488
rustls,EXP_ABL_025_disable-ifcvt-forked-diamond,10,10.865309,10.851865,0.091671,75.787093,75.787093,0.000000,4310488.000000,4310488
rustls,EXP_ABL_026_disable-ifcvt-simple,10,10.846409,10.826303,0.019614,75.757356,75.757356,0.000000,4310488.000000,4310488
rustls,EXP_ABL_027_disable-ifcvt-simple-false,10,10.833216,10.806376,0.048899,75.910929,75.910929,0.000000,4310488.000000,4310488
rustls,EXP_ABL_028_disable-ifcvt-triangle,10,10.841095,10.822118,0.022447,76.665408,76.665408,0.000000,4310488.000000,4310488
rustls,EXP_ABL_029_disable-ifcvt-triangle-false,10,10.855094,10.832867,0.035213,76.688250,76.688250,0.000000,4310488.000000,4310488
rustls,EXP_ABL_030_disable-ifcvt-triangle-rev,10,10.841033,10.820417,0.044682,77.177624,77.177624,0.000000,4310488.000000,4310488
rustls,EXP_ABL_031_disable-tail-calls,10,10.831595,10.821269,0.014824,76.204642,76.204642,0.000000,4310488.000000,4310488
rustls,EXP_ABL_032_disable-tail-duplicate,10,10.832981,10.808206,0.021319,77.360041,77.360041,0.000000,4308696.000000,4308696
rustls,EXP_ABL_033_disable-cgp-ext-ld-promotion,10,10.848260,10.837247,0.037501,76.728153,76.728153,0.000000,4310552.000000,4310552
rustls,EXP_ABL_034_disable-cgp-store-extract,10,10.850207,10.816555,0.037362,76.324365,76.324365,0.000000,4310488.000000,4310488
rustls,EXP_ABL_035_disable-memop-opt,10,10.829327,10.809665,0.026723,76.491752,76.491752,0.000000,4310488.000000,4310488
rustls,EXP_ABL_036_disable-separate-const-offset-from-gep,10,10.860134,10.820148,0.123535,77.633457,77.633457,0.000000,4310488.000000,4310488
rustls,EXP_ABL_037_disable-adv-copy-opt,10,10.844790,10.817670,0.085829,77.124850,77.124850,0.000000,4310488.000000,4310488
rustls,EXP_ABL_038_disable-cgp-delete-phis,10,10.832337,10.823266,0.059172,75.981821,75.981821,0.000000,4310584.000000,4310584
rustls,EXP_ABL_039_disable-cleanups,10,10.829857,10.816510,0.029381,76.723060,76.723060,0.000000,4310488.000000,4310488
rustls,EXP_ABL_040_disable-constant-hoisting,10,10.834493,10.813239,0.037811,75.713739,75.713739,0.000000,4309912.000000,4309912
rustls,EXP_ABL_041_disable-copyprop,10,10.849604,10.819999,0.023815,74.246461,74.246461,0.000000,4311608.000000,4311608
rustls,EXP_ABL_042_disable-demotion,10,10.857859,10.820574,0.068992,74.271253,74.271253,0.000000,4310488.000000,4310488
rustls,EXP_ABL_043_disable-gep-const-evaluation,10,10.819537,10.808420,0.040027,75.539165,75.539165,0.000000,4310488.000000,4310488
rustls,EXP_ABL_044_disable-icp,10,10.829749,10.817800,0.029930,76.211661,76.211661,0.000000,4310488.000000,4310488
rustls,EXP_ABL_045_disable-machine-cse,10,10.830021,10.815010,0.040965,76.312520,76.312520,0.000000,4314136.000000,4314136
rustls,EXP_ABL_046_disable-machine-dce,10,10.824457,10.805499,0.025061,75.399608,75.399608,0.000000,4310520.000000,4310520
rustls,EXP_ABL_047_disable-machine-sink,10,10.827236,10.804014,0.033196,76.306623,76.306623,0.000000,4308536.000000,4308536
rustls,EXP_ABL_048_disable-mergeicmps,10,10.832272,10.808148,0.028491,76.262999,76.262999,0.000000,4310488.000000,4310488
rustls,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,10,10.831024,10.822481,0.044745,75.856552,75.856552,0.000000,4310488.000000,4310488
rustls,EXP_ABL_050_disable-phi-elim-edge-splitting,10,10.821423,10.807735,0.059313,77.074860,77.074860,0.000000,4308824.000000,4308824
rustls,EXP_ABL_051_disable-postra-machine-sink,10,10.810092,10.798272,0.020140,76.574828,76.574828,0.000000,4310616.000000,4310616
rustls,EXP_ABL_052_disable-preinline,10,10.835770,10.822230,0.042623,75.816676,75.816676,0.000000,4310488.000000,4310488
rustls,EXP_ABL_053_disable-select-optimize,10,10.828428,10.812964,0.044017,75.544914,75.544914,0.000000,4310488.000000,4310488
rustls,EXP_ABL_054_disable-ssc,10,10.836944,10.814101,0.044732,75.498367,75.498367,0.000000,4313688.000000,4313688
rustls,EXP_ABL_055_disable-type-promotion,10,10.828074,10.824385,0.021319,75.538072,75.538072,0.000000,4310488.000000,4310488
rustls,EXP_ABL_056_disable-auto-upgrade-debug-info,10,10.826364,10.808642,0.021340,74.939743,74.939743,0.000000,4310488.000000,4310488
rustls,EXP_ABL_057_disable-bitcode-version-upgrade,10,10.828610,10.817237,0.032115,76.156000,76.156000,0.000000,4310488.000000,4310488
rustls,EXP_ABL_058_disable-cfi-fixup,10,10.823026,10.808685,0.021116,74.843149,74.843149,0.000000,4310488.000000,4310488
rustls,EXP_ABL_059_disable-cgdata-for-merging,10,10.818308,10.796882,0.041276,76.057504,76.057504,0.000000,4310488.000000,4310488
rustls,EXP_ABL_060_disable-global-outlining,10,10.834836,10.806653,0.028092,76.095152,76.095152,0.000000,4310488.000000,4310488
rustls,EXP_ABL_061_disable-last-run-tracking,10,10.834693,10.808578,0.049038,76.418509,76.418509,0.000000,4310488.000000,4310488
rustls,EXP_ABL_062_disable-layout-fsprofile-loader,10,10.831890,10.817439,0.050033,75.472662,75.472662,0.000000,4310488.000000,4310488
rustls,EXP_ABL_063_disable-nofree-inference,10,10.821093,10.811595,0.031478,77.257227,77.257227,0.000000,4310496.000000,4310496
rustls,EXP_ABL_064_disable-nounwind-inference,10,10.843398,10.824813,0.066976,76.269156,76.269156,0.000000,4365224.000000,4365224
rustls,EXP_ABL_065_disable-ondemand-mds-loading,10,10.839394,10.828175,0.045842,76.207089,76.207089,0.000000,4310488.000000,4310488
rustls,EXP_ABL_066_disable-ra-fsprofile-loader,10,10.834323,10.805038,0.052190,75.808406,75.808406,0.000000,4310488.000000,4310488
rustls,EXP_ABL_067_disable-sample-loader-inlining,10,10.844218,10.819686,0.052678,76.874855,76.874855,0.000000,4310488.000000,4310488
rustls,EXP_ABL_068_disable-thinlto-funcattrs,10,10.834451,10.813176,0.027968,76.733277,76.733277,0.000000,4310488.000000,4310488
rustls,EXP_ABL_069_disable-vp,10,10.837357,10.820480,0.057081,75.928557,75.928557,0.000000,4310488.000000,4310488
rustls,EXP_ABL_070_disable-whole-program-visibility,10,10.824617,10.818272,0.013480,75.907848,75.907848,0.000000,4310488.000000,4310488
rustls,EXP_ABL_071_disable-2addr-hack,10,10.853806,10.823083,0.080192,75.787606,75.787606,0.000000,4310488.000000,4310488
rustls,EXP_ABL_072_disable-cgp,10,10.858087,10.835076,0.052865,75.708468,75.708468,0.000000,4318392.000000,4318392
rustls,EXP_ABL_073_disable-cgp-gc-opts,10,10.845952,10.806800,0.095112,76.559081,76.559081,0.000000,4310488.000000,4310488
rustls,EXP_ABL_074_disable-complex-addr-modes,10,10.817488,10.805120,0.029365,75.707544,75.707544,0.000000,4310680.000000,4310680
rustls,EXP_ABL_075_disable-dfa-sched,10,10.827779,10.815752,0.062410,76.700656,76.700656,0.000000,4310488.000000,4310488
rustls,EXP_ABL_076_disable-i2p-p2i-opt,10,10.828654,10.808371,0.028565,75.305353,75.305353,0.000000,4310784.000000,4310784
rustls,EXP_ABL_077_disable-mr-partial-inlining,10,10.836645,10.810465,0.012170,75.886064,75.886064,0.000000,4310488.000000,4310488
rustls,EXP_ABL_078_disable-partial-inlining,10,10.825235,10.821817,0.011461,76.134558,76.134558,0.000000,4310488.000000,4310488
rustls,EXP_ABL_079_disable-partial-libcall-inlining,10,10.842239,10.821216,0.044057,76.308970,76.308970,0.000000,4310488.000000,4310488
rustls,EXP_ABL_080_disable-peephole,10,10.853572,10.831850,0.060226,76.675034,76.675034,0.000000,4343640.000000,4343640
rustls,EXP_ABL_081_disable-post-ra,10,10.843080,10.830898,0.040966,75.987197,75.987197,0.000000,4310488.000000,4310488
rustls,EXP_ABL_082_disable-spill-fusing,10,10.827325,10.820258,0.019193,76.035568,76.035568,0.000000,4323992.000000,4323992
rustls,EXP_ABL_083_disable-strictnode-mutation,10,10.846133,10.820574,0.088678,76.781724,76.781724,0.000000,4310488.000000,4310488
rustls,EXP_DBL_0001,10,10.831877,10.808277,0.029264,75.337057,75.337057,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0002,10,10.823148,10.810738,0.037069,76.084059,76.084059,0.000000,4312240.000000,4312240
rustls,EXP_DBL_0003,10,10.832291,10.814545,0.032763,76.323168,76.323168,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0004,10,10.840780,10.813109,0.046944,75.393753,75.393753,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0005,10,10.839919,10.828114,0.033540,75.265281,75.265281,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0006,10,10.823062,10.810873,0.048221,75.858249,75.858249,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0007,10,10.837219,10.827386,0.055013,76.498450,76.498450,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0008,10,10.825660,10.798195,0.041500,75.847303,75.847303,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0009,10,10.828417,10.801603,0.036758,76.060804,76.060804,0.000000,4307232.000000,4307232
rustls,EXP_DBL_000_BASELINE,10,10.835172,10.810486,0.044348,76.421939,76.421939,0.000000,4310488.000000,4310488
rustls,EXP_DBL_0010,10,10.825698,10.813871,0.023589,76.156545,76.156545,0.000000,4312400.000000,4312400
rustls,EXP_DBL_0011,10,10.843287,10.804830,0.039138,77.284467,77.284467,0.000000,4309904.000000,4309904
rustls,EXP_DBL_0012,10,10.838121,10.825352,0.045423,76.275963,76.275963,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0013,10,10.833388,10.811189,0.016248,74.782741,74.782741,0.000000,4313520.000000,4313520
rustls,EXP_DBL_0014,10,10.825970,10.813731,0.024641,76.662594,76.662594,0.000000,4294416.000000,4294416
rustls,EXP_DBL_0015,10,10.845141,10.820590,0.071293,76.934844,76.934844,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0016,10,10.847555,10.816693,0.031308,76.950910,76.950910,0.000000,4312304.000000,4312304
rustls,EXP_DBL_0017,10,10.866476,10.853555,0.016122,76.187564,76.187564,0.000000,4264144.000000,4264144
rustls,EXP_DBL_0018,10,10.848867,10.830938,0.013305,77.157862,77.157862,0.000000,4321072.000000,4321072
rustls,EXP_DBL_0019,10,10.837242,10.819930,0.029612,76.108228,76.108228,0.000000,4312048.000000,4312048
rustls,EXP_DBL_0020,10,10.837622,10.821333,0.044658,77.077072,77.077072,0.000000,4311824.000000,4311824
rustls,EXP_DBL_0021,10,10.829304,10.803636,0.028068,76.520042,76.520042,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0022,10,10.841527,10.809515,0.058477,77.126035,77.126035,0.000000,4312016.000000,4312016
rustls,EXP_DBL_0023,10,10.845948,10.839843,0.028102,76.635287,76.635287,0.000000,4309680.000000,4309680
