Source,Target,Type,Weight,Stability
CopyProp,2addr-hack,Interaction,-0.006763523898868831,0.82
CopyProp,auto-upgrade-debug-info,Interaction,-0.0017873563732867187,0.56
CopyProp,binop-extract-shuffle,Interaction,0.0015932675524719592,0.42
CopyProp,branch-fold,Interaction,0.0030559454136045196,0.68
CopyProp,cgdata-for-merging,Interaction,-0.0042721332431287186,0.68
CopyProp,cgp-select2branch,Interaction,0.003363597157963155,0.62
CopyProp,chr,Interaction,0.002453268739173398,0.62
CopyProp,complex-addr-modes,Interaction,-0.0021507804794046134,0.54
CopyProp,copyprop,Interaction,-0.0029416629860735182,0.62
CopyProp,demotion,Interaction,-0.003949320307978619,0.78
CopyProp,dfa-sched,Interaction,0.002344833793273507,0.46
CopyProp,early-ifcvt,Interaction,0.008638162398607468,0.84
CopyProp,expand-reductions,Interaction,0.006795272606149223,0.8
CopyProp,gep-const-evaluation,Interaction,0.05246553977087583,0.7
CopyProp,global-outlining,Interaction,-0.0017831041538552883,0.52
CopyProp,ifcvt-diamond,Interaction,0.006249844231214335,0.64
CopyProp,ifcvt-forked-diamond,Interaction,0.0011717308132066667,0.4
CopyProp,ifcvt-simple,Interaction,0.0025420946346366657,0.46
CopyProp,ifcvt-simple-false,Interaction,0.002619114033900882,0.64
CopyProp,ifcvt-triangle-false,Interaction,0.0009590456713629273,0.5
CopyProp,ifcvt-triangle-rev,Interaction,0.0021827081302805014,0.5
CopyProp,interleaved-load-combine,Interaction,0.0007956966371314522,0.4
CopyProp,layout-fsprofile-loader,Interaction,-0.0023124090882913734,0.56
CopyProp,lftr,Interaction,0.006887531543123124,0.74
CopyProp,loop-idiom-vectorize-all,Interaction,0.008967626823774446,0.8
CopyProp,loop-idiom-vectorize-bytecmp,Interaction,0.00921694634614992,0.92
CopyProp,loop-level-heuristics,Interaction,0.00327819137037425,0.54
CopyProp,lsr,Interaction,0.006284154257883254,0.86
CopyProp,machine-cse,Interaction,-0.002771627218081744,0.6
CopyProp,machine-dce,Interaction,-0.002908245072864645,0.66
CopyProp,machine-licm,Interaction,0.007329934611038762,0.8
CopyProp,machine-sink,Interaction,-0.015960119460561518,0.88
CopyProp,mergeicmps,Interaction,-0.002304634806819995,0.58
CopyProp,nounwind-inference,Interaction,-0.002354462997392542,0.66
CopyProp,ondemand-mds-loading,Interaction,-0.0017082815979614272,0.44
CopyProp,partial-libcall-inlining,Interaction,-0.006348927439182857,0.72
CopyProp,peephole,Interaction,-0.0035860085286802913,0.64
CopyProp,preheader-prot,Interaction,-0.0014741636409776532,0.42
CopyProp,preinline,Interaction,-0.0013899144047212187,0.46
CopyProp,promote-alloca-to-vector,Interaction,0.010597158398318129,0.84
CopyProp,ra-fsprofile-loader,Interaction,-0.004012655135414063,0.7
CopyProp,replace-with-vec-lib,Interaction,0.0042216775329609,0.66
CopyProp,select-optimize,Interaction,-0.001712017340561679,0.54
CopyProp,spill-fusing,Interaction,-0.00399215867071428,0.68
CopyProp,type-promotion,Interaction,-0.008228053211848795,0.88
DataflowConstProp,auto-upgrade-debug-info,Interaction,0.0017882383241967015,0.44
DataflowConstProp,block-placement,Interaction,-0.0016700836839577318,0.48
DataflowConstProp,branch-fold,Interaction,-0.0011692503083827487,0.48
DataflowConstProp,cgp-branch-opts,Interaction,-0.007941895027223799,0.86
DataflowConstProp,cgp-select2branch,Interaction,-0.0041027917968305865,0.56
DataflowConstProp,cleanups,Interaction,0.012497216775281457,0.98
DataflowConstProp,complex-addr-modes,Interaction,-0.0011360983966217707,0.44
DataflowConstProp,constant-hoisting,Interaction,0.006392042523605732,0.8
DataflowConstProp,early-ifcvt,Interaction,-0.0038500440534746327,0.74
DataflowConstProp,early-taildup,Interaction,0.0043389604235891,0.74
DataflowConstProp,ifcvt-triangle-false,Interaction,-0.004491843549831506,0.86
DataflowConstProp,ifcvt-triangle-rev,Interaction,0.0029626497095431277,0.62
DataflowConstProp,interleaved-load-combine,Interaction,0.003650378017473703,0.62
DataflowConstProp,last-run-tracking,Interaction,0.002090824702680241,0.64
DataflowConstProp,layout-fsprofile-loader,Interaction,-0.0005223660942252884,0.4
DataflowConstProp,licm-promotion,Interaction,-0.0014084747842890435,0.52
DataflowConstProp,loop-level-heuristics,Interaction,-0.0010605864315561882,0.42
DataflowConstProp,lsr,Interaction,-0.005293551869653687,0.82
DataflowConstProp,machine-licm,Interaction,-0.0024195749188622735,0.54
DataflowConstProp,memop-opt,Interaction,0.002447625577139017,0.64
DataflowConstProp,mergeicmps,Interaction,0.006779773132738393,0.74
DataflowConstProp,postra-machine-licm,Interaction,-0.003188545722428185,0.66
DataflowConstProp,preheader-prot,Interaction,-0.0022670293808469254,0.56
DataflowConstProp,promote-alloca-to-vector,Interaction,0.0014108141405036613,0.46
