ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_DEFAULT,1,baseline,None,627256,16.797200,14.594971,Success
EXP_000_DEFAULT,2,baseline,None,627256,16.792400,15.069317,Success
EXP_000_DEFAULT,3,baseline,None,627256,16.881100,16.212162,Success
EXP_001_DISABLE_ALL,1,All,None,632104,19.245300,13.149407,Success
EXP_001_DISABLE_ALL,2,All,None,632104,19.147100,13.070008,Success
EXP_001_DISABLE_ALL,3,All,None,632104,19.247700,13.747093,Success
EXP_ABL_001_disable-binop-extract-shuffle,1,binop-extract-shuffle,None,627256,16.899000,14.216067,Success
EXP_ABL_001_disable-binop-extract-shuffle,2,binop-extract-shuffle,None,627256,16.985900,14.931424,Success
EXP_ABL_001_disable-binop-extract-shuffle,3,binop-extract-shuffle,None,627256,16.684400,14.546402,Success
EXP_ABL_002_disable-expand-reductions,1,expand-reductions,None,627288,16.789700,14.478428,Success
EXP_ABL_002_disable-expand-reductions,2,expand-reductions,None,627288,16.686300,14.914635,Success
EXP_ABL_002_disable-expand-reductions,3,expand-reductions,None,627288,16.747100,14.209971,Success
EXP_ABL_003_disable-interleaved-load-combine,1,interleaved-load-combine,None,627256,16.986500,17.143471,Success
EXP_ABL_003_disable-interleaved-load-combine,2,interleaved-load-combine,None,627256,16.896000,14.304366,Success
EXP_ABL_003_disable-interleaved-load-combine,3,interleaved-load-combine,None,627256,17.002400,13.836626,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,1,loop-idiom-vectorize-all,None,627256,16.906200,15.880324,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,2,loop-idiom-vectorize-all,None,627256,17.048200,14.633221,Success
EXP_ABL_004_disable-loop-idiom-vectorize-all,3,loop-idiom-vectorize-all,None,627256,17.010900,14.267410,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,1,loop-idiom-vectorize-bytecmp,None,627256,16.942400,15.210668,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,2,loop-idiom-vectorize-bytecmp,None,627256,16.709100,14.490427,Success
EXP_ABL_005_disable-loop-idiom-vectorize-bytecmp,3,loop-idiom-vectorize-bytecmp,None,627256,16.826800,13.945626,Success
EXP_ABL_006_disable-promote-alloca-to-vector,1,promote-alloca-to-vector,None,627256,18.546200,16.346246,Success
EXP_ABL_006_disable-promote-alloca-to-vector,2,promote-alloca-to-vector,None,627256,16.802300,16.920038,Success
EXP_ABL_006_disable-promote-alloca-to-vector,3,promote-alloca-to-vector,None,627256,16.862300,13.378562,Success
EXP_ABL_007_disable-replace-with-vec-lib,1,replace-with-vec-lib,None,627256,16.921400,14.135751,Success
EXP_ABL_007_disable-replace-with-vec-lib,2,replace-with-vec-lib,None,627256,16.802800,14.144239,Success
EXP_ABL_007_disable-replace-with-vec-lib,3,replace-with-vec-lib,None,627256,16.748500,14.473157,Success
EXP_ABL_008_disable-vector-combine,1,vector-combine,None,627256,17.208400,14.624156,Success
EXP_ABL_008_disable-vector-combine,2,vector-combine,None,627256,16.807600,20.173746,Success
EXP_ABL_008_disable-vector-combine,3,vector-combine,None,627256,16.665200,16.242351,Success
EXP_ABL_009_disable-advanced-peeling,1,advanced-peeling,None,627008,16.888100,15.418613,Success
EXP_ABL_009_disable-advanced-peeling,2,advanced-peeling,None,627008,16.866100,16.155766,Success
EXP_ABL_009_disable-advanced-peeling,3,advanced-peeling,None,627008,16.762600,14.381387,Success
EXP_ABL_010_disable-lftr,1,lftr,None,626672,16.811600,13.829405,Success
EXP_ABL_010_disable-lftr,2,lftr,None,626672,16.953500,14.040727,Success
EXP_ABL_010_disable-lftr,3,lftr,None,626672,16.973200,15.412864,Success
EXP_ABL_011_disable-licm-promotion,1,licm-promotion,None,625904,16.731200,14.202843,Success
EXP_ABL_011_disable-licm-promotion,2,licm-promotion,None,625904,16.607000,14.423097,Success
EXP_ABL_011_disable-licm-promotion,3,licm-promotion,None,625904,16.681600,14.725305,Success
EXP_ABL_012_disable-loop-level-heuristics,1,loop-level-heuristics,None,627256,16.769800,14.426637,Success
EXP_ABL_012_disable-loop-level-heuristics,2,loop-level-heuristics,None,627256,17.021300,14.054332,Success
EXP_ABL_012_disable-loop-level-heuristics,3,loop-level-heuristics,None,627256,16.810100,14.985624,Success
EXP_ABL_013_disable-lsr,1,lsr,None,626312,16.643800,14.185891,Success
EXP_ABL_013_disable-lsr,2,lsr,None,626312,16.832200,14.048561,Success
EXP_ABL_013_disable-lsr,3,lsr,None,626312,16.854200,13.451080,Success
EXP_ABL_014_disable-machine-licm,1,machine-licm,None,626648,16.954100,13.983642,Success
EXP_ABL_014_disable-machine-licm,2,machine-licm,None,626648,16.681900,14.207461,Success
EXP_ABL_014_disable-machine-licm,3,machine-licm,None,626648,17.124900,14.308059,Success
EXP_ABL_015_disable-postra-machine-licm,1,postra-machine-licm,None,627272,16.684700,14.672387,Success
EXP_ABL_015_disable-postra-machine-licm,2,postra-machine-licm,None,627272,16.830600,14.314611,Success
EXP_ABL_015_disable-postra-machine-licm,3,postra-machine-licm,None,627272,16.622300,15.045732,Success
EXP_ABL_016_disable-preheader-prot,1,preheader-prot,None,627240,16.543800,15.419000,Success
EXP_ABL_016_disable-preheader-prot,2,preheader-prot,None,627240,16.486300,13.774929,Success
EXP_ABL_016_disable-preheader-prot,3,preheader-prot,None,627240,16.634200,14.994850,Success
EXP_ABL_017_disable-block-placement,1,block-placement,None,624056,16.595300,14.092508,Success
EXP_ABL_017_disable-block-placement,2,block-placement,None,624056,16.676200,15.325616,Success
EXP_ABL_017_disable-block-placement,3,block-placement,None,624056,16.836900,14.169971,Success
