ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
EXP_000_ALL_OFF,1,None,All,630832,16.959700,15.175317,Success
EXP_000_ALL_OFF,2,None,All,630832,16.909700,16.382516,Success
EXP_000_ALL_OFF,3,None,All,630832,17.194800,16.499780,Success
EXP_ABL_001_CopyProp,1,None,CopyProp,626864,16.524900,15.655117,Success
EXP_ABL_001_CopyProp,2,None,CopyProp,626864,16.605800,15.739868,Success
EXP_ABL_001_CopyProp,3,None,CopyProp,626864,16.281500,15.777855,Success
EXP_ABL_002_DataflowConstProp,1,None,DataflowConstProp,626824,16.359700,15.831821,Success
EXP_ABL_002_DataflowConstProp,2,None,DataflowConstProp,626824,16.402700,14.881093,Success
EXP_ABL_002_DataflowConstProp,3,None,DataflowConstProp,626824,16.805700,15.738842,Success
EXP_ABL_003_DeadStoreElimination-final,1,None,DeadStoreElimination-final,626896,16.697600,17.040317,Success
EXP_ABL_003_DeadStoreElimination-final,2,None,DeadStoreElimination-final,626896,16.614300,18.163626,Success
EXP_ABL_003_DeadStoreElimination-final,3,None,DeadStoreElimination-final,626896,16.657400,16.424649,Success
EXP_ABL_004_DeadStoreElimination-initial,1,None,DeadStoreElimination-initial,626824,16.290100,16.734354,Success
EXP_ABL_004_DeadStoreElimination-initial,2,None,DeadStoreElimination-initial,626824,16.635100,16.292415,Success
EXP_ABL_004_DeadStoreElimination-initial,3,None,DeadStoreElimination-initial,626824,16.798200,16.969135,Success
EXP_ABL_005_DestinationPropagation,1,None,DestinationPropagation,626888,17.252200,15.030630,Success
EXP_ABL_005_DestinationPropagation,2,None,DestinationPropagation,626888,16.563600,16.962716,Success
EXP_ABL_005_DestinationPropagation,3,None,DestinationPropagation,626888,16.565900,15.414897,Success
EXP_ABL_006_EarlyOtherwiseBranch,1,None,EarlyOtherwiseBranch,626824,16.521000,16.701512,Success
EXP_ABL_006_EarlyOtherwiseBranch,2,None,EarlyOtherwiseBranch,626824,16.583600,16.894477,Success
EXP_ABL_006_EarlyOtherwiseBranch,3,None,EarlyOtherwiseBranch,626824,16.541500,16.054475,Success
EXP_ABL_007_EnumSizeOpt,1,None,EnumSizeOpt,626824,16.491700,17.316822,Success
EXP_ABL_007_EnumSizeOpt,2,None,EnumSizeOpt,626824,16.702800,15.634193,Success
EXP_ABL_007_EnumSizeOpt,3,None,EnumSizeOpt,626824,16.568700,15.681324,Success
EXP_ABL_008_ForceInline,1,None,ForceInline,626824,16.505200,15.973446,Success
EXP_ABL_008_ForceInline,2,None,ForceInline,626824,16.446800,16.827003,Success
EXP_ABL_008_ForceInline,3,None,ForceInline,626824,16.467400,15.869055,Success
EXP_ABL_009_GVN,1,None,GVN,626912,17.438700,18.499702,Success
EXP_ABL_009_GVN,2,None,GVN,626912,17.317100,15.462046,Success
EXP_ABL_009_GVN,3,None,GVN,626912,17.449900,17.536375,Success
EXP_ABL_010_ImpossiblePredicates,1,None,ImpossiblePredicates,626824,16.688000,16.708408,Success
EXP_ABL_010_ImpossiblePredicates,2,None,ImpossiblePredicates,626824,16.508000,15.512068,Success
EXP_ABL_010_ImpossiblePredicates,3,None,ImpossiblePredicates,626824,16.810000,15.682707,Success
EXP_ABL_011_Inline,1,None,Inline,629560,17.389800,15.233609,Success
EXP_ABL_011_Inline,2,None,Inline,629560,16.641900,15.924941,Success
EXP_ABL_011_Inline,3,None,Inline,629560,17.179600,15.851258,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,1,None,InstSimplify-after-simplifycfg,627000,16.878000,17.623583,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,2,None,InstSimplify-after-simplifycfg,627000,16.871800,15.932670,Success
EXP_ABL_012_InstSimplify-after-simplifycfg,3,None,InstSimplify-after-simplifycfg,627000,16.808600,15.915125,Success
EXP_ABL_013_InstSimplify-before-inline,1,None,InstSimplify-before-inline,626824,16.829800,16.184361,Success
EXP_ABL_013_InstSimplify-before-inline,2,None,InstSimplify-before-inline,626824,16.691500,14.544433,Success
EXP_ABL_013_InstSimplify-before-inline,3,None,InstSimplify-before-inline,626824,16.713100,15.726509,Success
EXP_ABL_014_JumpThreading,1,None,JumpThreading,627704,17.671200,16.987338,Success
EXP_ABL_014_JumpThreading,2,None,JumpThreading,627704,17.219300,16.019539,Success
EXP_ABL_014_JumpThreading,3,None,JumpThreading,627704,17.501100,16.167402,Success
EXP_ABL_015_MatchBranchSimplification,1,None,MatchBranchSimplification,626864,16.574600,16.028207,Success
EXP_ABL_015_MatchBranchSimplification,2,None,MatchBranchSimplification,626864,16.658600,15.310223,Success
EXP_ABL_015_MatchBranchSimplification,3,None,MatchBranchSimplification,626864,16.552900,16.560520,Success
EXP_ABL_016_ReferencePropagation,1,None,ReferencePropagation,626600,16.434300,15.992540,Success
EXP_ABL_016_ReferencePropagation,2,None,ReferencePropagation,626600,16.622800,16.140673,Success
EXP_ABL_016_ReferencePropagation,3,None,ReferencePropagation,626600,16.505600,15.387990,Success
EXP_ABL_017_ScalarReplacementOfAggregates,1,None,ScalarReplacementOfAggregates,627016,16.736500,16.717652,Success
EXP_ABL_017_ScalarReplacementOfAggregates,2,None,ScalarReplacementOfAggregates,627016,16.527700,15.807918,Success
EXP_ABL_017_ScalarReplacementOfAggregates,3,None,ScalarReplacementOfAggregates,627016,16.590900,17.531408,Success
EXP_ABL_018_SingleUseConsts,1,None,SingleUseConsts,626824,16.703200,16.615175,Success
EXP_ABL_018_SingleUseConsts,2,None,SingleUseConsts,626824,16.691800,17.871033,Success
EXP_ABL_018_SingleUseConsts,3,None,SingleUseConsts,626824,16.565300,15.475823,Success
EXP_ABL_019_UnreachableEnumBranching,1,None,UnreachableEnumBranching,626832,16.289300,14.351269,Success
EXP_ABL_019_UnreachableEnumBranching,2,None,UnreachableEnumBranching,626832,16.669500,14.734432,Success
EXP_ABL_019_UnreachableEnumBranching,3,None,UnreachableEnumBranching,626832,16.646300,17.243868,Success
EXP_ABL_020_UnreachablePropagation,1,None,UnreachablePropagation,626824,16.463100,15.912760,Success
EXP_ABL_020_UnreachablePropagation,2,None,UnreachablePropagation,626824,16.567000,15.533221,Success
EXP_ABL_020_UnreachablePropagation,3,None,UnreachablePropagation,626824,16.654800,15.730985,Success
