LLVM_Pass,count
2addr-hack,62
adv-copy-opt,62
advanced-peeling,63
auto-upgrade-debug-info,63
binop-extract-shuffle,62
bitcode-version-upgrade,63
block-placement,63
branch-fold,62
cfi-fixup,63
cgdata-for-merging,63
cgp,62
cgp-branch-opts,63
cgp-delete-phis,63
cgp-ext-ld-promotion,63
cgp-gc-opts,63
cgp-select2branch,63
cgp-store-extract,63
chr,63
cleanups,63
complex-addr-modes,63
constant-hoisting,63
copyprop,63
demotion,62
dfa-sched,62
early-ifcvt,63
early-taildup,62
expand-reductions,63
gep-const-evaluation,62
global-outlining,63
i2p-p2i-opt,62
icp,63
ifcvt-diamond,63
ifcvt-forked-diamond,62
ifcvt-simple,63
ifcvt-simple-false,63
ifcvt-triangle,63
ifcvt-triangle-false,63
ifcvt-triangle-rev,63
interleaved-load-combine,62
last-run-tracking,62
layout-fsprofile-loader,63
lftr,61
licm-promotion,62
loop-idiom-vectorize-all,63
loop-idiom-vectorize-bytecmp,63
loop-level-heuristics,62
lsr,63
machine-cse,63
machine-dce,63
machine-licm,63
machine-sink,61
memop-opt,62
mergeicmps,63
mr-partial-inlining,62
nan,0
nofree-inference,63
non-allocatable-phys-copy-opt,63
nounwind-inference,60
ondemand-mds-loading,62
partial-inlining,63
partial-libcall-inlining,63
peephole,63
phi-elim-edge-splitting,63
post-ra,63
postra-machine-licm,61
postra-machine-sink,63
preheader-prot,63
preinline,62
promote-alloca-to-vector,63
ra-fsprofile-loader,63
replace-with-vec-lib,63
sample-loader-inlining,63
select-optimize,62
separate-const-offset-from-gep,63
spill-fusing,63
ssc,63
strictnode-mutation,63
tail-calls,63
tail-duplicate,63
thinlto-funcattrs,61
type-promotion,63
vector-combine,63
vp,63
whole-program-visibility,62
