LLVM_Pass,count
,0
nounwind-inference,60
machine-sink,61
lftr,61
thinlto-funcattrs,61
postra-machine-licm,61
2addr-hack,62
adv-copy-opt,62
early-taildup,62
i2p-p2i-opt,62
ifcvt-forked-diamond,62
licm-promotion,62
cgp,62
gep-const-evaluation,62
branch-fold,62
binop-extract-shuffle,62
last-run-tracking,62
interleaved-load-combine,62
loop-level-heuristics,62
mr-partial-inlining,62
ondemand-mds-loading,62
memop-opt,62
dfa-sched,62
demotion,62
preinline,62
select-optimize,62
whole-program-visibility,62
cgdata-for-merging,63
cgp-select2branch,63
cgp-gc-opts,63
cgp-ext-ld-promotion,63
cgp-delete-phis,63
ifcvt-diamond,63
icp,63
global-outlining,63
expand-reductions,63
early-ifcvt,63
cleanups,63
copyprop,63
constant-hoisting,63
chr,63
cgp-store-extract,63
complex-addr-modes,63
cgp-branch-opts,63
ifcvt-triangle-false,63
ifcvt-triangle-rev,63
ifcvt-triangle,63
ifcvt-simple,63
machine-cse,63
lsr,63
loop-idiom-vectorize-bytecmp,63
loop-idiom-vectorize-all,63
layout-fsprofile-loader,63
ifcvt-simple-false,63
machine-dce,63
machine-licm,63
nofree-inference,63
mergeicmps,63
non-allocatable-phys-copy-opt,63
cfi-fixup,63
block-placement,63
auto-upgrade-debug-info,63
bitcode-version-upgrade,63
advanced-peeling,63
post-ra,63
phi-elim-edge-splitting,63
peephole,63
partial-libcall-inlining,63
partial-inlining,63
promote-alloca-to-vector,63
postra-machine-sink,63
ra-fsprofile-loader,63
sample-loader-inlining,63
replace-with-vec-lib,63
spill-fusing,63
separate-const-offset-from-gep,63
ssc,63
strictnode-mutation,63
tail-calls,63
preheader-prot,63
tail-duplicate,63
type-promotion,63
vector-combine,63
vp,63
