MIR_Pass,LLVM_Pass,co_count
CopyProp,2addr-hack,3
CopyProp,adv-copy-opt,3
CopyProp,advanced-peeling,3
CopyProp,auto-upgrade-debug-info,3
CopyProp,binop-extract-shuffle,3
CopyProp,bitcode-version-upgrade,3
CopyProp,block-placement,3
CopyProp,branch-fold,3
CopyProp,cfi-fixup,3
CopyProp,cgdata-for-merging,3
CopyProp,cgp,3
CopyProp,cgp-branch-opts,3
CopyProp,cgp-delete-phis,3
CopyProp,cgp-ext-ld-promotion,3
CopyProp,cgp-gc-opts,3
CopyProp,cgp-select2branch,3
CopyProp,cgp-store-extract,3
CopyProp,chr,3
CopyProp,cleanups,3
CopyProp,complex-addr-modes,3
CopyProp,constant-hoisting,3
CopyProp,copyprop,3
CopyProp,demotion,3
CopyProp,dfa-sched,3
CopyProp,early-ifcvt,3
CopyProp,early-taildup,3
CopyProp,expand-reductions,3
CopyProp,global-outlining,3
CopyProp,icp,3
CopyProp,ifcvt-diamond,3
CopyProp,ifcvt-forked-diamond,3
CopyProp,ifcvt-simple,3
CopyProp,ifcvt-simple-false,3
CopyProp,ifcvt-triangle,3
CopyProp,ifcvt-triangle-false,3
CopyProp,ifcvt-triangle-rev,3
CopyProp,interleaved-load-combine,3
CopyProp,last-run-tracking,3
CopyProp,layout-fsprofile-loader,3
CopyProp,lftr,3
CopyProp,licm-promotion,3
CopyProp,loop-idiom-vectorize-all,3
CopyProp,loop-idiom-vectorize-bytecmp,3
CopyProp,lsr,3
CopyProp,machine-cse,3
CopyProp,machine-dce,3
CopyProp,machine-licm,3
CopyProp,machine-sink,3
CopyProp,memop-opt,3
CopyProp,mergeicmps,3
