mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,ci_low,ci_high,p_value,p_adj,significant
DeadStoreElimination-final,cgp-select2branch,16.825856360260342,16.656398601455674,17.643734404971987,16.463759800035625,0.0590968102253977,0.0018802609583693,0.1630556405895286,0.004,0.0091586206896551,True
GVN,partial-libcall-inlining,16.825856360260342,17.401795925536543,17.40472843926608,17.162544526772834,0.0476691958596022,0.0080679646723998,0.1058512896724784,0.0,0.0,True
GVN,promote-alloca-to-vector,16.825856360260342,17.401795925536543,17.385218835432813,17.18506253135256,0.0452364466549797,0.0068528865729629,0.1072761315981084,0.004,0.0091586206896551,True
EarlyOtherwiseBranch,partial-libcall-inlining,16.825856360260342,16.548679491830026,17.40472843926608,16.38173984726057,0.0439641654278415,0.0042175193495991,0.1006328806399168,0.014,0.0297186700767263,True
DeadStoreElimination-final,promote-alloca-to-vector,16.825856360260342,16.656398601455674,17.385218835432813,16.552698356131554,0.0389488924517213,0.0013727176816111,0.1017773863272679,0.024,0.0481159420289855,True
GVN,bitcode-version-upgrade,16.825856360260342,17.401795925536543,16.99981640514167,16.995626546018606,0.0339031380268011,0.0216581208082348,0.0473940113045603,0.0,0.0,True
GVN,preinline,16.825856360260342,17.401795925536543,16.996083949157512,17.046433806711608,0.0306985833188639,0.0144038524654573,0.0501272634169891,0.0,0.0,True
GVN,memop-opt,16.825856360260342,17.401795925536543,17.01465863210183,17.087331403030007,0.0293945523586911,0.012808263061146,0.046926999359247,0.0,0.0,True
GVN,auto-upgrade-debug-info,16.825856360260342,17.401795925536543,16.89008588513211,16.965993931047148,0.0291724747895072,0.0204876310370854,0.0376531689085576,0.0,0.0,True
DestinationPropagation,postra-machine-sink,16.825856360260342,16.79080112957127,16.840443875445082,16.352882385690624,0.0272936046752261,0.0073225808025039,0.0533333304837375,0.0,0.0,True
GVN,layout-fsprofile-loader,16.825856360260342,17.401795925536543,16.848272053540366,16.95658270269355,0.0272486269996563,0.0194337622912814,0.0341146341646487,0.0,0.0,True
GVN,nounwind-inference,16.825856360260342,17.401795925536543,16.794453916082617,16.90384910659088,0.0271639967671881,0.0201658805438993,0.033792778106088,0.0,0.0,True
GVN,cgp,16.825856360260342,17.401795925536543,17.893736575861496,18.01344985745309,0.0269886891629127,0.0176930624481015,0.0364797415748697,0.0,0.0,True
DestinationPropagation,interleaved-load-combine,16.825856360260342,16.79080112957127,16.961568521599695,16.495548274410446,0.0257739790370257,0.0076244121106011,0.0505699073567686,0.0,0.0,True
GVN,select-optimize,16.825856360260342,17.401795925536543,16.784439204841803,16.9242049064417,0.0253640218330555,0.0119911401522048,0.0407343154599912,0.0,0.0,True
GVN,postra-machine-sink,16.825856360260342,17.401795925536543,16.840443875445082,16.994417577107306,0.0245550972411754,0.0163031464318866,0.0323291513311875,0.0,0.0,True
DestinationPropagation,bitcode-version-upgrade,16.825856360260342,16.79080112957127,16.99981640514167,16.552975759274897,0.0245510667717097,0.0017796147550426,0.051715592859959,0.022,0.0445365853658536,True
DestinationPropagation,non-allocatable-phys-copy-opt,16.825856360260342,16.79080112957127,17.031386099735364,16.5909586075903,0.0241144105392927,0.004068048393115,0.0510748121391295,0.008,0.0176595744680851,True
GVN,thinlto-funcattrs,16.825856360260342,17.401795925536543,16.915243062861126,17.079788087405387,0.0239760332564435,0.0086414967783556,0.0384437191743681,0.0,0.0,True
DestinationPropagation,gep-const-evaluation,16.825856360260342,16.79080112957127,16.957741502027055,16.522724781514246,0.0239021748193648,0.0026739302052137,0.0513386608555823,0.014,0.0297186700767263,True
GVN,type-promotion,16.825856360260342,17.401795925536543,16.84253682037871,17.009873095743437,0.023770336883012,0.0159367838412291,0.0311326267718596,0.0,0.0,True
GVN,advanced-peeling,16.825856360260342,17.401795925536543,16.838844310235956,17.01141559998014,0.023460396909007,0.0160063091130166,0.0311748889720173,0.0,0.0,True
DestinationPropagation,mergeicmps,16.825856360260342,16.79080112957127,16.964579536424253,16.539565554731524,0.0232866031584042,0.002058464156322,0.0463026364847404,0.024,0.0481159420289855,True
GVN,cgp-gc-opts,16.825856360260342,17.401795925536543,16.893679508761686,17.071939334885677,0.0231600600308063,0.0120203903507281,0.0324059252419198,0.0,0.0,True
GVN,sample-loader-inlining,16.825856360260342,17.401795925536543,16.90346694622154,17.083630302134758,0.0230546755838636,0.0054793894264173,0.0381994517927241,0.008,0.0176595744680851,True
GVN,early-ifcvt,16.825856360260342,17.401795925536543,16.962738298876594,17.15145652270842,0.022592617875452,0.0134962955941433,0.0316987774451583,0.0,0.0,True
