Source,Target,Type,Weight,Stability
CopyProp,2addr-hack,Interaction,-0.00631084958943141,0.82
CopyProp,auto-upgrade-debug-info,Interaction,-0.0016760759977077367,0.48
CopyProp,binop-extract-shuffle,Interaction,0.0010938221463329969,0.42
CopyProp,branch-fold,Interaction,0.003911425351879469,0.78
CopyProp,cgdata-for-merging,Interaction,-0.0029108867307615274,0.6
CopyProp,cgp-ext-ld-promotion,Interaction,0.001074494295734087,0.4
CopyProp,cgp-select2branch,Interaction,0.0002944716825570711,0.62
CopyProp,chr,Interaction,0.0016523299952067958,0.6
CopyProp,complex-addr-modes,Interaction,-0.002403408533348871,0.54
CopyProp,copyprop,Interaction,-0.002872189990807055,0.6
CopyProp,demotion,Interaction,-0.003061158512826367,0.68
CopyProp,dfa-sched,Interaction,0.0029932937219947875,0.74
CopyProp,early-ifcvt,Interaction,0.008534848326412981,0.86
CopyProp,expand-reductions,Interaction,0.007381479357867098,0.84
CopyProp,gep-const-evaluation,Interaction,0.07068644404161911,0.68
CopyProp,global-outlining,Interaction,-0.0016744008683496079,0.6
CopyProp,ifcvt-diamond,Interaction,0.005075368056169591,0.6
CopyProp,ifcvt-forked-diamond,Interaction,0.0017314078211213102,0.5
CopyProp,ifcvt-simple,Interaction,0.002605009252563835,0.58
CopyProp,ifcvt-simple-false,Interaction,0.002236493312245945,0.66
CopyProp,ifcvt-triangle-rev,Interaction,0.00191878980997308,0.46
CopyProp,layout-fsprofile-loader,Interaction,-0.0028890931328600894,0.7
CopyProp,lftr,Interaction,0.00487329958554846,0.62
CopyProp,loop-idiom-vectorize-all,Interaction,0.009681466458018177,0.9
CopyProp,loop-idiom-vectorize-bytecmp,Interaction,0.008696871475260624,0.86
CopyProp,loop-level-heuristics,Interaction,0.0031352749203629386,0.52
CopyProp,lsr,Interaction,0.005920148272531935,0.86
CopyProp,machine-cse,Interaction,-0.0020742661814438586,0.4
CopyProp,machine-licm,Interaction,0.006062881034324366,0.78
CopyProp,machine-sink,Interaction,-0.01536705074445852,0.92
CopyProp,mergeicmps,Interaction,-0.0021842512931170245,0.62
CopyProp,nounwind-inference,Interaction,-0.002424390303759464,0.66
CopyProp,ondemand-mds-loading,Interaction,-0.0017935076721446877,0.48
CopyProp,partial-libcall-inlining,Interaction,-0.006177197623643311,0.72
CopyProp,peephole,Interaction,-0.004472969304122013,0.7
CopyProp,preheader-prot,Interaction,-0.0006942959464625952,0.44
CopyProp,promote-alloca-to-vector,Interaction,0.01421759108767965,0.9
CopyProp,ra-fsprofile-loader,Interaction,-0.005326883180067853,0.88
CopyProp,replace-with-vec-lib,Interaction,0.0036476897551896465,0.64
CopyProp,select-optimize,Interaction,-0.0028517202668710395,0.76
CopyProp,spill-fusing,Interaction,-0.0038399335164164485,0.64
CopyProp,type-promotion,Interaction,-0.007874825269528657,0.82
DataflowConstProp,block-placement,Interaction,-0.0016131322465671935,0.68
DataflowConstProp,branch-fold,Interaction,-0.0013463027221775582,0.56
DataflowConstProp,cgp-branch-opts,Interaction,-0.006171589990482934,0.76
DataflowConstProp,cgp-select2branch,Interaction,-0.006413327673290161,0.58
DataflowConstProp,cleanups,Interaction,0.00966196579607345,0.86
DataflowConstProp,complex-addr-modes,Interaction,-0.0026937860285343247,0.46
