t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,EnumSizeOpt,2addr-hack;chr;loop-idiom-vectorize-bytecmp;non-allocatable-phys-copy-opt;phi-elim-edge-splitting;promote-alloca-to-vector;replace-with-vec-lib;sample-loader-inlining;vp,1.0351129619211374,1.2089251360626738,1.000025016031923,0.7632787876789339
2,ReferencePropagation,adv-copy-opt;cgp-ext-ld-promotion;loop-level-heuristics;machine-sink;postra-machine-licm,0.957115957565247,1.1166681387114674,0.9986483824632254,0.9224578295555439
3,CopyProp;DataflowConstProp;Inline,adv-copy-opt;ifcvt-forked-diamond;ifcvt-triangle-rev;machine-cse;promote-alloca-to-vector;ra-fsprofile-loader;vector-combine,1.284288390596255,1.6084714458861238,1.0031988339473954,0.9224578295555439
4,DataflowConstProp,cgp;complex-addr-modes;expand-reductions;lftr;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;nounwind-inference;preheader-prot;preinline;sample-loader-inlining,1.046444578187065,1.147771419586778,0.9997055480685269,0.9224578295555439
5,EnumSizeOpt;MatchBranchSimplification,binop-extract-shuffle;cfi-fixup;interleaved-load-combine;loop-idiom-vectorize-all;type-promotion,1.015064984117626,1.2892915469935338,0.9986867721885394,0.9224578295555439
6,JumpThreading;UnreachablePropagation,branch-fold;cgp-ext-ld-promotion;cgp-select2branch;layout-fsprofile-loader;ondemand-mds-loading;partial-libcall-inlining;spill-fusing;ssc,1.0969545257712354,1.1648649917817342,1.0018371113622915,0.9224578295555439
7,CopyProp,auto-upgrade-debug-info;binop-extract-shuffle;copyprop;ifcvt-simple;loop-level-heuristics;nofree-inference;postra-machine-sink;preheader-prot;separate-const-offset-from-gep,0.9680319678133116,1.4650907235533221,0.9997319663542318,0.9224578295555439
8,DataflowConstProp;ForceInline;UnreachableEnumBranching,block-placement;global-outlining;licm-promotion;loop-level-heuristics;machine-licm;mr-partial-inlining;ra-fsprofile-loader,0.9847573092334138,1.1084594744795835,0.9897565735657494,0.9388511230153773
9,EarlyOtherwiseBranch;ImpossiblePredicates,bitcode-version-upgrade;copyprop;ifcvt-triangle-rev;post-ra;ra-fsprofile-loader;replace-with-vec-lib;select-optimize;whole-program-visibility,1.1699267259797028,1.515999536770101,0.9988777743247773,0.9388511230153773
10,,adv-copy-opt;auto-upgrade-debug-info;block-placement;cgdata-for-merging;cgp-select2branch;loop-idiom-vectorize-bytecmp;machine-dce;machine-licm;mergeicmps;whole-program-visibility,1.0413833344209553,1.1714919180673857,0.9943650627937705,0.9388511230153773
11,EnumSizeOpt;GVN;Inline,advanced-peeling;early-ifcvt;gep-const-evaluation;ifcvt-diamond;loop-idiom-vectorize-all;promote-alloca-to-vector;ssc;whole-program-visibility,1.2835100966534119,1.4726620905900685,1.0023166658950118,0.9388511230153773
12,,cgp-select2branch;cgp-store-extract;early-ifcvt;machine-licm;partial-libcall-inlining;peephole;type-promotion,1.088060516834343,0.9121869762071624,1.0021651326017091,1.1174522295083886
