t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,DestinationPropagation;ForceInline;InstSimplify-before-inline;ScalarReplacementOfAggregates,bitcode-version-upgrade;block-placement;cgp;ifcvt-simple;ondemand-mds-loading;peephole;sample-loader-inlining,1.050698827627295,1.2940576176195737,0.9965687507386802,0.6724513895402942
2,,2addr-hack;advanced-peeling;cgp-gc-opts;cleanups;lftr;machine-cse;postra-machine-sink;whole-program-visibility,1.0121948765182256,1.0445158387770312,0.9996420790149204,0.9462295640741619
3,CopyProp;DeadStoreElimination-final;ReferencePropagation,auto-upgrade-debug-info;early-taildup;loop-level-heuristics;mergeicmps;peephole;postra-machine-sink;sample-loader-inlining;strictnode-mutation;type-promotion,0.9188185231202118,1.4721256363067732,1.0012703428931646,0.9954579307580109
4,,branch-fold;ifcvt-triangle;nounwind-inference;ra-fsprofile-loader;ssc,0.9843001801580782,0.9194626780610753,1.0016587974257225,1.1341719682213578
5,ForceInline;JumpThreading,cgp-select2branch;copyprop;ifcvt-simple-false;mergeicmps;partial-inlining;postra-machine-licm,1.155489006983881,1.6553723916935512,1.0003056167502775,1.1341719682213578
6,CopyProp;DeadStoreElimination-final;ImpossiblePredicates,cgdata-for-merging;cgp-gc-opts;ifcvt-forked-diamond;lftr;machine-dce;peephole;phi-elim-edge-splitting;postra-machine-sink,1.1205295278300273,1.6006486505325819,1.0015892071235002,1.1341719682213578
7,CopyProp;DestinationPropagation,adv-copy-opt;advanced-peeling;binop-extract-shuffle;cfi-fixup;cleanups;dfa-sched;machine-licm;postra-machine-licm;strictnode-mutation,0.9939395781319942,1.0606670741974351,0.9974515440762164,1.1348049277169672
8,InstSimplify-before-inline,cgp-ext-ld-promotion;early-taildup;machine-dce;partial-inlining;preinline,1.0382832496881622,1.498949352162872,1.0000251441253654,1.1348049277169672
9,EarlyOtherwiseBranch,auto-upgrade-debug-info;block-placement;ifcvt-triangle-rev;loop-level-heuristics;mergeicmps;partial-libcall-inlining;type-promotion,1.0066992498348397,1.1717314254460858,0.9942132141978023,1.1368775601553307
10,DeadStoreElimination-final;DestinationPropagation;JumpThreading,auto-upgrade-debug-info;layout-fsprofile-loader;machine-licm;ra-fsprofile-loader;ssc;strictnode-mutation,1.0599100918140005,1.2673370281156935,0.998864441208353,1.1368775601553307
11,ForceInline;ReferencePropagation,cgp-ext-ld-promotion;ifcvt-diamond;ifcvt-triangle-false;machine-cse;partial-libcall-inlining;ra-fsprofile-loader;sample-loader-inlining,0.9841747001479992,1.2755559487797337,0.9991319685165836,1.1369180575276328
12,ForceInline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading;SingleUseConsts;UnreachableEnumBranching;UnreachablePropagation,2addr-hack;advanced-peeling;cgp-store-extract;constant-hoisting;layout-fsprofile-loader;machine-licm;post-ra;ra-fsprofile-loader;select-optimize,1.3824522538786985,1.9120582040152214,0.9956455803656492,1.1369180575276328
13,,bitcode-version-upgrade;ifcvt-simple-false;machine-cse;nounwind-inference;phi-elim-edge-splitting;strictnode-mutation;vector-combine,1.0116102496081085,1.252364813986949,1.0019653468358634,1.1369180575276328
14,,dfa-sched;last-run-tracking;licm-promotion;partial-libcall-inlining;phi-elim-edge-splitting;ssc,1.0286378785032382,0.9580611090082328,0.9988374450785109,1.1371676151114838
15,DestinationPropagation;UnreachableEnumBranching,cgp-branch-opts;ifcvt-triangle-false;layout-fsprofile-loader;loop-idiom-vectorize-all;lsr;partial-inlining;preheader-prot;ra-fsprofile-loader;tail-calls;vector-combine,1.0622731096475537,1.2717503401708254,0.9972092487889277,1.1371676151114838
16,ForceInline;ImpossiblePredicates,cgdata-for-merging;cgp;constant-hoisting;demotion;early-taildup;gep-const-evaluation;ifcvt-forked-diamond;ifcvt-triangle-rev;interleaved-load-combine;machine-sink;memop-opt;non-allocatable-phys-copy-opt,1.200979516509996,1.743649173136766,0.9995399858877573,1.1371676151114838
17,EnumSizeOpt;ScalarReplacementOfAggregates;UnreachableEnumBranching,binop-extract-shuffle;bitcode-version-upgrade;early-taildup;ifcvt-triangle;loop-idiom-vectorize-bytecmp;machine-cse;memop-opt;non-allocatable-phys-copy-opt;separate-const-offset-from-gep,0.9459996240254136,1.5699504287161856,0.9993488343089475,1.1371991608544059
18,DestinationPropagation;JumpThreading,cgp;cgp-ext-ld-promotion;lsr;replace-with-vec-lib;vp,1.1540867542889395,1.148142076128986,0.9995390042966823,1.1371991608544059
19,SingleUseConsts,binop-extract-shuffle;branch-fold;cgp-ext-ld-promotion;cleanups;complex-addr-modes;loop-level-heuristics;lsr;mergeicmps;ondemand-mds-loading;postra-machine-licm;sample-loader-inlining;select-optimize;ssc;vp,1.0020594211129603,1.0110101083712204,0.9991057423056361,1.137201994801143
20,,auto-upgrade-debug-info;cgp-delete-phis;cleanups;constant-hoisting;ifcvt-diamond;ifcvt-simple-false;peephole;preheader-prot,0.9629279604654694,0.9048285565273427,1.0032398235351452,1.1640782443320552
21,DeadStoreElimination-initial;MatchBranchSimplification,bitcode-version-upgrade;cfi-fixup;cgp-store-extract;complex-addr-modes;global-outlining;ifcvt-forked-diamond;lsr;machine-dce;machine-licm;ondemand-mds-loading;peephole;promote-alloca-to-vector;spill-fusing;tail-calls;vector-combine,1.1669793080118236,1.7836217675984853,1.0003117123311651,1.1640782443320552
22,,cgp;cgp-delete-phis;i2p-p2i-opt;ifcvt-diamond;ifcvt-forked-diamond;loop-level-heuristics;ondemand-mds-loading;peephole;promote-alloca-to-vector;replace-with-vec-lib;sample-loader-inlining;tail-duplicate,1.0632364443217717,0.9509625318183967,1.0043019289925346,1.1640782443320552
23,JumpThreading;UnreachableEnumBranching,auto-upgrade-debug-info;complex-addr-modes;i2p-p2i-opt;ifcvt-diamond;ifcvt-simple-false;ifcvt-triangle;phi-elim-edge-splitting;sample-loader-inlining;select-optimize,1.1716676288216812,1.2306937154021518,1.0011221711158385,1.1640782443320552
24,DeadStoreElimination-final;InstSimplify-before-inline;UnreachableEnumBranching,2addr-hack;auto-upgrade-debug-info;cfi-fixup;ifcvt-diamond;ifcvt-simple-false;memop-opt;peephole;promote-alloca-to-vector;strictnode-mutation,1.2085738590107853,1.348449450475088,1.0011940426513244,1.1640782443320552
25,InstSimplify-after-simplifycfg,constant-hoisting;ifcvt-triangle;lsr;ondemand-mds-loading;postra-machine-sink,1.0323417693066137,1.0233074758325362,0.9983421273906273,1.1640961507217047
