t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,CopyProp;ImpossiblePredicates;ReferencePropagation;ScalarReplacementOfAggregates,advanced-peeling;cgdata-for-merging;chr;early-ifcvt;partial-libcall-inlining;postra-machine-sink;promote-alloca-to-vector;ra-fsprofile-loader;whole-program-visibility,0.9812765444630521,1.526160829874404,0.996993453983338,0.0
2,CopyProp;JumpThreading,cfi-fixup;chr;early-taildup;expand-reductions;licm-promotion;lsr;nofree-inference;peephole;phi-elim-edge-splitting;postra-machine-licm;preinline;spill-fusing;tail-calls,1.1286859385270867,1.3086614423299663,1.0011392508833916,0.0
3,DataflowConstProp;ForceInline,2addr-hack;cgp;gep-const-evaluation;layout-fsprofile-loader;lftr;loop-idiom-vectorize-bytecmp;machine-cse;nounwind-inference;preheader-prot;select-optimize;whole-program-visibility,1.0197394838506915,1.3495674099892603,0.9998069649952798,0.0
4,DestinationPropagation;ImpossiblePredicates,cfi-fixup;cgp-branch-opts;constant-hoisting;copyprop;peephole;postra-machine-sink;vp,1.1822194222461992,1.5323484072806526,1.0023696705804621,0.0
5,EnumSizeOpt;MatchBranchSimplification,binop-extract-shuffle;cgp-ext-ld-promotion;chr;ifcvt-triangle;mr-partial-inlining;nounwind-inference;partial-inlining;post-ra;replace-with-vec-lib;spill-fusing;ssc,0.9774994793176548,1.2095261651349174,0.9999355332684169,0.0
6,EarlyOtherwiseBranch;EnumSizeOpt;ReferencePropagation,branch-fold;cgp;cgp-delete-phis;cgp-ext-ld-promotion;chr;gep-const-evaluation;licm-promotion;ssc,1.0182010759968048,1.4203297856905124,0.9975881586095291,0.0
7,DestinationPropagation,auto-upgrade-debug-info;cgp-store-extract;cleanups;expand-reductions;ifcvt-triangle-rev;interleaved-load-combine;machine-dce;partial-libcall-inlining;peephole;replace-with-vec-lib;whole-program-visibility,0.9930360422215457,1.2650888521443968,1.0030348600926697,0.0
8,,bitcode-version-upgrade;cgp-store-extract;early-taildup;global-outlining;ifcvt-triangle-rev;licm-promotion;lsr;machine-dce;non-allocatable-phys-copy-opt;whole-program-visibility,0.967651894695002,1.2932434745623835,0.9970291618702138,0.0
9,Inline,auto-upgrade-debug-info;cfi-fixup;cgdata-for-merging;cgp;icp;loop-idiom-vectorize-bytecmp;mergeicmps;post-ra;sample-loader-inlining,1.0821607313856743,1.4175407068301198,1.004569198157052,0.0
10,InstSimplify-after-simplifycfg,cgp-delete-phis;ifcvt-simple;last-run-tracking;layout-fsprofile-loader;machine-dce;nofree-inference;post-ra;replace-with-vec-lib,1.021463269453488,1.3729412652323678,1.0000253309486125,0.0
11,DestinationPropagation,block-placement;ifcvt-triangle-rev;ondemand-mds-loading;peephole;preinline;ra-fsprofile-loader;strictnode-mutation;tail-calls;vector-combine;vp,0.9682792317068986,1.1320622464089298,0.9974343629442279,0.0
12,DataflowConstProp;EnumSizeOpt;JumpThreading;MatchBranchSimplification,loop-level-heuristics;machine-dce;preinline;promote-alloca-to-vector;ra-fsprofile-loader;vector-combine;vp,1.222147220424448,2.137669475355145,0.999144831493071,0.0
13,CopyProp;DataflowConstProp;JumpThreading,cgp-select2branch;copyprop;early-ifcvt;ifcvt-simple;layout-fsprofile-loader;loop-idiom-vectorize-bytecmp;machine-dce;machine-sink;mergeicmps;tail-duplicate;vector-combine,1.0944633341392718,2.3554222696612053,0.9996293207119756,0.0
14,ForceInline,adv-copy-opt;bitcode-version-upgrade;cgp-select2branch;constant-hoisting;layout-fsprofile-loader;loop-idiom-vectorize-all;postra-machine-licm;separate-const-offset-from-gep;vector-combine;whole-program-visibility,1.0418063842752536,1.2633345782993979,0.9994642313866798,0.0
15,InstSimplify-before-inline,bitcode-version-upgrade;cgdata-for-merging;cgp;cgp-gc-opts;chr;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple;loop-idiom-vectorize-bytecmp;machine-licm,1.1001737491806427,0.9875744203593886,0.9996035317316454,0.0
16,MatchBranchSimplification,branch-fold;cgp;cgp-branch-opts;ifcvt-diamond;ifcvt-triangle-rev;loop-level-heuristics;mr-partial-inlining;post-ra;preinline;select-optimize;vp,1.1726795511736456,1.0301499761351829,1.0012368355737122,0.0
17,JumpThreading,cgp;cgp-select2branch;constant-hoisting;demotion;early-taildup;gep-const-evaluation;loop-idiom-vectorize-bytecmp;memop-opt;mergeicmps;tail-calls;thinlto-funcattrs;vector-combine,1.2907038559649788,1.825819679754732,1.001990903612433,0.0
18,JumpThreading,block-placement;branch-fold;cgp-delete-phis;cgp-gc-opts;complex-addr-modes;global-outlining;ifcvt-triangle;loop-idiom-vectorize-all;non-allocatable-phys-copy-opt,1.1425311253347998,1.0544931416121592,0.9965740379645593,0.0
19,DeadStoreElimination-final;ImpossiblePredicates;Inline;ScalarReplacementOfAggregates;UnreachablePropagation,cgp-branch-opts;cgp-select2branch;ifcvt-triangle;machine-cse;peephole,1.1042713868165355,1.6114714823752048,1.0053197951005182,0.0
20,InstSimplify-before-inline;ScalarReplacementOfAggregates,cleanups;copyprop;expand-reductions;global-outlining;ifcvt-triangle-false;partial-inlining;preheader-prot;ra-fsprofile-loader,0.9777353773797798,1.5376252934743724,0.9992092224617374,1.015
21,Inline,cgdata-for-merging;cgp;copyprop;ifcvt-triangle;machine-licm,1.2176452742288213,1.3344035118346849,1.003851464412621,1.015
22,DeadStoreElimination-final,bitcode-version-upgrade;cgdata-for-merging;cgp-branch-opts;cgp-gc-opts;demotion;lftr;licm-promotion;machine-cse;postra-machine-sink;type-promotion,0.9974099387464694,1.3519950998073753,0.9973092533886445,1.015
23,Inline,auto-upgrade-debug-info;dfa-sched;interleaved-load-combine;last-run-tracking;replace-with-vec-lib;vector-combine,1.0205921595743208,1.223239406657042,1.0036731414286981,1.015
24,,block-placement;cleanups;expand-reductions;licm-promotion;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-dce;mr-partial-inlining;partial-libcall-inlining;post-ra;ra-fsprofile-loader;vector-combine,0.9944893607732455,1.3189686997978287,0.9932351517280992,1.015
