t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,ImpossiblePredicates,bitcode-version-upgrade;block-placement;cgp;cgp-ext-ld-promotion;complex-addr-modes;global-outlining;layout-fsprofile-loader;machine-licm;memop-opt;promote-alloca-to-vector;whole-program-visibility,1.282210142849703,1.2092189481927278,0.9941616312372956,0.0
2,SingleUseConsts,advanced-peeling;branch-fold;cgp;dfa-sched;machine-dce;ondemand-mds-loading;promote-alloca-to-vector;tail-duplicate;type-promotion;vector-combine,1.114566483797092,1.80268414311461,1.001108926803058,0.0
3,EnumSizeOpt,cgdata-for-merging;expand-reductions;interleaved-load-combine;layout-fsprofile-loader;machine-dce;postra-machine-licm;select-optimize;vector-combine,0.9613472917845909,1.644904905514104,0.999821127622044,0.0
4,CopyProp;InstSimplify-before-inline;MatchBranchSimplification,interleaved-load-combine;machine-dce;nofree-inference;partial-inlining;peephole;postra-machine-licm;ssc,1.1274844500747803,1.5146694989774232,1.0019347984631344,0.0
5,GVN;UnreachablePropagation,cleanups;ifcvt-simple;last-run-tracking;loop-idiom-vectorize-all;lsr;machine-sink;preinline;replace-with-vec-lib,1.0238367887339446,1.1256175107877402,0.9969040043384503,0.0
6,CopyProp;Inline,2addr-hack;cgp-delete-phis;cgp-store-extract;loop-idiom-vectorize-bytecmp;nofree-inference,1.0741822388121016,1.1200304838326085,1.0030459017188498,0.0
7,GVN;SingleUseConsts;UnreachablePropagation,strictnode-mutation,0.9970602120931578,1.363134143277198,0.998075381019123,0.0
8,DestinationPropagation;Inline;InstSimplify-before-inline;ScalarReplacementOfAggregates,advanced-peeling;cgp-branch-opts;copyprop;early-ifcvt;layout-fsprofile-loader;promote-alloca-to-vector;ra-fsprofile-loader,0.983441914276718,1.8980850157387257,1.0018692546137182,0.0
9,ForceInline;ScalarReplacementOfAggregates,block-placement;icp;memop-opt;replace-with-vec-lib;tail-duplicate,0.910925445850767,1.643572958091707,0.9937314069752147,0.0
10,EarlyOtherwiseBranch;SingleUseConsts,auto-upgrade-debug-info;complex-addr-modes;early-taildup;expand-reductions;gep-const-evaluation;ifcvt-triangle;loop-level-heuristics;non-allocatable-phys-copy-opt;replace-with-vec-lib;vp,1.0376927200380075,1.447292289260205,0.9989287329266542,0.0
11,,advanced-peeling;demotion;expand-reductions;loop-idiom-vectorize-all;machine-dce;strictnode-mutation,0.977900413837606,1.4629339859096853,1.0000891082388623,0.0
12,UnreachablePropagation,bitcode-version-upgrade;cgp-delete-phis;complex-addr-modes;ifcvt-triangle-false;interleaved-load-combine;mergeicmps,1.0208742948063176,1.1213576833895322,0.9993112859821192,0.0
13,CopyProp;GVN;JumpThreading,cgp;i2p-p2i-opt;postra-machine-licm;thinlto-funcattrs,1.1167288038681131,1.489179129397593,1.0008282827221007,0.0
14,CopyProp;DestinationPropagation;MatchBranchSimplification,bitcode-version-upgrade;demotion;gep-const-evaluation;memop-opt;partial-inlining;postra-machine-licm;whole-program-visibility,1.075658673472894,1.4891658993562085,0.9981900140073268,0.0
15,EnumSizeOpt;MatchBranchSimplification;UnreachablePropagation,branch-fold;cgp-branch-opts;dfa-sched;ifcvt-simple;lftr;loop-idiom-vectorize-bytecmp;machine-licm;partial-libcall-inlining;preinline;ssc,1.0878996053639667,1.1131446031900953,0.9973486142905066,0.0
16,JumpThreading,cgp-store-extract;cleanups;dfa-sched;mergeicmps;non-allocatable-phys-copy-opt;nounwind-inference;ondemand-mds-loading;postra-machine-licm;select-optimize,1.041553988415528,1.0437489478402704,1.0011481768258286,0.0
17,,advanced-peeling;cgp-select2branch;ifcvt-triangle;ifcvt-triangle-false;lftr;partial-inlining;postra-machine-licm;type-promotion;vp,1.044912237973968,1.0024814001055833,0.9986994300270489,0.0
18,EarlyOtherwiseBranch;ReferencePropagation;UnreachablePropagation,chr;machine-cse;machine-sink;sample-loader-inlining;strictnode-mutation,0.9275669319320449,1.4106897884686882,0.998061838581219,0.0
